Phone1	Phone2	PMI
<#_ɡ	<#_ɡ	11.117
<#_z	<#_ʤ	10.49
ˈo_ŋ_#>	ˈɔ̃_#>	10.439
<#_r	<#_ʀ	10.365
ˈa_r_#>	ˈiː_#>	10.31
<#_ɰ	<#_l	10.247
<#_d	<#_d	10.143
ˈɔ_r	w_ˈa	10.123
<#_t	<#_t	9.648
ˈo_z	w_ˈɛ	9.295
<#_m	<#_m	9.234
<#_n	<#_n	9.226
ˈɛ_o	j_ˈa	9.205
<#_b	<#_b	9.029
<#_s	<#_s	8.729
<#_f	<#_f	8.649
<#_s	<#_ɛ	8.534
<#_p	<#_p	8.419
<#_v	<#_v	8.387
<#	<#_a	8.185
o_ɰ	ɔ_l	7.973
ˈa_r	ˈe	7.888
ˈo_v	ˈuː	7.874
<#_k	<#_ʧ	7.818
<#_k	<#_k	7.733
s_k	ʃ	7.379
r_#>	ˈe_#>	7.377
r_#>	ʀ_#>	7.151
ɲ_a_#>	ɲ_#>	7.033
a_#>	j_#>	6.983
m_a_#>	m_#>	6.925
n_a	ˈɛ̃ː_n	6.841
ˈe_r	ˈøː_ʀ	6.622
ŋ_#>	ˈẽ_#>	6.12
o_#>	ˈa_#>	5.981
#>	ʀ_#>	5.789
ˈi_r	ˈi	5.588
m	m	5.372
s_e	ʃ	5.364
z_a	ʃ	5.222
a_#>	l_#>	5.065
ˈo	ˈɔ	4.89
j	l	4.781
ˈɔ	ˈɔ	4.766
t_ˈa	t	4.761
a	a	4.615
n	n	4.587
ˈe	w_ˈɛ	4.566
o_#>	ʧ_#>	4.487
ɰ_a	j	4.468
ɲ	ɲ	4.449
j_ˈa	l	4.277
a_v	f	4.237
ˈɛ	j	4.185
ɲ_a_#>	ˈa_ɲ_#>	4.162
ˈi	ˈiː	4.161
ɡ	ɡ	4.089
ˈu	ˈɔ	4.075
o_#>	#>	4.007
s_t_a	ˈɛ_s	3.943
<#_ˈa	<#_ˈɑ̃	3.918
n_a	ˈɛ̃_n	3.895
ˈe	ˈɛ	3.861
ˈɛ_r	ˈɛː_ʀ	3.78
ˈi_n_a	ˈɛ_n	3.751
r_s_a	ˈa_s	3.748
r	ʀ	3.728
<#_ˈe	<#_l	3.723
t_e_#>	t_#>	3.61
ˈa_r_e_#>	ˈɛ_ʀ_#>	3.588
p	p	3.56
ˈɔ	ɔ	3.543
ˈa	ˈa	3.519
ˈo_ɡ_o_#>	ˈøː_#>	3.499
ˈo	ˈøː	3.427
ˈi	ˈɛ	3.411
ˈo_r	ˈøː_ʀ	3.396
ˈe_k	ˈɛ_ʧ	3.396
n_a_#>	n_#>	3.367
r_ˈe_d	ʀ_w	3.307
a_#>	#>	3.283
ˈu_r_o	ˈøː_ʀ	3.211
a_ŋ	ɑ̃	3.206
a_s	ɛ_s	3.195
w_ˈa	w_ˈa	3.195
ˈa_ŋ	ˈɑ̃	3.166
ˈɛ_#>	ˈɛ_#>	3.15
s	s	3.085
n_e_#>	n_#>	3.07
ˈo_ŋ_t	ˈɔ̃	3.025
m	a_m	2.993
ˈa	ˈɔː	2.989
ˈe_ŋ_t	ˈɛ̃	2.951
ˈo_ŋ_t_o_#>	ˈɔ̃_#>	2.931
ˈo_r	ˈøː	2.896
ˈo_ɡ	ˈøː	2.896
ˈi_ŋ	ˈẽ	2.896
ˈɛ	ˈɛ	2.828
ˈo_n	ˈɔ̃	2.811
ˈi_o	ˈi	2.811
e_#>	#>	2.8
ŋ_#>	ˈɛ̃_#>	2.757
<#	<#_ɔ	2.718
ˈa_ŋ	ˈɛ̃	2.598
t_e_#>	ʀ_#>	2.571
ˈu_t	ˈɔ	2.57
ˈa_ɡ	ˈɔː	2.539
v_a	f	2.505
ˈi_e	ˈiː	2.503
k_w	k	2.482
ˈɔ_s	ˈɔ	2.475
a_s	ɛ	2.427
ˈi_v	ˈiː	2.401
ɡ_ˈa	ˈɛ	2.368
#>	ˈa_#>	2.286
t_r	t	2.249
r_a	ʀ	2.223
r_o	ʀ	2.222
a_#>	f_#>	2.159
s_t	s	2.131
#>	t_#>	2.078
ˈe_o	j	2.042
j	j	2.0
ˈo	ˈu	1.961
n_a	m	1.932
l	l	1.879
v	v	1.841
ˈɛ_r_a	ʀ	1.82
<#	<#_v	1.768
j	ˈiː	1.718
s	ʃ	1.708
o	ɔ	1.692
d	d	1.643
ˈɔ	ˈuː	1.545
i_#>	#>	1.508
o_#>	ʀ_#>	1.347
t	t	1.315
ˈɔ	w	1.263
ˈa	ˈiː	1.125
ˈe	w	1.072
ˈa	w	1.05
ˈa	ˈɛ	0.657
r_#>	#>	0.616
