Phone1	Phone2	PMI
ɲ	m_n	8.041389203301401
ɡ	ɡ	6.95867266925712
ŋ	ŋ	6.902535646726023
b_w	b	6.7339211504152185
ʧ	ʤ	6.539310874210733
b	v	6.3344905755574255
m_b	m	6.2581149173325965
w_ˈe	ˈo	6.220565263353645
i	i	5.619556061692692
β	b	5.542552138574233
ˈo	ˈau̯	5.493200758934419
θ	ʧ_e	5.459416098441705
t_o	t	5.356386665649266
f	f	5.351548033668329
θ	ʧ	5.340402651607432
s_o	s	5.324116461409317
a_ð	a	5.066391563452329
d	z	5.0182137850605
ʝ	ʒ	5.011538975638293
m	m	4.996300664909304
o	u	4.912291023537893
d	d	4.880887001337288
n	n_t	4.747454948232839
s	s	4.641307099672354
ˈu	ˈu	4.640637744622555
p	p	4.6078641450528055
ˈi	ˈi	4.573379022773269
s	ʃ	4.530049559455664
n_o	n	4.523289480602827
l	l	4.505738784642621
k	k	4.377635191379127
ɾ	r_e	4.280850125590604
t	t	4.256046451407721
ʃ	ʃ_t	4.24595844098851
ˈo	o̯ˈa	4.167329434918497
ˈa	ˈɨ	4.090332517400473
ʎ	k	4.049044841288053
#>	kʲ_#>	3.9633570483095006
t	t_e	3.9156632386211374
ˈo	ˈo	3.87501596232224
ɣ	k	3.873286593896645
j_ˈe	ˈi	3.834723422663042
ˈa	ˈa	3.827297527726036
ɣ_o	k	3.824856041989993
j	j	3.764774466627665
ð	d	3.7611181444281216
ɾ_o	r	3.7423967277598313
ˈe	ˈe	3.68046875036621
l_o	r	3.679844547518812
p_o	p	3.6495397567823016
o	w	3.617470772078117
n	n	3.555035103156848
<#_e	<#	3.5359747919948066
a	ə	3.5062575162922944
ɾ	e_r_e	3.478716426720964
#>	j_#>	3.4482720964897204
d_o	d	3.415690284253134
a	a	3.4155695655086817
ɣ	ɡ	3.3749928103648807
e	i	3.347402829682015
w_ˈe	o̯ˈa	3.2184861775629026
ʝ	d	3.217789418756892
k_o	k	3.1855689266783576
ˈo	ˈu	3.169737878469973
r	r	3.166195577561856
ˈe	e̯ˈa	3.147198243217392
ð	t	3.108438618824448
ˈi_ʎ	ˈi	3.0055650696391405
β	p	3.0025357858687527
j_ˈe	ˈe	2.8513609472432417
e	e	2.832938009842528
ʎ	j	2.798955790093508
b	b	2.771598700297816
n	n_e	2.701791068143041
o	o	2.7008970709273643
l	r_e	2.6889686342394024
ɾ	r	2.635717224771807
ɾ_e	e	2.589188445556292
j	p	2.5584800618549624
a_j	ˈa	2.3915564035299903
n	j_n_e	2.3272595378521084
#>	ʧʲ_#>	2.313708523577825
ʎ_o	l	2.2918533790623004
w	ˈo	2.288694937013487
ʧ	ʒ	2.274205017895941
ˈe	ˈi	2.1742289357101816
ˈe	ˈə	2.172486486014505
ˈo	w	2.1537091914612185
s_#>	#>	2.082257096778183
<#_a	<#	2.018256309233025
ʃ	s	1.982871847503957
ʝ	j	1.865720727672201
j	ʦ	1.8389999109262831
β_ˈa	ˈa	1.6415556619770677
j	l	1.617673730507408
ŋ	n	1.607385894505564
w_ˈe	ˈu	1.5596718517532449
b_j	v	1.4480434729496792
e	u	1.4072022610226371
<#	<#_z	1.335794586508667
ˈe_ʎ	j	1.280743219406255
θ_j	ʧ	1.275749567914658
ŋ	ʧʲ	1.263659715943836
e	ə	1.23747817236496
e_s	s	1.162403153584538
ˈe	ˈa	1.0952284026610797
β_j	j	1.0933154976090578
n_#>	#>	1.0293245954801018
ɲ_o	n	1.021677169834231
j	p_t	0.9740970899235756
ˈi	ˈu	0.9678196949031248
ˈa	ˈɨ_j	0.967336548305428
a	e	0.9659461917148148
θ	ʦ	0.9575705670208876
ˈe	w	0.9495034778616844
ˈe_ɣ	k	0.895925815834308
e_n	e	0.868209321192286
ð_o	t	0.8047039746232804
ŋ_ɡ	n	0.7572915508567586
<#_w	<#	0.7568542617889127
j	o̯ˈa	0.7476244597715178
o	e	0.7072848880453321
j	ˈa	0.7025465334817855
ˈe	j_ˈe	0.7002994301589895
ˈe	ˈu	0.6059193016136121
k	ʧ	0.4323366016262892
ˈe	ˈo	0.3198957352789394
l	r	0.218895926684248
j	e	0.2129956747644555
p	t	0.1549325882573917
ˈa	ˈe	0.1441096619174305
ˈa	ˈi	0.0707485391006939
#>	e_#>	-1.8303658278480537
o_#>	#>	-1.6427054022549483
ˈe	e	-0.3840332534132158
a	ˈa	-0.1089838022229211
ˈa	ə	-0.0433592041900647
