Phone1	Phone2	PMI
ʃ	ʒ	6.573811555531662
j_ˈe	ˈɛ	6.3454252352899605
o	o	6.138285749784807
ʝ	ʎ	6.1314892848913765
f	f	6.09183579794164
ˈu	ˈu	5.77184202471261
l	w	5.695597852380509
w_ˈe	ˈɔ	5.6379300673660575
ɣ	ɡ	5.618610899075915
ɡ	ɡ	5.443182248633023
ð	d	5.419690732323387
p	p	5.254738298314771
m	m	5.246788522027289
w_ˈe	ˈo	5.221519618282661
n	n	5.201572767321725
ˈa_n	ˈɐ̃	5.121873235905946
d	d	5.114205590093662
ɲ	j̃	5.085783144654497
ˈi	ˈi	5.049988547660844
k	k	4.955818077201763
ʎ	l	4.896429263331088
t	t	4.888666662041888
ˈu	ˈũ	4.839189181266446
ˈi	ˈĩ	4.734420055382516
b	b	4.728356656008798
n_t	t	4.6872142826812695
θ	z	4.648495551930453
t	ʧ	4.530420614423445
β	v	4.523543043221867
ˈo	ˈõ	4.4972572751712185
b	v	4.490619937221118
r	h	4.369178332332004
ˈi_ŋ	ˈĩ	4.364231406108201
ˈo_n	ˈõ	4.307498517444639
w	w	4.307472003678685
e	e	4.304348813825822
ˈe	ˈe	4.299337827008951
ˈa	ˈa	4.294088231173931
β	b	4.210741687870868
e	i	4.032228122142627
n	j̃	3.995386802015349
s	s	3.9050030257634214
j	j	3.8456472317480865
u	u	3.801955448154818
s	ʃ	3.7727300933988794
ˈo	ˈo	3.7147658670644934
θ	s	3.667419742861791
l_u	w	3.6426948906639525
ʧ	j_t	3.5009783297266037
ˈo_ŋ	ˈɐ̃	3.494786983097946
a	ɐ	3.459307806991844
ɾ	ɦ	3.4406741643622603
i	i	3.4293860971834236
a	a	3.402996785781374
ɾ	ɾ	3.3883435292751733
ˈo	ˈo_w	3.3857093570262746
ˈa	ˈɐ̃	3.3505839470808816
ɾ	h	3.2541094038215026
j_ˈe	ˈẽ	3.2506447162095937
ɲ	n	3.1877218179556177
ˈu_n	ˈũ	3.1668785324647386
d	ʤ	2.9981979064286453
n_u	w̃	2.9119015867542233
ˈo	ˈɔ	2.8677181834687775
n_t	ʧ	2.847566630983598
ˈu	ˈu_j	2.7215490605877326
ʝ	ʒ	2.7160399868489558
ŋ	w̃	2.624398069894443
ˈe	ˈẽ	2.588103303888817
e	ẽ	2.567362053872349
o_l	o	2.5624543407798264
θ	j_ʃ	2.5150073336991077
ˈo	ˈu	2.480375279715133
i	ĩ	2.4763702900012703
o	u	2.4447272284421695
<#_ɡ	<#	2.4281728039171178
e_l	e	2.3667661315134425
θ	ʃ	2.214281325582626
ˈo	ˈɔ_j	2.1708288789466703
ʧ	t	2.0967604061072387
ŋ	j̃	2.074657887300585
ˈe	ˈi	2.0600258709330297
ʎ	ʃ	1.840972039826936
s	z	1.8279606647154916
ˈe	ˈe_j	1.815680598649018
#>	w̃_#>	1.793592263668676
w	ˈo	1.736478515754481
u	w̃	1.7144166219138253
e_n	ẽ	1.7125683490610997
n_a	ɐ	1.701307693783005
u	d_u	1.6553755984238834
j_ˈe_n	ˈẽ	1.4811379083073122
f_w	f	1.4770580717787385
ˈe_ɾ	ɦ	1.4733775080283624
ˈe_n	ˈẽ	1.4652491111288932
ˈe_ʝ	ʎ	1.4008634921514207
ˈe	ˈɛ	1.3749562424632058
ˈe_l	w	1.3733627874014336
l	l	1.2627877320681393
ˈo	ˈo_d	1.2162708175400438
t	w_t	1.209775986398777
ˈi	ˈi_ʎ	1.2058554416281182
ŋ_ɡ	ɡ	1.166929155069805
ʃ	ʃ	1.142645723804264
e	ẽ_j̃	1.140117643473186
ˈe_ŋ	j̃	1.1251611675006747
ˈa_ŋ	ˈɐ̃	1.113697661689328
f_j	f	1.1053046959973387
ˈo	ˈo_j	1.0992783173958127
m_b	b	1.0210364879401914
ʧ	ʧ	1.0076318403506472
ð	ʤ	0.9652922267589856
u	j_u	0.9161566740332552
ŋ_k	k	0.8875515557575657
j	ˈẽ	0.8811129854316843
s	j_ʃ	0.8542694203886884
ɾ	j_ɾ	0.8528542463900903
j	ˈɛ	0.8026495008759322
j	i	0.7714878389235273
<#_a	<#	0.6369750685816568
ˈi	ˈe	0.5115634107211923
ˈe	j	0.4904209467006575
l	ɾ	0.38910442329393624
ˈe	ˈo	0.21083142661936943
#>	i_#>	-0.44106277124122223
