Phone1	Phone2	PMI
w	w	6.788901473995552
f	f	6.317645206120536
j_ˈe	ˈɛ	5.7451708439187525
m	m	5.713155413602808
ɣ	ɡ	5.698623275599401
θ	z_e	5.441289783612845
ˈu	ˈu	5.365339098387588
ˈi	ˈi	5.288195003838525
ʎ	p_j	5.270460604649266
p	p	5.238498515320117
w_ˈe	ˈɔ	5.163276396515748
ʎ	ɰ	5.150887480453412
ʝ	ʧ	5.0393418701648685
ʃ	z	4.982451655121716
n_u	ŋ	4.965785723964332
b	b	4.958775463593172
β	v	4.931496533692276
ʧ	t	4.91034360980124
t	t	4.88918521816529
d	d	4.879034485907215
ɲ	ɲ	4.825893367369678
ŋ	ŋ	4.561899391735778
k	k	4.551248932511814
l	ɰ	4.385308399978295
i	i	4.374193892586896
l	l	4.300485892406976
ˈa	ˈa	4.29622082793376
s	s	4.2561044054626125
ɡ	ɡ	4.23968907830592
b	v	4.2111449617698415
n	n	4.1792883068694415
ˈo	ˈo	4.16721273455697
j	j	4.02184103588464
ð	d	3.922699582310418
o	o	3.820879593123162
e	e	3.715572997394079
ˈe	ˈe	3.711167975391053
θ	s	3.6037547174211264
u	o	3.567809832201449
ˈu	ˈo	3.5417816227661607
a	a	3.5113129584225806
<#_e	<#	3.492340038399083
ɾ	r	3.469520618813616
f_w	f	3.26287255113464
r	r	3.259701041146281
ˈo	ˈɔ	3.114721292082761
n	ŋ	2.983914305124457
j_ˈe	ˈe	2.9534941785687896
ˈe	ˈɛ	2.9311737390573067
ɲ	n	2.6987624531453527
w_ˈe	ˈo	2.6011578995974123
s_#>	#>	2.535564249636879
ʝ	ʤ	2.483894127873774
u	ɡ_o	2.354525343933304
s	r_s	2.191688305727732
ɾ	a_r	2.056346380696503
<#_ɡ	<#	1.9887638974220077
ˈa_ð	ˈa	1.88495048592582
e	i	1.884462380390716
θ	z	1.8275628232059984
s	z	1.7630075907570697
ˈe_ʝ	ʧ	1.6337235895890534
ð	t	1.6093232212149016
o_s	i	1.5786432711555298
j	ˈi	1.5511369260342638
n_u	n	1.539668024871321
ʃ	s	1.5345040177526856
ʝ_a	a	1.5177223874202828
l	j	1.3754797444212228
ˈo	ˈu	1.3365678216653487
ˈe_ʎ	ˈe	1.2176886369612212
n	ɲ	1.2108169739225514
b_j	v	1.2050760891142829
n_w	n	1.1279664837037915
j_ˈe_ʎ	ˈɛ	1.0982780794934364
j	e	1.0715345463055204
b	z_v	1.0699004469850235
m	e_m	1.047086358309267
ˈe	e	1.034764373343399
f_j	f	0.9991266204354724
ˈe	ˈo_ɡ	0.9875454666917372
β	b	0.9790529450645672
ˈe	ˈɔ	0.9527674269939596
u	i	0.9403709716792406
i	ˈi	0.9122727977538794
o	ˈo	0.8722342817978866
ʝ	j	0.8697179139989093
ˈe	ˈe_d	0.8568839881285764
β_j	v	0.847572905433019
t_j	t	0.8205096612187747
<#_a	<#	0.7969786215219583
m	ŋ	0.7589605664754527
ɾ	e_r	0.7519933433696635
j	ˈɛ	0.7295664576990802
o	ˈɔ	0.7265779125174074
ʎ	j	0.7098628536745941
u	d_o	0.6815403643136173
o_l	o	0.6205096612187746
<#	<#_z	0.6160433059747584
ʎ	ʧ	0.6087759355137465
e	o	0.5638206741256302
ˈe	ˈi	0.5554552181391942
ʎ	l	0.5257684356579778
l	e	0.4461853062381712
ˈi	ˈe	0.3786351279368744
<#_ʎ	<#	0.2863482039504142
e	a	0.252339526627782
t	s	0.2305248881065147
ˈe	ˈa	0.1370829624793234
ˈo	o	0.0721995747525896
ˈe	ˈo	0.0440242809662268
a	ˈa	0.0113725232701629
#>	e_#>	-0.468213678081732
