Phone1	Phone2	PMI
ʧ	cː	7.427341574566011
m	m	5.963627901692928
d	d	5.943029575206151
ɡ	ɡ	5.784291591547158
b	b	5.783757097963483
θ	ɕ	5.722670534085553
f	f	5.660942779454043
l	l_ʊ	5.526287763188765
p	p	5.4014016687916255
s	s	5.332398952627287
ŋ	n_ʊ	5.327806212170818
t	t_ɪ	5.129763756256942
ˈu	ˈu	5.124212604879615
ŋ	n_ɪ	4.958206830859829
ˈɛ	ˈɛ	4.8693552169379375
w	w	4.770470268796033
ˈi	ˈi	4.758204959265757
ˈɔ	ˈɔ	4.719790658273429
v	v	4.708920538911587
z	ɕ	4.657835678994118
r	ɾ_ɪ	4.5846599987719
k	k	4.480746312196791
e	i	4.419449003862322
t	tː_ɪ	4.399988185572711
j_ˈe	ˈɛ	4.347848766463051
ð	ʤ	4.33237331906023
s	ʃː	4.318909385093451
l	ɖː_ʊ	4.314608678486649
l	l	4.271994065073461
s	ʃ	4.216131299305882
o	u	4.210569470875495
ˈo	ˈu	4.188582126082798
m	mː	4.098431001063646
ˈa	ˈa	3.995602014513968
k	kː	3.9735100323475336
t	t	3.933239296887014
r	r_ɪ	3.9107765504208847
ˈe	ˈi	3.8484037041638253
ŋ	ŋ	3.828582927640977
n	n	3.7513515545335863
a	a	3.730537324220007
ˈo	ˈɔ	3.6677945051468357
s	sː_ʊ	3.6063302877922303
n	nː	3.5112341353458323
r	r	3.305453118508957
d	t	3.152086900928058
o	ʊ	3.0595808387513515
r	ɽ	2.970080656924185
t	tː_ʊ	2.954446180823471
e	ɪ	2.951759453250745
ɡ	k	2.8954369676299025
ˈɛ_r	ˈɛ	2.8248336394665805
r	ɾ	2.655168325579774
ɲ	ɲː	2.6122600427209317
j	j	2.5707833734258845
j	ɟː	2.559653161554173
l	ɖː	2.552905805410011
v	p	2.4558858250596387
ŋ	n	2.3510819746142233
n	n_ʊ	2.324381641422238
ð	j	2.266612926281903
ŋ	m_ʊ	2.254727123718038
ˈe	ˈɛ	2.2305178117200106
ŋ	ɲː	2.230217656855083
t	tː	2.110258313789231
s	ɕ_ɪ	2.039655450589976
ˈa	ˈa_ʈ	1.9658012468046737
ˈo	ˈo	1.9476404719771174
i	i	1.841261708498718
w_e	ʊ	1.8223939826548277
b	v	1.8145028575200381
i	ɪ	1.8095376193499824
<#	<#_a	1.7253478530074018
ˈa	l_ˈa	1.7137754543852108
r	ʐ	1.494853009517708
f_j	ç	1.4598865789730309
d	ɾ	1.3175216202018762
θ	ʧː	1.1778221192821332
p_j	p	1.176879079117262
ˈɛ_l	ˈɛ	1.1501569842173507
r	ʈ_ɽ	1.1070569986045045
ˈɔ	ˈa_w	1.1006964086753865
r	w_ɾ	1.0169108289086384
a	ɟː_a	1.0000776734865786
ˈa	ɾ_ˈa	0.9841315197476332
s	ʦː	0.9532647317187667
o	o	0.9121129245517592
<#_j	<#	0.8261861739652897
o_l	ʊ	0.777468846848875
ˈɛ	ˈu	0.5391261733978914
o	a	0.28708828558456434
#>	ɪ_#>	-1.8590207020484366
o	ɪ	-0.0697177715194811
<#_p	<#	-0.003939114382538871
