Phone1	Phone2	PMI
i_ŋ	ĩ	8.373053404461201
ˈo_ŋ	ˈũ	7.698174301504901
ˈe_ŋ	ˈẽ	7.590510231054518
ˈi_ŋ	ˈĩ	7.466488428984005
w	w	7.302709820626768
ɲ	ɲ	7.294461224180392
ˈa_ŋ	ˈã	6.844816993365921
ˈi_r	ˈi	6.509627419184293
ˈu	ˈyː	6.456825882980684
z	z	6.247116244045128
b	b	6.028065056656058
ð_e	ʧ	6.025619783116851
z	ʒ	6.0108321159891
j	j	5.971158065800344
ˈi	ˈiː	5.968323710993983
ʧ_o	ʧ	5.825619783116851
u	y	5.767270718528654
ɡ	ɡ	5.739082955864232
ð	ʒ	5.7312027137925705
e	i	5.502558545036711
o	u	5.493047079095442
ˈɔ	ˈɔ	5.1098542937737745
p	p	5.109211862758806
v	v	5.087064522904935
ˈi	ˈi	5.012802195261272
ˈa_r	ˈa	4.988544279121193
m	m	4.95900436946699
d	d	4.947655106370213
f	f	4.906060125621539
n	n	4.9038748372452465
e	e	4.855090164938532
ˈe	ˈeː	4.798131339858354
ˈo	ˈu	4.781325230963767
ˈo	ˈuː	4.773196834064298
ˈɛ	ˈɛ	4.7345589225824165
θ	ʧ	4.64000603723619
e	d_e	4.582603977979684
ˈo	ˈøː	4.521875206729426
r_o	r	4.302027289756072
l	l	4.279496392750489
ʧ	ʧ	4.19304360827806
ˈa	ˈɑː	4.148283708533382
ˈe	ˈe	4.146347680386041
j_ˈe	ˈe	4.136642895594514
k	k	4.135289948918071
t	t	4.105833407568945
ˈa_r	ˈɑː	3.988451234908942
ɡ_o	k	3.96885604194899
s	s	3.9420055763285475
ˈa	ˈa	3.8243759239886885
ˈɔ	ˈoː	3.8121418143758063
j_ˈe	ˈeː	3.6704677066001077
r	r	3.5763682548847155
a	a	3.571806949105228
v_e	f	3.397326949529352
o	o	3.3727358806920793
θ	s	3.041257019401067
i	e	3.0335875679575954
ˈe	ˈɛ	2.827642777541125
s_e	s	2.8143863843984493
<#_j	<#	2.766182973216196
t_o	t	2.753956219668376
ŋ_t	t	2.741512531025853
ˈe	ˈiː	2.7112081484309316
o	y	2.705302805853926
ˈu	ˈy	2.552486420536357
ˈɔ	ˈœ	2.026970017082179
ˈɔ	ˈøː	2.0081685844106807
o	ˈuː	1.9729471862995285
ˈe_r	ˈɛ	1.9507894691164869
ŋ	m	1.9131122105787972
e_#>	#>	1.8724014147138057
ˈo	ˈyː	1.6801585613440793
t	ʧ	1.3153252677561669
ˈɔ	ˈu	1.1835273210468875
ˈe	e	1.17960943597659
v_o	f	1.149037232563155
e	e_r	0.9220932545348273
o_#>	#>	0.7581814784378706
ɡ	k	0.5318319723153471
d	t	0.3868466231530265
r_#>	#>	0.12877216059703978
#>	r_#>	0.0951640123723271
