Phone1	Phone2	PMI
ʒ	ʒ	4.889475665981914
ẽ	i	4.262549455156387
ˈɔ_h	o̯ˈa	4.191168746857641
ˈɐ̃	ˈɨ	4.024589704898673
ʤ	z	3.893774361082974
ũ	u	3.8910641544073026
f	f	3.8910641544073026
õ	u	3.8910641544073026
v	v	3.861584226600592
ʧ	n_t	3.8132491882618695
v_u	w	3.6382749526370985
a	a	3.6327640852654888
w̃	n_e	3.62484355939416
ɡ	ɡ	3.5898251858999526
o	o	3.548995338858793
o	u	3.497138819272777
m	m	3.4492314021282633
ˈu	ˈu_r	3.3995530529003024
z	ʦ	3.392062483589608
b	b	3.370135586686904
d	ʦʲ	3.3663767474248028
ʒ	ʤ	3.3583743733749563
ˈẽ	ɨ	3.3401301941582244
k	r_k	3.3353121000022172
j̃	n_e	3.3040779566362173
d	d	3.2862904222128386
ˈi_ʎ	ˈi	3.2748780149834853
e	i	3.2700971131939793
ˈũ	ˈu	3.262681197660888
ʧ	ʦ	3.221712041442291
ˈẽ	ˈɨ_n	3.2187649006065673
ˈɛ	e̯ˈa	3.216712983108502
p	p	3.1825820388427077
l	l	3.173478544370586
ɡ_u	k	3.126458009865212
ɐ̃	u	3.112851323525842
o_h	u	3.112851323525842
s	ʃ	3.082227811559163
ˈo	ˈo	3.068407341016311
j̃	m_n	3.0412011590546912
d_u	t	2.997246278385206
ˈa_h	ˈa	2.9822084010206655
ˈɔ	o̯ˈa	2.959561197470881
<#_h	<#	2.9517072666175164
ˈe	e̯ˈa	2.9477119041279916
a	ˈə	2.9435526559361738
ˈu	ˈu	2.9432577120516763
<#_e	<#	2.9261175608384473
k	k	2.9217140708544185
ˈi	ˈi	2.9128562934042352
s	r_s	2.8857384379712228
s_u	ʦ	2.8734034485679567
ˈa	ˈa	2.8720173335821686
ˈe	ˈe	2.867083455960445
ʃ	s	2.847941794083726
t	t	2.837246049248378
ʧ	r_t	2.826635657257344
w	w	2.820648545315232
ʎ	j	2.745389599153555
ˈɔ	ˈo	2.743259833317847
n	n	2.734077041425012
ˈõ	ˈu	2.6666844143437176
s	s	2.638231118665547
ˈĩ	ˈi	2.62950921608001
ĩ	j	2.627983494913796
u	u	2.5591284621827595
ĩ	i	2.5439377501502007
v	b	2.528161859068396
j̃	ŋ	2.5262519927454026
ɐ	ə	2.5228417752908223
ˈẽ	ˈi	2.482969510704261
z	ʧ	2.4628041095796886
ˈɛ	j	2.4545862822724778
w̃	w	2.39535333295266
s	ʧ	2.384496769553975
j	w	2.379727608388464
j	j	2.3633988105803616
ɐ	ˈə	2.3533392402220055
ɡ	k	2.3476571098801187
e	o̯ˈa	2.343383181092021
ɾ	r	2.3061575574067907
ˈe	ˈe_ʤ	2.2988241913342926
ɦ	r	2.2581287055637986
ˈi	i	2.240124171626896
ʃ	ʧ_e	2.2363970956014807
j̃_u	n	2.2241454185179026
b	p	2.1948559644148453
j̃	j	2.1928157952431957
#>	kʲ_#>	2.1581862237087868
e	a	2.1488412807170905
t	ʦ	2.1109672113526856
ˈo	ˈu	2.1070622961367373
ʤ	d	2.098042263155036
j	p	2.069668278241546
i	e	2.0511358200371808
e	u	2.0432785886416833
ʧ	t	2.031583530924746
z	s	2.0287576406944163
ʎ	k	2.020572192362928
ˈe_h	e	1.9881433621739955
ʒ	ʃ	1.9872383026687759
u	w	1.9600786746598773
ˈõ	ˈu_n	1.9549978148853393
d	t	1.93170941779387
ˈĩ	o	1.9187501843084145
ˈõ	o̯ˈa_m	1.9125199090136498
d	z	1.8908370690198744
a	o	1.8856421683420241
ˈu	ˈo	1.8555879417269099
w	l	1.852837338085331
ˈi	ˈə	1.8247037389482668
ʒ	n_ʤ	1.8210036871642141
v	z_b	1.8210036871642141
ˈĩ	j	1.8089633537287113
ˈo	o̯ˈa	1.7910345917192163
z	ʃ	1.7826052521961366
w	i	1.7806980859250627
l	e̯ˈa	1.7753741926157116
ʃ	nʲ	1.753599994905453
t	n_t	1.733409686655238
ˈɔ	ˈu	1.7231358688253635
ˈõ	ˈo	1.6788530546847764
ˈe_h	ˈi	1.658280205989832
ɦ	ʃ	1.6536505329409907
a	ˈa	1.6276838800225375
<#	<#_j	1.5905350723573568
ˈĩ	ˈu	1.5747483998794882
w	u	1.5689143244195323
p	p_j	1.5596376492110855
h	n	1.529479627776438
ˈɛ	ˈe	1.5233686353776692
n	m_n	1.5105477874453839
ẽ	n	1.5074416308266807
ʃ_#>	#>	1.4938977932882347
i	i	1.473632097868987
t	ʧʲ	1.4503433035679487
e	ə	1.398294936292388
ʧ	w	1.3892993649445269
ˈẽ	ˈe	1.38111274792052
k	ʧʲ	1.376798347542885
s_u	s	1.3702803618872277
ˈɐ̃	ɨ	1.3610845545973482
d	ˈa_t	1.360565100091224
#>	r_#>	1.3550646044943717
v	w	1.3516284134249024
ˈũ	ˈu_n	1.3495416886275557
ˈe_j	ˈi	1.3099512059933942
ʤ	t	1.2887615338122522
ˈɐ̃	j	1.2563895498183517
ɡ_ɐ	k	1.250583203946085
w̃_#>	#>	1.2453165854152197
ˈe	ˈə	1.2370225832758124
ʃ	kʲ	1.211989954685011
ʎ	n	1.199352622637251
ʃ	k	1.1857354425662956
ˈɐ̃	ˈa	1.185119343496032
j̃	n	1.1792585662250903
ɐ	a	1.1754835828356365
u	ə	1.1552968158791115
ˈõ	o̯ˈa	1.1486560328200044
l	ˈə	1.1477651627501284
w_ɐ	ə	1.132076877488816
k	ʧ	1.1211940167412309
w̃	j_n	1.1184459977500907
ɡ	b	1.116467151127339
ˈe_l	ˈə	1.115492621595506
u	o̯ˈa	1.112090192427238
ʃ	f	1.0950083633051748
ˈe	ˈi	1.0942840399240759
ˈɛ	ˈa	1.0941721120730428
i	a	1.0921147177440673
ˈɛ	i	1.0428667998441674
w	r_e	1.0287167532545822
ˈi	ˈe	1.0034013120852738
w̃	n	0.9812237988334644
j̃	l	0.9615900095977067
l_u	r	0.9402476453840615
<#	<#_z	0.9370361710430979
u	ˈe	0.9034793026882612
o	o̯ˈa	0.8713971605960263
h	n_e	0.8585894009240386
i	ə	0.8430442744473766
ˈo_h	o̯ˈa	0.8382337493715282
b	m	0.8186218502211986
ɡ	ʤ	0.7655605847391539
ˈɛ	j_ˈa	0.7600941039044797
a	ə	0.7507994861286387
u	e_r	0.74921528949132
ˈo_ʎ	ˈo	0.7442330235223811
ˈa	t_ˈi	0.7046519493875827
ˈẽ	ˈu	0.7042313779783422
v	d	0.6967361264052485
ˈɔ_j	ˈu	0.6760477061282624
ˈɔ	u	0.656463727696868
ˈi_h	ˈi	0.6549756029966971
ˈe	j_ˈe	0.6388669431904166
w	ˈe	0.6276471428417368
j	ʧ_e	0.6228584016557093
s	ʦ	0.6208241597748494
u	e	0.6181873211268689
v_ˈa	ˈa	0.5964416802041331
u	ˈu	0.5769428269753629
ɐ	e	0.5542686456937324
ˈẽ	ˈa	0.5217319358871491
l	u	0.4732055813220371
ʃ	d	0.4702535384029879
ˈo	ˈu_n	0.4668266901457943
l	j	0.4595461434663126
ˈa	ˈi	0.4485511541740138
j	t	0.4132418876413295
w̃	ˈu	0.39878883390428427
v	p	0.39449301817005183
ˈi	ˈɨ	0.38588112967677
ʤ	r	0.38572990093610515
ʃ	p	0.3469877948099917
<#	<#_s	0.34079042256356357
w	r	0.336558291661813
ˈõ	m	0.33149438658004166
ɡ	p	0.3303628347341867
ɡ	m	0.3102710547078116
ɾ	ˈe	0.28585264357184126
j	ˈa	0.28134138463233005
ˈo	ˈa	0.28125876652698645
e	ˈi	0.2657935731856344
b	t	0.2250888202967229
#>	n_#>	0.22090240215905962
i	ˈi	0.10715299402639049
d	k	0.09187719172542283
e	e	0.08094179288096803
w	e	0.06890622353105649
ˈi	e	0.054084285615398665
k	p	0.016646375083573896
ˈe	ˈa	0.0004949722710184623
ɐ	ˈa	-0.6315423934328859
a	e	-0.2832913385812038
s	t	-0.20776779736745235
j	e	-0.17569763405270186
l	r	-0.11876397314125738
i_#>	#>	-0.10003618685091534
s	k	-0.0551304327283983
ˈa	ə	-0.045698714177760294
j̃	r	-0.03631273913321272
j̃	e	-0.015089063776069233
j	ə	-0.00060423006683522
u	r	-0.00017274177037237548
