Phone1	Phone2	PMI
v_i	f	7.696519495645805
j̃	ɲ	7.596563842381379
ˈĩ_j̃	ˈi	7.57244191379164
j̃_u	ɲ	7.526457674984647
ˈo_w	ˈo	7.503313770935396
u	o_l	7.495382116723341
o	o	7.305804104721181
ˈe_j	ˈɛ	7.011085897440765
ˈɐ̃	ˈa_n	6.851755259955849
ˈu	ˈy	6.830780121818475
m_i	m	6.825744981695506
ʒ	z	6.764522523942235
t_u	t	6.722200119704239
t	n_t	6.715698274964294
ˈa_h	ˈa	6.588059587031918
l_u	l	6.506229141962278
d_u	t	6.4061012939487805
t	t_e	6.356526418320338
ʎ	j	6.320741318183725
k_u	k	6.284997489729007
v	b	6.247847481464108
ˈõ	ˈɔ	6.2318433408431995
j_ʃ	s	6.196887606629597
ˈɐ̃	ˈa_ŋ	6.196324430651339
w	w	6.142689224357817
ʧ_i	t	6.139808126646857
ɾ_u	r	6.133008402520602
b	b	6.128769341376491
ˈe_h	ˈi	6.054854744235842
s_u	s	6.006865525474475
f	f	5.80955475750443
ɡ	ɡ	5.776848788639945
d	d	5.72129859396197
ˈi_h	ˈi	5.664111057662578
ʎ	ʤ	5.567364843779878
i	i	5.540422833767445
m	m	5.492794069931966
z	z	5.462771747744744
ˈĩ	ˈi	5.431909953544337
ʃ	f_j	5.374805752751671
n	n	5.356315429746775
p	p	5.2984597600208465
ʤ_i	t	5.0623861015393405
ˈũ	ˈø	5.024499644343894
ˈi_ʎ	j	4.943263449497595
ˈo_j	ˈɔ	4.871073896025529
ˈi	ˈi	4.821875026910092
l	l	4.737437735481865
ˈɛ	ˈɛ	4.703517986742167
<#_v	<#	4.599394053948068
k	k	4.595314771218805
h_#>	#>	4.461326969323218
ˈe	ˈe	4.42259973509031
ˈo	ˈo	4.416493099647998
ˈe	ˈɛ	4.416164448300687
ˈa	ˈa	4.400120915166513
e	e	4.384130421726816
u_#>	#>	4.368880783465136
v	ʋ	4.33743104366307
ˈẽ	ˈɛ	4.331030261678765
j	e	4.273345080612274
t	t	4.264517780078924
ˈo	ˈɔ	4.230857827597124
ˈɔ	ˈu	4.209338224691648
u	ˈø	4.190282401938867
s	s	4.1776394182173675
e	i	4.159189352929483
ɾ	r	4.149473439014832
a	a	4.145530350496657
ɦ	r	4.14305857711895
ˈɔ	ˈo	4.1428231568742735
u	j	4.125469634092597
h	r	4.12301134309215
ˈi	ˈe	4.114896963668674
w	l	4.056386221279956
i	e	4.053562752090659
ʃ	s	4.052708022612062
<#_e	<#	4.001089292820113
ɐ	a	3.9943478697765813
ˈɛ	ˈe	3.9911010719140076
ˈũ	ˈy	3.9726735629023846
i_#>	#>	3.963568584352967
ˈɔ	ˈø	3.948774370303716
ˈo	ˈu	3.929665579953321
p_u	p	3.88272548414457
ˈɐ̃_w̃	ˈu	3.849330461316413
ɡ_u	k	3.781434275973858
ɐ	n_a	3.713655959530652
j̃_ɐ	ɲ	3.633848934932664
ˈɐ̃	ˈa	3.632084084177693
ˈẽ	ˈe	3.6274194237446684
ʃ_#>	#>	3.6150858906234333
ʃ	ʧ	3.603958099061301
u	e	3.5795207177384767
ˈɔ	ˈɔ	3.4987517345247365
a_b	a	3.46626671080665
õ	o	3.4298870218442197
ẽ	e	3.400465542601228
ˈɐ̃_w̃	ˈa	3.3365190201347956
ˈõ	ˈu	3.0659625009254103
ɦ	r_e	3.0304620804854507
ˈe	ˈi	3.0111798448087037
ˈu	ˈu	2.8698883984078916
ˈi_ɡ	ˈi	2.796294448495201
ɐ̃	a	2.6626414105047
j̃_#>	#>	2.6461324892871767
p_i	p	2.594875934370019
ʧ	t	2.5885695744596275
e	ˈi	2.532941402323246
ˈa_b	ˈa	2.444357412622806
b	f	2.3249169138556525
ʒ	ʤ	2.31629093651107
ˈe_j	ˈe	2.3036859723181284
ˈo	ˈø	2.265370063944629
d	t	2.2546909616908657
ˈa	l_ˈa	2.252351183793104
ʃ_u	s	2.2289782235399347
b	ʋ	2.2273483529159575
ɾ_i	e	2.2225840028368538
v_ˈa	ˈa	2.2082787226422975
<#_a	<#	2.1128864780572023
ɾ	e_r	2.05245930037871
a	e	2.003139708923213
ɡ	k	1.7431583989312844
j̃	n	1.7366895641687952
j_ʧ	ʧ	1.687646490586293
ɾ_i	r	1.6714848586383713
ˈu	ˈo	1.6574635651039782
