Phone1	Phone2	PMI
ʃː	ʃ	7.45586195862873
n_ʤ	ɲ	7.136158250496578
ŋ	ŋ	7.027640268160378
ð	ð	6.726872778533329
ɡ	ɡ	6.461625268448841
m_i	m	5.803447552972065
o	u	5.750681614366261
d	d	5.715883486566156
ˈi_n	ˈi	5.57061203093328
n_t	n	5.556358561963228
f	f	5.499207931048208
ɖː_u	ʎ	5.457112273145636
t_u	t	5.406459583652551
ɣ_u	k	5.328853363830707
t_i	t	5.321152956029216
m	m	5.211500097919815
ð_u	t	5.198210987206175
l_u	l	5.1897583208246
β	β	5.104534495912622
b	b	5.092461594672512
l_i	l	5.076416161591613
ɣ	ɣ	5.019422679474199
p	p	4.960921597096618
s	ə_s	4.884506810944689
ˈu	ˈo	4.627398647030127
ˈa_n	ˈa	4.625583484962334
ʒ_i	w	4.609580955747961
t	t	4.564552651081009
n	n	4.543924246856212
k	k	4.5349814078226665
ˈa_r	ˈa	4.499378070615364
ˈu	ˈu	4.4656097008636095
ˈe	ˈe	4.406852252824335
ˈo	ˈɔ	4.223278081611619
<#_i	<#	4.217065947796592
r_i	ɾ	4.163450024733353
z	s	4.123565191073787
l	ʎ	4.040597942052096
w	w	3.9894894535510055
r_u	ɾ	3.8765362968582586
ˈe	ˈɛ	3.866208509022882
ˈa	ˈa	3.862394039332877
r	r	3.6444758626733553
s	s	3.554960008232216
ˈi	ˈi	3.545644692034589
r	ɾ	3.4304814437502293
ˈi	ˈɛ	3.2494067251778347
ʧ	s	3.2039804709870485
ʣ	ʎ	3.127034937281736
rː	r	3.0827558994692374
j_u	ʎ	3.045965558917725
a	ə	2.9697191492976542
r_u	r	2.9578728717798835
ˈo	ˈu	2.952699251449906
e_r	ɾ	2.9302616691638472
l	l	2.811942684247203
s_k	s	2.8046650053907953
ˈi	ˈe	2.567617812603554
#>	n_#>	2.3573846881122478
i	i	2.339328968306117
ŭ_#>	#>	2.3192423198217824
#>	w_#>	2.2526186258399314
e_#>	#>	2.208623649842478
rː_u	r	2.171139450538414
t_e	t	2.1234015393879906
i	ˈi	2.0921569633481614
ˈo	u	1.9861689688441768
n_ˈu	n	1.935288317073368
z_ŭ	s	1.901351349414039
j	ʎ	1.9012453810505685
ˈa_j	ˈa	1.895651664776603
β	w	1.8472909248027585
i	ˈɛ	1.7596444959804125
u	ʎ	1.6345961074719295
e	ˈi	1.5392758469791634
i	w	1.5321280796917325
r	l	1.4728469084389082
nː	ɲ	1.1945069921254816
t	l_t	1.1509321170357119
p_r	p	1.11802174898035
ˈo_r	ˈɔ	1.0805333815346254
e	ə	1.0771678169049614
ˈo	ˈo	1.0375313029732238
j_#>	#>	0.989346172028062
u	u	0.9527896677631981
<#_ʧ	<#	0.8655105288162481
i_#>	#>	0.693035158961012
e_r	ə	0.48521992042765005
d	t	0.4068031584377375
u_#>	#>	0.05154003698126461
<#_b	<#	-0.1845881798398492
<#	<#_b	-0.08927765652080111
