Phone1	Phone2	PMI
n_ʤ	ɲ	5.206750173022546
ɡ	ɡ	4.265451586786195
ʒ	z	4.13156545599767
ʦ	ɥ	3.9074671888922854
ĕ_#>	#>	3.835411903056306
ʤ	d	3.8204558119026557
e	ə	3.750915321042359
ɣ	ɡ	3.7392337547929793
ɲ	ɛ̃	3.7026727762462723
d	d	3.6548943945898023
ɣ_u	ø	3.6108823939700807
o_z	ø	3.6108823939700807
f	f	3.532773739450875
m	m	3.5189751651534844
n_i	ɛ̃	3.4885844939059893
ˈi_ð	w	3.414990703794491
s_t	t	3.3875917296063767
ˈa_t	t	3.3875917296063767
t_ˈa	t	3.3875917296063767
u	ø	3.369496926071116
ˈu	y	3.351771891798445
p	p	3.3163747882656414
i_s	e	3.3096301881366648
n	n	3.298483684762164
ŏ_#>	#>	3.2853417735029953
t	t	3.2452924657607483
l	ɛ_l	3.1706963616063595
ˈe_n	ɑ̃	3.1631897636217423
o	ɔ	3.1610627360258303
ŋ	ɔ̃	3.126704928016343
j	j	3.1178039934640362
ŋ	ɑ̃	3.0540252704611253
β	v	3.0292398357607655
ɣ	ʒ	2.997229216296771
k	k	2.9840470946883415
ʃ	t	2.9717034212704094
ˈa_n	ɛ̃	2.962138220997018
z	s	2.955458374416051
ˈo	œ	2.950642689093099
k	ʃ	2.9459918802529708
s	s	2.8909514286605646
s_#>	#>	2.8897446936408193
ɖ	l	2.8553749158590684
ʣ_a	j	2.851617950212364
ʧ	s	2.7916329777319495
ˈo_t	ɥ	2.7603686216713386
b	v	2.749496459537076
#>	f_#>	2.743957435958513
l	l	2.7363926670975927
b	b	2.70580049980923
ˈo	ɔ	2.6680269057958936
ˈu	u	2.5680602184113877
ˈu_β	y	2.499177778916631
ˈi	i	2.434650796228684
w	a	2.3700724625599
ɖ_u	o	2.317809255792871
s_u	o	2.317809255792871
ʒ	ʒ	2.304082035736826
o	u	2.2676177243780353
ˈe	j	2.263073558512454
ʦ	s	2.262311193856106
i_n	ɛ̃	2.2216036657477636
r	ʁ	2.1945410717455203
i	e	2.1585942946625454
a	a	2.1567181259974095
ĕ	a	2.155555639237145
ˈo	u	2.1430421274353573
ŭ_#>	#>	2.139061098590518
β_u	f	2.119664243670525
w	ɔ	2.08324839006253
ˈa	ɛ	2.065855701992808
v	v	2.032555037763826
r_i	e	1.9857781128819991
ð_a	e	1.985778112881999
j	i	1.97784441752568
ˈe	w	1.9749123884295015
e	a	1.9022819151269157
ʒ	s	1.8957949011064437
ŋ	ɛ̃	1.8660104363286194
ˈo	ɥ	1.8499724630988517
r_u	ʁ	1.845729408017166
d	ʒ	1.8385960091385938
ˈe	ə	1.834927778851334
