Phone1	Phone2	PMI
n_u	ŋ	8.286983255555532
ʒ_i	ʦ	7.2066466669788225
ð	ð	6.905773166666919
n_t	n	6.891875726569817
n_i	ŋ	6.796251394418181
ɖː_u	t	6.543568249119492
ˈa_i	ˈa	6.466421094438775
d	d	6.398099976271356
ð_u	t	6.363541343141467
f	h	6.306377929655568
lː	ʎ	6.031297439266731
ˈa_r	ˈa	6.006971070204435
ŋ	ŋ	5.982849161414703
ʒ	z	5.762993995471232
β	β	5.709140211620659
m	m	5.651395260476096
p	p	5.638914073121179
n	n	5.54734961481139
l_u	w	5.536039475602791
n_ʤ	ɲ	5.47244311776916
o	u	5.437981006136231
ˈu	ˈy	5.43094341602077
ɡ	ɡ	5.366845860977467
b	b	5.198281175748322
t_u	t	5.166387711041367
e_r	e	5.049696058059135
k	k	4.948274998486222
rː	r	4.941387400128376
e	e	4.860254033705548
l	l	4.850091059065507
ˈi	ˈi	4.840126196825615
ˈo	ˈɔ	4.801943006517301
s	s	4.784214391242319
e_#>	#>	4.708150113130329
r	ɾ	4.660423659407266
ʧ	s	4.581451471741341
ˈa	ˈa	4.568014829026046
u_#>	#>	4.558889412741704
ˈo_l	ˈɔ	4.551728123445844
t	t	4.472776326836072
i	e	4.44410605020799
i_#>	#>	4.430685757797161
ˈe	ˈɛ	4.42798474664464
ˈo	ˈu	4.349159210833316
ˈo_r	ˈu	4.286169673212902
r	r	4.261412953009367
ˈi_r	ˈi	4.171616755708601
ˈu	ˈu	4.164272406999737
i_r	e	4.081925343204517
ˈe	ˈe	4.008299991348747
t	w_t	3.9298680467362304
ʃː	j_ʃ	3.923788503801314
a	ɔ	3.8775352992021936
z_ŭ	s	3.867376014331549
r_i	e	3.865591119255984
ˈe	j_ˈe	3.852953664145345
a	a	3.830374634533599
k_u	k	3.800860384125428
ɣ	ɣ	3.7465813611841
ɣ_u	k	3.664723309543243
ɣ_u	w	3.603776716285596
ˈi	ˈe	3.5092488253722363
j_u	ʎ	3.421664597948032
z	s	3.3455182852067358
i	i	3.342875202226199
u	u	3.213621906283958
#>	k_#>	3.1269244298965826
ˈo	ˈa_w	3.00810602755178
l_i	w	3.000960405192819
ˈe_l	ˈɛ	2.9726420983807262
ɣ	ʤ	2.8515188115224683
j	ʒ	2.800971472725541
u	e	2.7962159451905704
ɲ	ɲ	2.7438205762587664
t	j_t	2.7391763045876463
β_u	w	2.735255132109687
t_i	t	2.720752702020778
ˈo	w_ˈe	2.65443414930872
ˈi_n	ˈi	2.619391270770284
a	l_ɔ	2.581609809393819
b	ɡ	2.526023462850476
z	z	2.5071599669602
r_u	e	2.3851043671687924
<#	<#_a	2.34174152630736
w	w	2.2143793554562112
u	w	2.068426506719968
<#	<#_e	2.0506056295521224
i_n	i	1.8251037577253024
ŭ_#>	#>	1.7435677449640712
lː_u	ʎ	1.7081112575810713
r	l	1.6915979715858194
ɡ_w	ɡ	1.6111655383665873
j_#>	#>	1.601212699180313
ɣ_u	ˈɔ	1.5966380098938144
ɡ	k	1.577737222854684
u	ɔ	1.4856193911061415
ĕ_#>	#>	1.45211616656627
ˈo_r	ˈɔ	1.4345977983488556
p_r	p	1.3780161290155182
s_u	s	1.36071813874783
ˈe	j_ˈɛ	1.3448505515921203
n_a	ɔ	1.3408110040376473
ă_#>	#>	1.3317890071533576
j	j	1.3206388680297312
b	β	1.3158835431907705
u_z	s	1.248387269092354
d_i	t	1.2379281853872997
ˈi	ˈe_j	1.2358874810995428
t_e	t	1.2297874192448837
#>	r_#>	1.1671290712286386
z_ŏ	s	1.16071813874783
s	ʃ	1.1565139811921
o_z	s	1.1530817993107143
ˈi	ˈɛ	1.0984680088856384
m	nː	1.0983307437021688
e_r	ɾ	1.07961110947581
z_ĕ	s	1.0700742994549457
u	ˈɔ	1.0680643231248363
z_ă	s	1.0435310606212191
nː	n	1.004893270569313
a	ɾ_ɔ	0.936697974648555
ɖː	l	0.9352132093196024
b	ʒ	0.8808360627726319
z	j	0.8792203117756854
ŏ_#>	#>	0.7914720608651767
ˈo	u	0.7516808175310651
ˈe	ˈi	0.6694549687221614
r	β	0.6643165641642323
ɣ	k	0.6624103821702585
n	ŋ	0.6125942887528764
i	w	0.6040696324372459
i	ˈi	0.4721979121629768
ˈo	w	0.3961593017983545
ˈo	ˈa	0.3417309695313352
a	e	0.2219689138455528
