Phone1	Phone2	PMI
ʒ_i	z	6.8529844205665125
o	u	6.80044633405297
ɡ	ɡ	6.170221504021254
e	e	5.2935138512401
p	p	5.197627868132112
d	d	5.170811630698996
ˈu	ˈy	5.0200043659581
f	f	4.995034792220711
n_u	ŋ	4.933393236496762
l_u	l	4.90760509698644
m	m	4.812796933346626
ˈi	ˈi	4.802388240533944
b	b	4.721884627145149
k	k	4.630465521729727
t_u	t	4.62438588583545
e_r	e	4.562853464801759
ŭ_#>	#>	4.453258121429403
ŋ	ŋ	4.448897211409074
n_ʤ	ɲ	4.410304383586063
i	i	4.3979645991102085
s	s	4.377422963680577
ˈa	ˈa	4.3488484062323645
b	v	4.335139271028982
ʤ	ʤ	4.316087228698328
ˈu	ˈu	4.236886744909754
n	n	4.202688916964568
w	w	4.104996941689163
t	t	4.0980297391025164
ˈo	ˈɔ	4.024304291261132
m_i	m	4.018640293449888
l	l	3.9952431885254103
ˈo	ˈø	3.993615277737341
r_i	ˈe	3.9871872127210986
ˈa_ð	ˈa	3.976804086717296
a	a	3.8189285125315706
t_i	t	3.7047893713306057
ˈe	ˈɛ	3.6357069672711333
u	j	3.6025420038114357
r_u	r	3.4852626017203225
r	r	3.4396884566261017
<#_i	<#	3.437895002019238
ʧ	ʧ	3.39307927971055
i_r	e	3.269783047407905
z	z	3.174138577927866
ʧ	s	3.164230319667119
ˈa_i	ˈe	3.114048266086085
ˈe_ɖː	ˈɛ	3.1000368227521977
ˈo	ˈu	3.09804917184478
n_i	ŋ	3.047601365263736
n	ŋ	2.993810093092877
l_i	l	2.9608917888284867
i	e	2.9457814512017566
ˈe	ˈe	2.928220141143419
ɣ_u	ɡ	2.7672801115473087
ɣ	ɡ	2.680707881289164
ˈo_j	ˈø	2.3476914750097984
ĕ_#>	#>	2.3019550008653877
t	j_t	2.1412231161270183
β_u	v	2.092371567337152
l	j_l	1.9884797508282277
p_u	p	1.9633761487154315
β	v	1.9078977883898263
ˈi	ˈə	1.9074540892826986
k_u	k	1.843639670681013
j_u	j	1.7818437658364574
ˈi	ˈe	1.6965575120092922
ʣ_u	j	1.6859031984861157
rː	r	1.6561754489604565
s_u	s	1.6043990912098962
ˈe_i	ˈe	1.5977886802089192
ˈe	ˈɛ_j	1.5629154614526333
r	j	1.5560987840383878
b	ʤ	1.4746083192422215
e_#>	#>	1.4568425030288559
ʃː	s	1.4505329296035372
ð	t	1.3891087634053922
#>	l_#>	1.3812875760057854
z	s	1.3789222287484562
<#_a	<#	1.3240410637962292
ʦ	s	1.3085059215600825
ɡ_w	ɡ	1.2809132351590946
u	j_l	1.2159705195091997
i	ˈe	1.2148565691782727
#>	f_#>	1.1509775004326939
ˈi	ˈɛ	1.0857560825991284
ˈi_ʣ	ˈi	1.0320008963998737
i	j	0.9963947120414453
j_#>	#>	0.9731837629104424
j	v	0.9387592889020956
n_i	n	0.9382183953831404
nː	ŋ	0.9273958524799667
d_u	d	0.9055186489265645
ɖː_u	l	0.8624015150888837
r	ə_r	0.8621657777715817
u	a	0.8240877282973944
ð	d	0.7483735003243404
rː_u	r	0.7469625523924993
r_i	j	0.7241405298048609
ʒ	s	0.7200492792312108
e_r	r	0.7179897063774905
o_r	r	0.7129775521040367
ʣ	j	0.6697415258320178
z	j	0.6317176851753443
r_i	r	0.6048638758314963
ˈe	ˈi	0.3453889644196162
a	e	0.3129026855131023
i	a	0.30832257802363616
#>	r_#>	0.14997736422102043
u_#>	#>	-1.8339657385627466
i_#>	#>	-0.8312955601917988
