Phone1	Phone2	PMI
ʒ	z	6.55262442766947
ɣ_u	øʏ̯	6.392172599722332
ɲː	ẽɪ̯̃	6.362338043422219
ˈi_n	ẽɪ̯̃	6.254001730228464
ɣ	ɡ	6.160078869712641
ˈa_t	t	5.889792191755361
s_t	t	5.790070359345747
ŋ	ɒ̃ʊ̯̃	5.683555332119358
ɡ	ɡ	5.6424867896694995
d	ʣ	5.636506673464285
t	ʦ	5.580941258662432
ŋ	ã	5.2835553321193585
ʦ	ɥ	5.219943187983751
z	s	5.054703747501683
ˈu	ʊ	5.044363461081093
ˈu	y	5.044363461081093
d	d	5.022428807886006
p	p	4.918947462195715
t	t	4.861583671438843
m	m	4.82460391332941
w	a	4.766048043242362
n	ɲ	4.747964098689623
ŏ_#>	#>	4.739746284258123
ʤ	d	4.7298492668418755
s	s	4.533606912460688
nː	d	4.526574122772739
n	n	4.524999697362116
ʣ	j	4.503342267282633
b	b	4.491427555960964
d	ʒ	4.483164085952233
u	øʏ̯	4.444109292538885
k	ʃ	4.429650988393476
f	f	4.4268850222771325
ʧ	s	4.421590580004895
ʃː	t	4.367336306816992
e	œ	4.343947276579489
j	j	4.2230665970287244
bː	v	4.211608572630291
k	k	4.2035246376381314
o	ɔ	4.193856555702349
ˈi	ɪ	4.058402882857328
β	v	4.050103500560266
l	l	4.035440422159085
ˈu	ʏ	4.0286474341529
b	v	4.02500788870924
ˈo	aœ̯	3.9595807341553226
ĕ_#>	#>	3.958693785267742
#>	f_#>	3.958693785267742
a	a	3.955259845819711
ʒ	ʒ	3.931311839580494
s_k	k	3.930950362071204
w	ɔ	3.8924000845008675
o	ɑɔ̯	3.892227174968284
ˈa	ɑ	3.8810159476274726
nː	n	3.8652098822733083
lː	l	3.8162926559080095
sː	d	3.7709866477282366
ɖː	l	3.7649146822615687
ˈa_n	ẽɪ̯̃	3.71770194583124
ˈo	ɑɔ̯	3.674394306078895
β	f	3.669210728917471
ˈa	oʊ̯	3.620214710249453
ˈa	æɛ̯	3.6096917850167682
i	e	3.5707145537686857
o	øʏ̯	3.537818087543261
mː	m	3.3070016223147
ʦ	s	3.253898747018356
ˈo	ɒ̃ʊ̯̃	3.2098884875545153
ŋ	ẽɪ̯̃	3.207599990895018
o	u	3.173949420992166
ˈo	o	3.169080512943404
j	œ	3.1288173649322952
u	i	3.126960851190995
b	ʒ	3.115878705971164
a	ɑ	3.096386375743929
ˈi	i	3.092862169367447
ˈe	oʊ̯	3.0564676935381256
ð_a	e	3.011750828945906
ˈu	u	2.9646147226934545
ˈo	ɥ	2.9604744085440946
ĕ	ɛ	2.95944245151344
ˈa	a	2.953015174771649
ˈe	j	2.892817780905946
ˈe	w	2.892044038592257
ˈo	ɔ	2.847132249311108
u	u	2.8362639010516366
r	ʁ	2.8004855043597043
t_u	i	2.6910699215673746
ˈi	ɛ	2.4987398952826014
a	e	2.4870542070033297
ˈe	ɛɪ̯	2.4491277934535756
ˈo	u	2.427225114600925
i	i	2.383556644895836
ˈu	ɔ	2.350536857115175
rː	ʁ	2.3465696117711485
ʧ	k	2.331373941933662
e_#>	#>	2.326915182223078
β	b	2.309271204284249
j	i	2.304597082484651
ˈi_ð	w	2.293291156421706
ˈo	œ	2.222751551995234
sː	l	2.2127178873087803
a	ã	2.2110078084399243
e	ɛ	2.182178155506328
sː	s	2.1329226427290062
ˈe	æɛ̯	2.096252521704634
i	ɛ	2.073727124498646
ð	w	2.0710601214977684
ˈu	œ̃ʏ̯̃	2.043171603099678
r_i	e	1.9888535507629963
