Phone1	Phone2	PMI
ŋ	ŋ	7.146305097434065
ɲ	ɲ	6.493492795682891
u	u	6.4831504920533645
ˈe_ʎ	ˈɛː	6.273639352402745
ɡ	ɡ	6.156678381865985
u	o	5.66974200853305
m	m	5.4267026765103035
ʒ	ʥ	5.360998104835194
ð	d	5.343614390223385
f	f	5.329208753159148
β	v	5.205501281493249
p	p	5.2011037814029235
ˈɔ	ˈɔː	5.1557287946459285
d	d	5.056783860785964
b	b	4.747715177969121
t	t	4.685123961033736
i	e	4.60843613487878
ˈɛ	ˈa_j	4.5501243332838985
ˈi	ˈiː	4.442111181304094
ʎ	ʎ	4.4104628601934
ˈo	ˈuː_r	4.402281570300331
ˈɔ	ˈɔ	4.383734885001723
l	l	4.377334245014416
ʒ	ʃ	4.350385275626188
k	k	4.348513652880652
ˈa	ˈaː_r	4.192199446851225
n	n_ʨ	4.155517795020067
ˈo	ˈu	4.139451474203738
b	v	4.132957125826249
ˈu	ˈi	4.030876656943365
n	n_t	3.98692731796766
k	ʨ	3.981816982964733
ˈi	ˈi	3.893362355944641
ˈe	ˈe	3.87111516444591
ˈe	ˈɛ	3.849729781634708
s	s	3.8198484477383685
n	n	3.7140824800880425
ˈɔ	ˈu	3.708782987323198
s	ʧ	3.60714094200829
ɾ	r	3.5623148740701156
r	r	3.5417683476493105
ˈɛ	ˈeː	3.3824831579285464
ˈu	ˈu	3.281783773996834
ə	ə	3.276224165738956
ʃ	ʃ	3.2720103545995483
w	f	3.212277643693811
ʎ	l	3.1355160993913347
ˈa	ˈa	3.0239134472524007
ˈo	ˈuɔ̯	3.0104005915584686
ˈa	ˈaː	2.855459794750805
ˈɛ	ˈe	2.847621388067627
ˈo	ˈuː	2.8128030674265183
<#_ə	<#	2.8066576168776436
ˈɛ	ˈɛ	2.758441446952613
ˈu	ˈiː	2.7487806854138808
ˈa	ˈɔ	2.7126789925572714
ɾ_ə	r	2.5760763055256986
ˈe	ˈa_j	2.3797848617417694
ˈa	ˈa_w	2.368510513837855
w	ʃ	2.2986330056042674
ˈi	ˈɛ	2.278755561503122
ˈe	ˈɛː	2.231772894328508
ˈi	ˈi_n	2.206992872918672
s	ʃ	2.189874767656206
ɣ	j	2.176113693170279
ə	i	2.1595490628481886
w	ʦ	2.153268572527958
ʎ	l_j	2.0321327474675996
m_b	m	1.9302833556852068
ˈo	ˈu_n	1.8612646753892885
ˈa_ɣ	ˈaː	1.7681153289828195
ɾ	ə_r	1.743864442378761
β	w	1.6910022270166722
#>	n_#>	1.6688564241190884
ˈɔ	ˈa_w	1.6386094585211568
ˈa_p	ˈa	1.5859041669663576
ˈɛ	ˈiə̯	1.5747780247709662
w	w	1.5510298320277587
ˈu	ˈuː	1.5407214214583658
ɲ	n	1.526980209140574
#>	ʃ_#>	1.4409513467922541
<#	<#_ʒ	1.4299494239009365
ˈɔ_w	ˈɔ	1.3496838320622846
ˈu	ˈɛ	1.337137039858913
ˈu	ˈiː_r	1.2116467385008276
t	w_t	1.199106808176658
ˈe	ˈa	1.1422265498491355
ˈi	ˈiː_r	1.0854347014998529
ɾ	r_ˈa	1.0755185638342273
t_ɾ	t	1.047466239787199
ˈe	j_ˈɛ	1.0402106879764592
#>	i_#>	1.0299494239009364
ʤ	d	1.0217583143620839
ˈa_l	ˈa	0.9909307921705484
ʒ	ɡ	0.976683925963477
j	ʨ	0.9114615603416392
t	t_ə	0.8997706527753533
w	e	0.8832440194005333
ʃ	s	0.8786537275068589
t	ʦ	0.7944690601974078
ˈɛ	j	0.7691925869255849
t	ʨ	0.7594213536572335
ə	ə_r	0.7219827646472405
#>	f_#>	0.7070074550778948
ˈɔ	u	0.6790690673191793
ə	a	0.675562818283421
<#	<#_ˈa	0.6299494239009366
ˈɔ	w	0.5620765671749479
ˈɔ	ˈuː	0.5297520671697653
ˈɛ	ˈɛː	0.47959856052942856
b	ɡ	0.44725410199036686
ˈɛ	ˈi	0.4410695449409494
w	j	0.3745062627349297
#>	ʨ_#>	0.34977353664449956
ˈɛ	ˈu	0.2410695449409494
w	ə	0.2019550921948999
ˈɛ	ˈa	0.1965910606736598
#>	r_#>	-0.5951161565115427
