Phone1	Phone2	PMI
ʧ	cː_ʊ	8.482350111380216
ɲ	ɲː_ʊ	7.742301544403172
j	ɟː	6.944721391124075
m	m_ʊ	6.64313872869586
z	ʤ	6.559905428479619
m	m_ɪ	6.526146228551629
w	w	6.453243661778305
b	b	6.255254394711089
ɡ	ɡ	6.243589611953134
ˈe	ˈɛ_n	6.1506979062518585
o	u	6.132068294107864
ʧ	tː_ɪ	6.085426910893808
d	d	6.022316738761751
ɲ	ɲː	5.831155847735848
ŋ	nː	5.791221378768575
ˈi	ˈi_n	5.761428331128755
d	ʈ_ɽ	5.7024189487674946
z	j	5.659235681446119
t	t_ʊ	5.634143626175724
f	f	5.625023866220717
p	p_ʊ	5.592385122012635
t	tː_ʊ	5.528929863842206
i	i	5.392218025478984
ʤ	ʤː	5.360876528582775
k	k_ʊ	5.359976349620767
r	ɾ_ʊ	5.309238009655609
s	sː_ʊ	5.2765275556166324
m	m	5.242408121987844
l	l_ʊ	5.2072207191998725
l	ɖː_ʊ	5.1301626880229145
ŋ	ŋ	5.120911163083664
l	l_ɪ	5.090228219055641
s	ɕ_ɪ	5.087021039595459
j	ˈi_ɟː	5.052528375507165
t	t_ɪ	4.979237617241399
f	v_ɪ	4.856066354123192
ˈɔ	ˈɔ	4.752937099752486
ˈy	ˈu	4.602860391524876
p	p	4.5489361762238465
k	kː	4.483141273373228
ˈi	ˈi	4.375007869837715
k	k	4.322312582772527
r	ʐ	4.314125179431953
s	ʃ	4.281414725392976
s	ʃː_ɪ	4.209696328943108
s	s_ʊ	4.209696328943108
ˈø	ˈɔ	4.148792580501224
n	nː	4.133322448336865
ˈa	ˈa_ɾ	4.132716611103237
s	s	4.121199553559484
ˈo	ˈu	4.115478706446258
ˈa	ˈa_n	4.099386637221346
ˈɛ	ˈɛ	4.096160430925843
ˈɔ	ˈa_w	4.082728166892777
o	o	4.069305698916056
ˈu	ˈo	4.043517993398931
n	n	4.033968068548246
t	t	4.015398430758742
e	i	3.9948691938198917
ˈu	ˈu	3.9234426919423435
s	ʦː_ʊ	3.7846430288544135
a	a	3.670599867998034
l	l	3.6627364195159267
ˈo	ˈɔ	3.6584015757221033
d	t	3.616505868335223
ˈa	ˈa	3.5917299110506793
ˈe	ˈɛ	3.5905297100172295
ʋ	p	3.5138525126985685
k	ɡ_ʊ	3.5026277443978926
f_j	ç	3.241723587862601
r	r	3.19355104632017
ˈu	ˈu_n	3.1914015179978223
ˈe	ˈi	3.1468553294050765
ˈa	ˈa_r	3.101310777604608
r	ɾ	3.052310547876774
ʋ	v	2.989043980147841
r	r_ʊ	2.971835729094478
t	tː_ɪ	2.909219641230815
e	ɪ	2.872490831609446
r	ɾ_ɪ	2.8662027328745032
ˈɛ	ˈi	2.854388625497087
s	ɕ	2.850686741822011
ˈø	ˈu	2.8398957229543096
z	ɕ	2.8327749875952946
ˈe	ˈe	2.728547869414023
r	ʐː	2.5806580994340025
i	v_i	2.5672336177786788
z	z	2.5386114579192554
l	ɖː	2.486771391819959
#>	j_#>	2.440615210584825
b	v	2.412642958813058
ˈɛ	ˈe	2.4000237905799953
<#	<#_a	2.3452904200157993
f	v_ʊ	2.2839192920166584
ˈe	v_ˈi	2.197995426024695
m	mː	2.1808474929672643
s	ʃː	2.1377044409866413
ɡ	k	2.129051626368639
j	j	2.1136714127278053
o	a	2.067443655594245
<#	<#_v	1.7930655026604148
r	ɾ_ˈi	1.642041551281506
ˈu	ˈɔ	1.5346538901541686
n	n_ɪ	1.4426569514054186
r	ɽ	1.3520889608762463
o_l	ʊ	1.2721033349824185
d	ɾ	1.2567159835285846
ˈy	ˈu_n	1.2425338268769335
o	ʊ	1.1800384153621188
j_ˈa	ˈa	1.0866995156139725
ˈɔ	ˈu	1.0593967558250177
ˈi	ɪ_ɾ	1.0592498233183023
e	v_i	1.023269644736841
ˈa	v_ˈa	0.9189179007832979
l	w	0.887935125355251
ˈa_l	ˈa	0.8624968984837451
ˈi	ɪ	0.8545422763844174
s	ʦ	0.8521318998565783
e	j	0.6389375484130019
f	v	0.5988704483203516
t	tː	0.5892194145989074
n	ɲː	0.5457523217626215
t	d	0.4589040266776353
l	r	0.4542437194082315
o	ˈu	0.36271224823272574
e	ʊ	0.20527056671274857
e	a	0.14059506571241168
r_#>	#>	0.06522593679310734
l_#>	#>	0.044867823158069725
#>	ʊ_#>	-1.3757342700247783
#>	ɪ_#>	-0.3722437326326643
ˈɛ	ˈa	-0.042065311307169485
