Phone1	Phone2	PMI
ɡ	ɡ	6.457685019529098
ɔ̃	ˈũː	6.28748518532264
o	ˈɛ_l	6.129116852478692
ʒ	ʤ	5.827893806101336
p	p	5.455928613614591
ɛ̃	ˈãː	5.3372475990580375
d	d	5.323295905294533
b	b	5.278126981098946
i_ʁ	ˈi	5.254254033922056
ɔ	ˈɔ	5.110142967133699
i	ˈi	5.099590577306155
l	l_a	5.090041648259736
v	ʋ	5.014266157026151
y	ˈy	4.891962978903179
f	f	4.875506726582591
n	n	4.80168433220556
ɛ̃	ˈĩː	4.728424524933165
m	m	4.702648583803471
ɑ̃	ˈẽː	4.624622411059722
k	k	4.49978584038522
ɑ̃	ã	4.324094671102305
ɔ	u	4.251262250704016
s	s	4.174649750015585
t	t	3.9764721727350363
e	ˈa	3.8877870261886844
ə	e	3.717165994529
ʃ	k	3.714164797182313
œ	ˈøː	3.707029195612338
ʁ	r_a	3.647916921626063
ɥ	ˈy	3.6163957887988074
#>	p_#>	3.5945080700760963
ɑ̃	ˈɛ̃ː	3.557505390405389
l	l	3.456099815521158
n	n_a	3.4239501233175194
l	j	3.3178096285383907
#>	k_#>	3.2716980198766388
j	j	3.2254531230080095
o	ˈɔ	3.162454196145018
ʃ	k_a	3.1142465232327696
a	ˈa	3.063950758944427
u	ˈu	3.0461442767453453
a	a	3.041216029122355
ʁ	r	2.8597626053002854
ʁ	e_r	2.840798613011296
ɲ	ɲ	2.807963899121
ɛ	ˈɛ	2.760411796702377
ɛ	ˈaː	2.7407086138963774
#>	ʦ_#>	2.6284930703645584
ɛ	ˈe	2.5776096697147697
ɛ	ˈa	2.548599603154113
w_a	ˈu	2.532145459475095
œ	ˈø	2.435368159657988
œ	ˈyː	2.4048255338928937
i	ˈe	2.3403867744363533
#>	u_#>	2.31834371328791
ʁ	r_t	2.2978650665474736
ʁ	r_n	2.2722192425131795
t	s_t	2.258521295537749
ɑ̃	ˈãː	2.1755090899741116
m	m_a	2.1281770122708537
#>	t_#>	2.064154903928022
w_a	ˈɛ	1.8688626621154059
e	ˈaː	1.8642939159212277
w_a	ˈe	1.8418433035995267
ɛ̃	ɲ	1.8220900065462307
j_ɛ	ˈe	1.7453190108533627
#>	ʧ_#>	1.5394159022830722
u	ˈø_ʧ	1.5386633783532755
s	ʧ	1.4614104605473999
ɔ̃	ˈũː_t	1.3970218482352936
j	ʤ_a	1.2883556249540826
i	ˈe_s	1.2863820469424854
z	z	1.2824107281680046
ɑ̃	ˈãː_k	1.2778998992511605
t_ʁ	s	1.2585566019873893
o	ˈa_l	1.2510806607607279
o	ˈɔ_s	1.2316347900298694
t	s_t_a	1.1587976667827613
u	ˈyː	1.1115510260999437
t	l_t	1.0996252327183218
t	t_e	1.0993565029148038
w	ˈi	1.063580880901832
ɥ	ʦ	1.0621803822638527
ʒ	s	1.053977748314559
i	i	1.0199530972072657
#>	ɲ_#>	0.9931568569324176
#>	m_#>	0.9813781191217037
ə	i	0.8688753231740701
p_w	p	0.8608929629969164
u	ˈy	0.8326280402150402
v_w	ʋ	0.8294683432150375
j	ʧ	0.7834732949850862
i_s	ˈi	0.7537660185642914
ʁ	r_e	0.70894854617536
ʁ	r_u	0.6663859976299232
#>	s_#>	0.3128517833640058
i	a	0.24697749365800242
#>	l_#>	0.1879717031099664
ʁ_#>	#>	-1.3770414745343555
#>	a_#>	-0.593269123546575
e_#>	#>	-0.03253585098077546
