Phone1	Phone2	PMI
j_t	tː	7.547168799171002
o	u	7.186046623359961
d	d	7.109516694582945
ʎ	cː	6.932315848238757
ŋ	n_ɪ	6.739103225608258
ʧ	c	6.408796175299497
ŋ	ŋ	6.165718467952805
e_s	ʃ	6.094688604190543
ʃ	j	6.09198979982837
θ	ɕ_ɪ	6.017123197091463
w	w	5.854986770441581
f	f	5.70151106788739
e	i	5.695329566318718
m	m	5.6730381107812855
s	s	5.620731351604755
ɲ	ɲː	5.577988679154817
r	ʐ	5.384681717265723
ˈɛ	ˈɛ	5.225951609290178
ɾ	r_ɪ	5.187469634257612
ŋ	n_ʊ	5.120827969276886
ɣ	ɡ	5.10154844908789
b	b	5.070740830880546
ɡ	ɡ	5.024727348967113
n	nː	4.908045063591176
p	p	4.834457117803695
θ	ɕ	4.833147212863636
ɾ	ɾ_ɪ	4.809319200560888
r	r	4.750751570258354
ˈi	ˈi	4.699072896387581
ˈu	ˈu	4.655097680993494
t	t	4.653237737355494
k	k	4.623065200961663
b	v	4.609828638297091
l	ɖː	4.608773277630182
m	mː	4.584403333467941
ð	t	4.576744436763399
i	i	4.521437970512631
β	v	4.364210937383415
ˈɔ	ˈɔ	4.347668692688274
ɣ	k	4.110932658565389
a	a	4.073498441711528
n	n	4.057405002378565
l	l	4.017160628110576
ʃ	ʤ	3.928810014907207
ˈe	ˈi	3.7439179931594757
ˈa	ˈa	3.721445889520523
ʎ	ɟː	3.7138384749401556
ɐ	n_a	3.7061728305001536
ˈɑ	ˈa	3.6951181957485577
ɐ	a	3.569222025642026
k	kː	3.509839132367358
ˈo	ˈɔ	3.5034049138633847
ˈa	l_ˈa	3.496718539644115
ˈo	ˈu	3.4685840452583014
β	p	3.4015329847011637
ʊ	ʊ	3.379128922886481
ɾ	ɪ_ɾ	3.2456273009040904
ɪ	ɪ	3.074374181708509
ɾ	ɾ	3.0722228393215585
ˈe	ˈɛ	3.068443897397303
ɾ	ɾ_i	3.04788892133346
ʧ	ç	2.958050879809112
ˈo	ˈo	2.882021730783067
ɾ	r	2.854792820411298
ˈe	ˈe	2.8271619994908543
ɲ	n	2.7836991282974815
β	b	2.456817487603487
ˈɔ	ˈu	2.4164879377500403
l	l_ɪ	2.3912382814969715
ʊ	l_ʊ	2.3307022683709375
ɾ	ɽ	2.2875840728445276
θ	ʦ	2.2061580414973307
j	j	2.1750222772142287
ɾ	w_ɾ	2.106488082834869
j	ɪ	2.047444666719214
θ	ʦː	2.038650151971808
s	sː	1.980718056872329
ˈo	ˈu_ɾ	1.903086274756554
<#_a	<#	1.8183873476421173
l	w	1.6593515124533087
s_#>	#>	1.6445735216074069
j_ʃ	ʃː	1.539463760110402
ˈa_ð	ˈa	1.4650033466823889
n_d	nː	1.313215473046688
ɲ_ɐ	ɲː	1.2297788167204287
ɪ	ʊ	1.2290190969642365
ˈa	ˈa_n	1.1776103715739525
ˈo	ˈɔ_n	1.1719580431756442
ˈo_w	ˈɔ	1.1513153321646767
s	ʃ	1.0044142012965516
t	ʈ	0.9684222977417212
ð	tː	0.9123300022233256
ˈɛ	ˈi	0.8796162471561916
o	a	0.7922776845489694
n	ɲː	0.7098255207105216
t	tː	0.6939838979857443
w	ʊ	0.5643342401334095
ˈe	ɪ	0.5632265398904792
l	ɾ	0.5115215606156612
<#_e	<#	0.5091936738210585
a	ˈa	0.4382566779920059
o	ɪ	0.3425453052939972
e	a	0.3349316971272934
ŋ	n	0.31595538240172283
ˈo	ˈa	0.25498654845887525
m	n	0.2518532308414539
ɪ	a	0.2098765477034616
ˈe	ˈa	0.1718325377108616
#>	ɪ_#>	-2.6018154561745064
ɪ_#>	#>	-0.08002772457990107
