Phone1	Phone2	PMI
ɲ	ŋ_n	8.801705640664842
j	lʲ_i	7.423136440899412
ɲ	n_e	7.185966054007108
ˈi	ˈiː_r	6.919507739894105
ŋ	ŋ	6.731093821746535
ˈe_j	ˈeː	6.601391417781202
m	m_ɛ̃ː	6.586176151149517
ʃ	s_k	6.5049562558056335
o	ɔ	6.466108956146141
ˈu	ˈuː	6.363590394405838
i	iː	6.286812060030792
s	sː_ʊ̃ː	6.2537785244917155
f	f	6.1969180275927584
w_ˈɛ	ˈɔ	6.174311696061685
o	oː	6.064757743002462
ˈo_w	ˈoː	5.755623817031649
ˈi	ˈi	5.722809145737386
b	b	5.715006821503572
j_ˈɛ	ˈɛ	5.630019283804783
l	lʲː_ʊ̃ː	5.5578724978310525
l	ʊ_ɫ_ʊ̃ː	5.477519613622215
ˈi	ˈiː_lʲ	5.466798767201363
ˈe	r_ɛ	5.4583568488122385
n	n_ɛ̃ː	5.4116520965498065
e	ɛ_r	5.381127764696486
w	ˈau̯	5.329012719649527
ˈo	ˈu	5.319926395627003
n	n_d	5.298243978005028
r	r_ʊ̃ː	5.250011347237271
e	eː	5.226007740868033
ˈi	ˈiː	5.219894511171435
n	n_ʊ̃ː	5.207012680684141
v	w	5.197129120064109
t	t_ʊ̃ː	5.183472862294423
m	m	5.118330379333519
ˈe_j	ˈɪ	5.0753918490648475
ˈɔ	ˈɔ	5.045989762542628
ˈo	ˈʊ	5.01781166741403
<#	<#_h	4.9584813270261305
t	k_t	4.885852670000709
ʒ	ɡ	4.83992929591227
ʒ	j	4.8369781023119875
ˈe	ˈɪ	4.830181476642189
ɡ	ɡ	4.808760902036475
p	p	4.787941681779832
l	ɫ_ʊ̃ː	4.782443847388159
p	p_ʊ̃ː	4.778728711092957
j	i	4.759821807941348
ˈɔ	ˈau̯	4.746585287322812
d	d	4.727161831334685
ˈo	ˈoː	4.723510777226455
ˈɛ	ˈɛ	4.6045661352993505
t	tː	4.515010679232984
t	t_ɛ̃ː	4.440715319333659
s	s_ʊ̃ː	4.365747039641162
k	kʷ	4.336646113302762
ˈa	ˈa	4.331347630749694
l	l	4.217365166440545
e	ɪ	4.16309802796368
ʨ	kʷ	4.139838459317685
ʨ	kː	4.136519713251561
s	s	4.100621271267954
ˈe	ˈeː	4.059359126887954
ʃ	s	4.045446915992377
w	ɫ	3.98063956375542
t	k_t_ʊ̃ː	3.9413278981399165
a	ãː	3.935852876278388
u	ʊ	3.8076172261047425
ˈa	ˈaː	3.7291356680931473
a	a	3.630251509059511
l	ɫ	3.5701485474220607
ˈe	ˈeː_r	3.5361233964806
k	k_ʊ̃ː	3.5264788360841632
t	p_t	3.52570522940939
ʦ	t	3.522207440485336
ʨ	k	3.505919395046012
s	k_s	3.4791129715905056
n	n	3.4628439979887995
t	t	3.4575748751638935
k	k	3.401612457029788
r	r	3.3963968664878585
a	aː	3.395742475696811
ɲ	ɡ_n	3.3818739823352466
ɲ	n_i	3.34669899717481
#>	oː_#>	3.346457296821449
r	r_ˈɛ	3.315374920550061
e	ɪ_k	3.284757347409812
r	r_ɛ̃ː	3.2683528037509624
d	t_ˈaː	3.21850624537182
ˈɛ	ˈaː_t	3.2095254340926243
v	b	3.1946025213627722
l	lʲː	2.9350289054505594
ˈu	ˈʊ	2.924586902856476
j	ɡ_ɪ	2.919067208325894
ˈɛ_d	ʊ	2.7688245504563906
ˈo	ˈɔ	2.765834808673821
#>	s_#>	2.7588069471574523
r	t_r	2.6751591142974136
e	ɛ	2.6377381113838334
r	rː	2.586066049418383
n	ŋ	2.5525786163484003
ˈo	ˈʊ_k	2.5237382932411463
d	t	2.4151299349327413
t	tː_ʊ̃ː	2.4102924661761085
u	a	2.383366195060216
w	ˈɔ	2.381624655602036
ʧ	k	2.3776159472495055
ˈɛ	ˈa	2.3504230395091463
j	ɛ	2.3246130738389543
<#_ʒ	<#	2.2438449727531546
n	n_a	2.2422713906941327
ˈe	ˈaː_t	2.223400065163478
t	d_ʊ̃ː	2.2189612258892635
ʥ	k	2.208016565938516
w_ʃ	ɛ̃ː	2.1826486079644987
ʥ	ɡ	2.1793932876813535
l	ʊ_ɫ	2.172147980601415
e	aː	2.1479453013549503
v	p	2.1469320584858362
e	ɔ	2.1398169044554813
ʦ	t_e	2.063219761111561
ɡ	k	2.0616353702454466
ʤ	ɡ	2.0404159525193157
ˈa	ˈa_k	1.966895575532558
l_j	ɫ	1.92954510789569
ˈɛ	ʊ	1.9227294682656495
f	w	1.8779845753923432
e_r	r	1.6753940193161208
ˈɛ	ˈaː	1.6713891794492148
<#	<#_ɛ	1.5154857656071496
f	w_ɛ̃ː	1.4313501087922884
ˈɔ	ɔ	1.3715050569747254
#>	ɛ_#>	1.3557442733590024
p	p_ʊ	1.3428529435264132
t	k_t_ɛ̃ː	1.3106456774176576
ˈo_r	ˈʊ	1.3053108741949093
ˈe	ˈɪ_ɡ	1.2957331376494878
<#	<#_a	1.2950315300604496
ˈi	ˈiː_k	1.21841942627194
ˈe	i_ˈaː	1.2111358097165097
e	ɛ̃ː	1.2089143101079078
f	p_ʊ̃ː	1.1228932569007763
n	ŋ_k	1.1135366979768706
ɲ	n	1.026519603856201
p_j	p	1.0247312844093344
d_e	ɛ	0.9862367779810055
d	k_ʊ	0.9818780580946849
ʃ_#>	#>	0.9630015306373745
ʒ_ɡ	s	0.9380106206514851
a	i_ãː	0.8426967478149839
o	ʊ	0.7797563736404697
ʒ	s	0.7008133909408569
d	k	0.5264352901337401
ˈɛ	ˈɪ	0.36102481103515144
#>	ɛ̃ː_#>	0.3100223883337398
#>	ʊ̃ː_#>	-1.2404060026123243
ˈɛ	ʊ̃ː	-0.020773267875815186
