Phone1	Phone2	PMI
ˈe_ŋ	ˈẽ	9.902458876949506
ˈi_ŋ	ˈĩ	9.35115575638549
ˈu_ŋ	ˈũ	9.305903797276335
ɲ_u	ɲ	9.22176222393798
ʃ	f_j	9.20895026278099
ˈa_ŋ	ˈã	8.924801551433372
w	u_r	8.816785622573079
a_ŋ	ã	8.335232149491496
ʤ_u	ʧ	8.144774645455346
z	ʒ	7.778190402587304
w	w	7.4722736181062475
p_u	p	7.286979256736726
ɲ	ɲ	7.254168600516791
i	i	7.2282757204635075
v_e	f	7.210250702649714
ˈøː	ˈøː	6.998426943572737
ˈu	ˈu	6.9487183415557086
ʤ	ʤ	6.862549115586751
t_u	t	6.83713341058791
t_e	t	6.707228099150378
ɡ_u	k	6.6433470796854435
ʤ	b_j	6.6350552360947175
d_e	t	6.577563186806662
b	b	6.471781877243125
ˈɔ	ˈɔ	6.415141276126581
ˈuː	ˈuː	6.396252508734612
ˈy	ˈyː	6.366944149608356
ˈiː	ˈi	6.360005605975124
ˈø	ˈɔ	6.300381944438124
l_u	l	6.230140497796286
ˈi	ˈi	6.146814579375184
ʒ_e	s	6.144927145699671
ɡ	ɡ	6.131755878443006
ˈe_j	ˈeː	6.129161901482981
r_u	r	6.037620633364125
s_u	s	5.86852238981767
ˈɔː	ˈɔ	5.83734753860433
e	e	5.815234774806733
ˈɔː	ˈoː	5.715811224168758
f	f	5.689860976989615
d	d	5.662415460762693
v	v	5.64369240870044
m_e	m	5.602488720052975
m	m	5.579780929481376
p	p	5.537020951913662
n	n	5.530793249954972
ʤ	ʒ	5.470677512486221
ʃ_e	s	5.469927843196465
u	i	5.459174422205151
v_u	f	5.379508293970281
ˈɛ	ˈɛ	5.350621396497625
ˈuː	ˈu	5.328814992989453
ŋ	n	5.28564760150498
ˈeː	ˈe	5.176468745649728
ˈeː	ˈeː	5.134595480083786
ʒ	ʒ	5.030549880110277
a	d_a	4.997752266884486
z_e	ʧ	4.979418231306102
ˈiː	ˈiː	4.944905913278943
k	k	4.915217646209013
t	t	4.905968589760007
w	u_l	4.905317247042578
z_u	s	4.856518275419514
ˈa	ˈɑː	4.827013552060271
ˈe	ˈɛ	4.701395848193692
l	l	4.697168474658096
u	u	4.599699450099487
ˈi	ˈiː	4.598723284997268
j	e	4.58256880516131
ˈyː	ˈyː	4.5366824859620385
ˈyː_u	ˈyː	4.522337787533653
ˈɛː	ˈɛ	4.5054761406689074
ʒ	z	4.479694090166106
ˈaː	ˈa	4.454719700680244
ˈa	ˈa	4.438870739873695
ˈyː	ˈy	4.391629486087359
ˈaː	ˈɑː	4.32879936791547
e_#>	#>	4.29270196190443
u_#>	#>	4.278256057341975
r	r	4.266072813968511
t	t_e	4.250871108636685
ˈe	ˈe	4.206250762998103
ˈe	ˈeː	4.142171234954413
i_ŋ	ĩ	4.1186330423495034
s	s	4.0657388305910676
ˈɛː	ˈa	4.062366764584499
ɔː	u	4.0246254114213995
a	a	4.0133236166263435
k_u	k	3.917431861763671
ˈeː	ˈɛ	3.9113303576721346
i_#>	#>	3.903466516938621
u	y	3.799746310127511
ʒ	z_ɡ	3.7230755823573753
ˈaː	ˈa_l	3.4408570967438346
ˈɛ	ˈiː	3.4140232173567466
ʃ_u	s	3.279877375609575
s	ʧ	3.122774192479359
ˈø	ˈœ	3.0916531693536156
n_u	n	3.057921500915999
j_#>	#>	3.0072763132222904
o_#>	#>	2.9888008644113793
j	r	2.8262344997218327
u	o	2.825768331475308
ʤ	j	2.7757687651140683
i	e	2.717132459999398
#>	r_#>	2.6957764374952635
#>	l_#>	2.632506393422013
a	l_a	2.6164979784441833
ˈaː	ˈɑː_r	2.5292521334639098
<#_a	<#	2.4186114230185534
s_e	s	2.4081075587310896
j	ˈiː	2.1669479471683037
ɡ	d	2.1631867565026845
w	u	2.135532461113908
ˈɛː	ˈɑː	2.0726368158562067
ˈy_ŋ	ˈỹ	2.0542549901456537
u_ŋ	ũ	2.0542549901456537
ʃ	s	2.049588994558233
ʧ	p_j	10.193997128410983
ʧ	ʧ	1.971076287609932
s	z	1.9452275741182554
t	ʧ	1.9141208367913545
j	j	1.7548093299371677
ˈe_j	ˈɛ	1.5627406088217897
ˈi_ʤ	j	1.5242901085756315
w_ˈɛː	ˈɑː	1.4627576874755792
e	e_s	1.437566669983109
ŋ_t	t	1.385914567648098
u	r	1.3816874661890728
#>	f_#>	1.3486351605595726
l_e	l	1.3004340241167929
ˈaː	l_ˈa	1.126923155682303
s	l_s	1.122122849524614
r	l	1.0531250203555012
a	j_a	0.9960394141596028
ŋ_#>	#>	0.8241198158538401
ˈi	j	0.7726105321575917
ˈa	ˈi	0.6454841726860556
j	l	0.5668356783694097
#>	t_#>	0.24828613538755293
