Phone1	Phone2	PMI
ˈe_n	ˈẽː	6.598441206361581
ˈo_n	ˈũː	6.254983495296811
k_r	ʧ	6.196484912902383
ˈa_ð	ˈaː	5.754639368394632
o	u	5.706098033744627
ˈi_ʣ	ˈi	5.532354270688643
ŭ_#>	#>	5.377525987723609
d	d	5.2685886440416
t_u	t	5.150842801881206
p	p	5.072101646217086
ɡ	ʤ	5.066774530476953
b	b	4.982356904595564
ɣ_e	s	4.901580539643995
ŋ	ˈũː	4.841704953350161
β	ʋ	4.81372402051036
m	m	4.793567225384872
i	e	4.789298510416701
ˈa_n	ˈãː	4.759622052401653
ð	d	4.715645197690067
n	n	4.688258185012862
ˈa_r	ˈa	4.667777999469937
rː	r_n	4.658084056279986
i	i	4.643932964111428
r_u	r	4.611319926442508
ˈi	ˈi	4.60892419490647
e	e	4.580566700455232
i_#>	#>	4.5336697979488845
b	ʋ	4.480894860761264
nː	ɲ	4.480044305199446
l_u	l	4.461042362162154
t_e	ʧ	4.46086016167845
ˈu	ˈy	4.4225347663570105
f	f	4.404038833504847
s	s	4.391115078756758
t	t	4.343599353850252
s_k	s	4.20408801537908
p_u	p	4.177538012835423
ˈu	ˈu	4.171308390697722
k	k	4.13077504898596
t_e	t	4.05211158397455
ˈo	ˈɔ	4.048690325467843
ɣ_u	k	4.035957997517347
ˈi	ˈe	3.990395602305446
ˈi	ˈeː	3.9898115881746468
ˈa	ˈa	3.9586172273138955
m_i	m	3.9545597665624714
β_u	f	3.943257261163072
ɡ	ɡ	3.864896036903174
l	l	3.824671752583944
ˈe	ˈɛ	3.79338735034531
e	i	3.7281013346104497
ˈa	ˈaː	3.7176331427541927
ˈo	ˈøː	3.590682201127149
ˈe	ˈe_j	3.586348860223014
r	r	3.465007079620243
a	a	3.443482057185715
ˈo	ˈø	3.4048291885350896
ĕ_#>	#>	3.3939740915091616
o	e	3.377629588108863
ˈo	ˈu	3.354900946798465
ˈu	ˈyː	3.3302284284558734
j	ʤ	3.2097351480815632
#>	f_#>	3.1206834846947524
ˈe	ˈe	3.05591372327738
u	j	3.0389053791803633
m_e	m	2.974602139551831
k	ʧ	2.8936162637409693
s	ʃ	2.857630356488065
s_u	s	2.762066835814965
ŏ_#>	#>	2.730619394916366
u	ˈy_ʧ	2.6973205717295294
a	w_a	2.6558138594538683
z	s	2.536500847844116
a	l_a	2.480795202480901
ˈo	ˈyː	2.4538516881023957
ɣ	ɡ	2.345116046183333
b	ɡ	2.215705343372602
ɣ	ʤ	2.1821602794390897
ˈe_ɖː	ˈɛ	2.010371467826813
u	u	1.9517596607500798
ʣ_u	j	1.9330077883967856
r	j	1.8833174415416583
ˈe	ˈɛ̃ː	1.8766444491916698
ˈi_n	ˈĩː	1.8579377102771428
sː_u	s	1.8395068045621898
ɖː_u	l	1.7920989651020198
r_e	r	1.7655183779735335
ˈo	ˈo	1.7202618093429622
#>	l_#>	1.7011651687044147
e	ˈi	1.6855732615705852
ĕ	ˈɛ	1.6749944566362776
z_u	s	1.6325512113938148
ɖː	l	1.5791397775597165
ˈa	ˈɔ	1.4824717523513482
ɣ_u	ˈø	1.4579377102771427
n	ɲ	1.4386968592531861
d	t	1.4330063370239061
a	ã	1.3193602746533273
<#_j	<#	1.1313246971697206
o_#>	#>	1.1313246971697206
m_ˈe	m	1.0775853895547325
n_t	t	1.0254798795100888
ɖː_u	ˈɛ	0.9945778896989637
rː	r	0.9887408521418829
#>	ʦ_#>	0.965309697458183
t_ˈe	t	0.9542511174650337
r_o	r	0.9526872165731739
ˈa	ˈãː	0.9515482735256755
b	k_w	0.9504937351139136
u	ˈø	0.9374521026592149
r	j_r	0.9233201249397144
u	ˈɛ	0.8932620525669301
r_ˈe	r	0.8423372078768881
i	ˈi	0.7833330242015721
u	ˈy	0.775978071003222
e	u	0.7714249443168967
ð	j	0.767821569281213
e	a	0.7557698697237037
j	j	0.7034419149960514
β	f	0.6285628120397517
b	ʤ	0.6175216898768705
ˈi	ˈy	0.608699233674761
#>	ʧ_#>	0.5702676204034922
u	a	0.543132472728725
#>	k_#>	0.3313246971697205
r	l	0.14060230271945495
#>	r_#>	0.09733969688125801
#>	s_#>	0.0661386920807488
u_#>	#>	-0.9322012232099854
e_#>	#>	-0.1796089943251571
