Phone1	Phone2	PMI
ʎ	j_ʎ	8.803507877177601
ɲ	ɲ_u	8.34256717852696
ʤ	ʒ	8.102908410448743
z	z	8.025613082902034
ʦ	s_u	7.452650576291815
ɡ	ɡ	7.272206970609668
r	ɾ_n	7.160581278888358
n_t	t	7.070844544870075
w	v_ɨ	7.037581995944707
m	m_ɨ	6.943921563692906
b	b	6.9103799972622815
l	l_u	6.832781034804565
u	ɔ	6.793215338700725
t	ð_u	6.74855361287161
d	d	6.716493698099515
ð	ð	6.425613082902034
ˈy	ˈu	6.361468445783299
ˈa_n	ˈɐ̃	6.314124776579087
ɣ	ɣ	6.302597235280032
n	n	6.2404695672908215
ʎ	ʎ	6.200977164691605
f	f	6.16989601973714
ˈu_n	ˈo	6.1647594460980715
ˈɛ	ˈɛ	6.133722068077829
k	ɣ_u	6.063041761401139
p	p	6.059390360791709
ɲ	ɲ	6.034053722248114
β	β	6.0300183196742605
ˈi	ˈi_ɾ	5.821276428338122
ˈe_j	ˈe	5.8193737941450765
ɥ_ˈɛ	ˈo	5.819290337314815
k	k_u	5.799941396255552
t	ð_ɨ	5.729657880000069
ˈa	ˈa_ɾ	5.720348699149823
j	ˈɐ_j	5.659289697551681
r	ʁ	5.604757725742892
m	m	5.601586809030938
l	ʎ_u	5.456994995335873
v	v	5.413219614520264
ˈi	ˈi	5.403176558935693
t	t_u	5.377548778181826
ɥ_ˈɔ	ˈo	5.328154440559578
ˈɔ	ˈɔ	5.291839017274701
ŋ	ˈĩ	5.2340531872617495
w	w	5.186749769609768
t	t_ɨ	5.156251826023055
j	j	5.126896027491491
e	i	5.112432709277204
ˈe	ˈe	5.103132731433771
ˈu	ˈõ	5.065013098344997
ˈu_n	ˈõ	4.956394201346534
l	l	4.826854444609464
ˈy	ˈu_ɾ	4.824503968344503
t	t	4.79416439928604
i	ĩ	4.789476460510904
k	k	4.748116590362113
l	ɫ	4.674028126466218
s	s_u	4.578497032721064
r	ɾ_u	4.570600244267639
ʦ	ʃ	4.552327806388389
e_#>	#>	4.491475799706729
s	s	4.426269483189556
m_b	m	4.319847024126454
ɔ	w_ɐ	4.315075826865389
ˈe	ˈɐ	4.302517830105144
i	i	4.1684430428698755
w	v_u	4.166127117438666
s	ʃ	4.146532073278686
j_ˈe	ˈe	4.137010029482435
β	v	4.129879642264949
a	ɐ	4.1198678859966735
ˈi	ˈĩ	4.10630927430731
ˈu	ˈɔ	4.078406496262846
e	ɨ	4.065395028954622
ɾ	ɾ	4.030211424740788
ˈu	ˈo	3.9573466090681535
ˈa	ˈa	3.9472490071689994
ˈɔ	ˈo	3.9341631048307653
u	u	3.8406126559491467
ʧ	j_t	3.8268170891494284
ɔ	ɐ	3.811209577176753
l	l_ɨ	3.737671605633775
n	ɲ	3.683673972549725
i	u	3.535990565749134
ˈi	ˈi_ɲ	3.512470489806216
ˈu	ˈo_ɾ	3.4999457722870324
ˈu	ˈu	3.492158261951283
ɔ	j_ɐ	3.4658039180464524
ˈa	ˈɐ̃_w̃	3.4107765027218515
u	ɐ̃	3.3040039833781503
w	v	3.1656016195731893
r	ɾ	3.0610555136363
#>	j̃_#>	3.037901448731478
ˈu	ˈɐ̃_w̃	3.0335970676542887
j_ˈɛ	j	3.0105414303776032
f_ɥ	f	2.9854687096983814
ˈa	ˈɐ	2.9344639178120597
a	ɐ̃	2.895983910898822
ˈa	ˈɐ̃	2.8399627977657906
ɾ	ˈe_ɾ	2.804502313090425
l_#>	#>	2.7238744945308033
k	k_w	2.5364850410207254
ŋ_k	k	2.4885700163208964
e	ɐ̃_j̃	2.4760598580903204
ˈa	ʃ_ˈa	2.437758103438178
w	ɫ	2.3863129001361134
w_ɾ	ɾ	2.2738276035825686
#>	ɨ_#>	2.1859215679491775
s	j_ʃ	2.121725375742808
ɥ	ˈo	2.083192746317787
#>	u_#>	2.0136316980722055
ˈɛ	ˈe	1.9602471444980782
w	j	1.9397535980998661
l	w	1.9177964807986698
ʧ	t_ɨ	1.8721328414636136
ˈɛ	ˈɐ	1.851633735341093
<#_p	<#	1.7669642456873487
e	u	1.7355176305494429
w	u	1.7203723367416195
e	j	1.718907249703745
<#_k	<#	1.7185734201551026
k	ɣ	1.6737965550716964
ˈa	ˈo	1.6314772980878465
k	ɡ	1.5899758477671178
#>	w̃_#>	1.5833063513004986
ʧ	t_u	1.5768329428600973
e	ɐ̃	1.487391351835346
ŋ_k	ɡ	1.4415323570000487
l_ˈu	ˈo	1.4415204929864678
#>	ɾ_#>	1.378207710962833
ˈe	ˈi	1.3543828147212442
ˈɛ_ʧ	t	1.3500402169291523
l_ˈa	ˈa	1.3177503904711498
ɥ	ˈu	1.3096137803140988
ʧ	t	1.279489407704761
r_s	s	1.249648889885937
ˈa	w_ˈa	1.2387404703038616
ɾ	ɾ_ˈɐ	1.2380934073715948
ˈɛ	j	1.1811578926348663
n_#>	#>	1.053461682835991
ˈa	ˈɔ	1.0502948483337147
<#_ɥ	<#	0.9539011966147763
ˈe	ˈe_ɾ	0.9458933585554744
j	ɲ	0.9325477949975198
e	ˈe	0.9272486990532616
ʧ_#>	#>	0.9235005779257662
ˈɛ	u	0.9161707632273677
ˈi	j̃	0.9054588886386539
e	ˈe_ɾ	0.883935973587381
ˈi	ˈe	0.6254433247265963
ˈu	ˈɐ̃	0.4787107684372134
ˈɛ	ˈo	0.4775425927194014
f	ʃ	0.4688289806157444
ˈɛ	ɨ	0.35947340826390783
#>	ʃ_#>	0.23218024177997787
ˈɔ	u	0.08275271268983558
l	ɾ	-0.053762314731714986
