Phone1	Phone2	Surprisal	OOV_Smoothed
a	a	0.5135588892219113	4.880536203473439
a	ˈa	1.7393350327332782	4.880536203473439
b	b	0.3507758180916903	4.880536203473439
b	b_w	2.2119811910428044	4.880536203473439
d	d	-0.0	4.880536203473439
e	e	-0.0	4.880536203473439
e̯a	-	-0.0	4.880536203473439
e̯ˈa	ˈe	0.34662472479605827	4.880536203473439
e̯ˈa	ˈɛ	3.0178481265349566	4.880536203473439
e̯ˈa	j_ˈɛ	4.34273173083579	4.880536203473439
e̯ˈa	ˈa	4.614195132339133	4.880536203473439
f	f	0.11210728754312801	4.880536203473439
f	-	3.741505086827713	4.880536203473439
i	e	0.5664158062915057	4.880536203473439
i	-	3.300212725862794	4.880536203473439
i	i	3.3463587996007176	4.880536203473439
i	a	4.096690910677367	4.880536203473439
i	o	4.315352702933368	4.880536203473439
j	v	0.565119251366129	4.880536203473439
j	-	1.820986438413956	4.880536203473439
j	j	4.605663447159536	4.880536203473439
k	k	0.9956034976232715	4.880536203473439
k	kː	2.847750947176117	4.880536203473439
k	p	2.9193095444147814	4.880536203473439
k	ɡ_o	3.8566332685003486	4.880536203473439
k	ɡ	4.18295271093236	4.880536203473439
k	-	4.240798998038043	4.880536203473439
k	k_o	4.310647282689829	4.880536203473439
l	l	0.9493239277887273	4.880536203473439
l	j	2.297501412735155	4.880536203473439
l	lː_o	2.7676733291720166	4.880536203473439
l	-	2.922824489581238	4.880536203473439
m	m	0.31183489817739174	4.880536203473439
m	mː	3.992651223348366	4.880536203473439
m	n	4.2046391996566115	4.880536203473439
m	-	4.553692194916313	4.880536203473439
m	m_o	4.846844497523907	4.880536203473439
n	n	0.5807347646020056	4.880536203473439
n	ɲː	3.3940265721148863	4.880536203473439
n	-	3.710436442367641	4.880536203473439
n	n_o	3.7263772923972476	4.880536203473439
n	ŋ	4.564236684531363	4.880536203473439
o̯ˈa	ˈɔ	0.5764271048641174	4.880536203473439
o̯ˈa	ˈo	1.602186296294549	4.880536203473439
p	p	0.15922290712850232	4.880536203473439
p	p_o	3.801346337127814	4.880536203473439
r	r	0.390562305104499	4.880536203473439
r	-	3.6664379019666837	4.880536203473439
r	l	3.8486901277814822	4.880536203473439
r	l_o	4.096820111925908	4.880536203473439
s	s	0.10704067761927866	4.880536203473439
s	sː_o	4.676437193234866	4.880536203473439
t	t	0.546493448579314	4.880536203473439
t	tː	2.8709609020937634	4.880536203473439
t	t_o	4.043665533401165	4.880536203473439
t	-	4.198619234474339	4.880536203473439
t	p	4.3459196627649765	4.880536203473439
u	o	0.16754494362334207	4.880536203473439
u	e	3.36345381261732	4.880536203473439
v	v	-0.0	4.880536203473439
w	ˈu	0.3557384111790936	4.880536203473439
w	v_o	2.1940938623284088	4.880536203473439
ç	f	-0.0	4.880536203473439
ŋ	-	0.6757858237223427	4.880536203473439
ŋ	ŋ	1.4188557034095741	4.880536203473439
ə	a	0.3595582923827736	4.880536203473439
ə	e	3.2607992366814953	4.880536203473439
ə	o	3.8127118473721584	4.880536203473439
ə	v_e	4.659133611423125	4.880536203473439
ɡ	ɡ	0.3072969597541105	4.880536203473439
ɡ	-	2.381983198025732	4.880536203473439
ɨ	ˈa	-0.0	4.880536203473439
ɲ	m	0.3680551954481335	4.880536203473439
ɲ	ɲː	2.1508896770105412	4.880536203473439
ʃ	s	0.8485701053241091	4.880536203473439
ʃ	-	1.2541928769217034	4.880536203473439
ʎ	j	0.5044730786032232	4.880536203473439
ʎ	l	2.6384253887728377	4.880536203473439
ʎ	-	4.365195679358482	4.880536203473439
ʎ	ʎː	4.4958272221564854	4.880536203473439
ʎ	ʎː_o	4.586098433173944	4.880536203473439
ʣ	ʤ	0.7443282558864193	4.880536203473439
ʣ	d	1.5828057126345276	4.880536203473439
ʣ	-	3.852621085679026	4.880536203473439
ʤ	ʤ	-0.0	4.880536203473439
ʦ	ʧ	0.8782885756526825	4.880536203473439
ʦ	-	1.9288276092708758	4.880536203473439
ʦ	ʧː	3.2913990428624125	4.880536203473439
ʦ	t	3.45472069325488	4.880536203473439
ʧ	ʧ	-0.0	4.880536203473439
ˈa	ˈa	0.346498482666549	4.880536203473439
ˈa	ˈɛ	3.203104218897595	4.880536203473439
ˈa	-	4.177037695795044	4.880536203473439
ˈe	ˈɛ	0.5927280284616081	4.880536203473439
ˈe	ˈe	1.5695557288120312	4.880536203473439
ˈi	ˈi	1.4159772740576797	4.880536203473439
ˈi	ˈɛ	1.92598450264914	4.880536203473439
ˈi	-	2.7019881260697947	4.880536203473439
ˈi	ˈe	2.8062700612979508	4.880536203473439
ˈi	ˈi_v	4.1423883410074405	4.880536203473439
ˈo	ˈɔ	0.8927689715433225	4.880536203473439
ˈo	ˈo	1.861087095743621	4.880536203473439
ˈo	w_ˈɔ	3.166766024694798	4.880536203473439
ˈo	o	3.7408734504612573	4.880536203473439
ˈu	ˈo	1.256370146791294	4.880536203473439
ˈu	ˈu	1.518537088879582	4.880536203473439
ˈu	ˈɔ	2.258304701871748	4.880536203473439
ˈə	ˈi	-0.0	4.880536203473439
ˈɨ	ˈa	-0.0	4.880536203473439
