Phone1	PhonEnv	Phone2	Surprisal	OOV_Smoothed
<#_a	#|S|>	<#	0.0	4.804214043715618
<#_a	#|S|>_N	<#	1.921685617486247	4.804214043715618
<#_a	#|S|>_R	<#	0.0	4.804214043715618
a	#|S|>	a	0.27977891247874065	4.804214043715618
a	#|S|>	ˈa	4.760363735116726	4.804214043715618
a	#|S|>_N	a	4.514842474418665	4.804214043715618
a	#|S|>_R	a	0.9698440300258185	4.804214043715618
a	<|S|>	ˈa	3.046010143573676	4.804214043715618
a	<|S|>	a	3.21407786557828	4.804214043715618
a	<|S|>_R	ˈa	2.902803830304387	4.804214043715618
a	<|S|>_R	a	4.514842474418665	4.804214043715618
a	F_<|S|#	a	0.965692317992459	4.804214043715618
b	#|S|<	b	0.06538923393079736	4.804214043715618
b	#|S|<	-	4.3037769424624255	4.804214043715618
b	#|S|<_F	b	0.9640667418157789	4.804214043715618
b	>|S|<	b	0.08167475379956661	4.804214043715618
b	>|S|<	-	4.247406811360021	4.804214043715618
b	>|S|<_F	b	2.1137799446489196	4.804214043715618
b	>|S|<_F	-	4.051499631871963	4.804214043715618
d	#|S|<	d	0.0	4.804214043715618
d	#|S|<_F	d	0.0	4.804214043715618
d	#|S|<_R	d	1.921685617486247	4.804214043715618
d	>|S|<	d	0.0	4.804214043715618
d	>|S|<_F	d	0.0	4.804214043715618
d	F_>|S|<	d	0.0	4.804214043715618
d	F_>|S|<_F	d	0.9608428087431236	4.804214043715618
e	<|S|#	e	0.9608428087431236	4.804214043715618
e̯ˈa	#|S|>_R	ˈa	1.9481995079056782	4.804214043715618
e̯ˈa	<|S|>	ˈe	0.8635695514540505	4.804214043715618
e̯ˈa	<|S|>	ˈa	1.882486588214364	4.804214043715618
e̯ˈa	<|S|>	e̯ˈa	3.2873083139311277	4.804214043715618
e̯ˈa	<|S|>_N	ˈa	1.0009013961560962	4.804214043715618
e̯ˈa	<|S|>_R	ˈe	0.4832877440643883	4.804214043715618
e̯ˈa	<|S|>_R	ˈa	2.6416454560080505	4.804214043715618
e̯ˈa	<|S|>_R	e̯ˈa	3.759475918029962	4.804214043715618
e̯ˈa	F_<|S|#	e̯ˈa	2.9026430731398816	4.804214043715618
e̯ˈa_w	<|S|<	e̯ˈa	3.843371234972494	4.804214043715618
f	#|S|<	f	0.0	4.804214043715618
f	#|S|<_F	f	1.921685617486247	4.804214043715618
f	#|S|<_R	f	0.9608428087431236	4.804214043715618
f	>|S|>	f	3.0	4.804214043715618
f	F_>|S|<	f	1.921685617486247	4.804214043715618
i	#|S|>	-	1.1034892424438942	4.804214043715618
i	#|S|>	e	3.583986027909032	4.804214043715618
i	<|S|#	e	0.12537144102190967	4.804214043715618
i	<|S|#	-	4.060797413240176	4.804214043715618
i	<|S|=_F	-	1.9631237026796935	4.804214043715618
i	<|S|=_F	e	4.701193126616054	4.804214043715618
i	<|S|>	e	0.6953948898886531	4.804214043715618
i	<|S|>	i	2.232315280872627	4.804214043715618
i	<|S|>	ə	2.9317355290310654	4.804214043715618
i	<|S|>_N	e	0.8654949881211249	4.804214043715618
i	<|S|>_N	i	2.4001376598264237	4.804214043715618
i	<|S|>_N	ə	2.916065463810588	4.804214043715618
i	<|S|>_R	e	0.48495275213879613	4.804214043715618
i	<|S|>_R	ə	3.0484323032828495	4.804214043715618
i	<|S|>_R	i	3.5725421056830675	4.804214043715618
i	F_<|S|>	e	1.4925090920789943	4.804214043715618
i	F_<|S|>	i	1.810797113438033	4.804214043715618
i	F_<|S|>	ə	4.255616007550104	4.804214043715618
i	F_<|S|>_N	e	2.1199965419638573	4.804214043715618
i	F_<|S|>_N	ə	4.048927631094181	4.804214043715618
i	F_=|S|#	i	2.161682621148313	4.804214043715618
i	F_=|S|#	e	2.988959994752516	4.804214043715618
i	F_=|S|>_R	e	0.9652092252506982	4.804214043715618
j	#|S|<	v	0.9091398199346452	4.804214043715618
j	#|S|<	j	1.381467097554062	4.804214043715618
j	#|S|<_F	v	0.8585017037599935	4.804214043715618
j	#|S|<_F	j	1.4271435108404444	4.804214043715618
j	<|S|<	j	1.4798393186679082	4.804214043715618
j	<|S|<	-	3.336038403620628	4.804214043715618
j	<|S|<	v	4.469078736319489	4.804214043715618
j	<|S|<_F	j	0.9885321929290898	4.804214043715618
j	>|S|#	j	0.8644972229021957	4.804214043715618
j	>|S|#	j_e	2.6348016713604023	4.804214043715618
j	>|S|#	v	4.469078736319489	4.804214043715618
j	>|S|>_R	-	2.9077165856011415	4.804214043715618
j	F_>|S|#	j	1.565180412163358	4.804214043715618
j	F_>|S|#	j_e	3.3014710842481847	4.804214043715618
k	#|S|<	k	0.2783343935431335	4.804214043715618
k	#|S|<	p_j	2.520731756200776	4.804214043715618
k	#|S|<_F	k	0.7022249960491542	4.804214043715618
k	#|S|<_F	p_j	1.3777668435921437	4.804214043715618
k	#|S|<_R	k	0.9660631708528191	4.804214043715618
k	>|S|#	k	0.016249286091586154	4.804214043715618
k	>|S|<	k	0.17145746275408122	4.804214043715618
k	>|S|<_F	k	2.2234628130724134	4.804214043715618
k	>|S|<_R	k	0.965824107148415	4.804214043715618
k	F_>|S|#	k	0.00647761467918194	4.804214043715618
k	F_>|S|<	k	1.1871316491520212	4.804214043715618
k	F_>|S|<_F	k	3.8438726060946093	4.804214043715618
k	F_>|S|<_R	k	2.8835529869928878	4.804214043715618
k_ʎ	#|S|<	k	1.0206328167352439	4.804214043715618
k_ʎ	#|S|<	kʲ	3.920014665387079	4.804214043715618
k_ʎ	#|S|<_F	k	0.9842494169100656	4.804214043715618
k_ʎ	#|S|<_F	kʲ	4.707756853949967	4.804214043715618
k_ʎ	>|S|<	kʲ	1.3487733340697297	4.804214043715618
k_ʎ	>|S|<	k	2.511983362871085	4.804214043715618
k_ʎ	>|S|<_F	kʲ	2.1246438280227364	4.804214043715618
k_ʎ	>|S|<_F	k	2.994800419534646	4.804214043715618
k_ʎ	F_>|S|<	kʲ	2.1246438280227364	4.804214043715618
k_ʎ	F_>|S|<	k	3.091257609300297	4.804214043715618
k_ʎ	F_>|S|<_F	k	2.8885724620315374	4.804214043715618
l	#|S|<	l	0.0	4.804214043715618
l	#|S|<_F	l	0.0	4.804214043715618
l	<|S|<	l	0.0	4.804214043715618
l	<|S|<_F	l	0.0	4.804214043715618
l	>|S|#	l	0.0	4.804214043715618
l	>|S|>	l	0.14498203111477787	4.804214043715618
l	>|S|>_N	l	4.611299664184315	4.804214043715618
l	F_>|S|#	l	0.9608428087431236	4.804214043715618
l	F_>|S|<_F	l	1.921685617486247	4.804214043715618
l	F_>|S|>	l	0.0	4.804214043715618
m	#|S|<	m	0.004544015300016706	4.804214043715618
m	#|S|<_F	m	1.921685617486247	4.804214043715618
m	>|S|#	m	2.8870724415293876	4.804214043715618
m	>|S|<	m	0.004544015300016706	4.804214043715618
m	>|S|<_F	m	0.001809027920601359	4.804214043715618
m	>|S|=_N	m	0.001809027920601391	4.804214043715618
m	>|S|>	m	2.4244780007483744	4.804214043715618
m	>|S|>	n	3.9912657249278505	4.804214043715618
m	F_>|S|<	m	0.001809027920601391	4.804214043715618
m	F_>|S|<_F	m	0.0007523837592398086	4.804214043715618
m	F_>|S|=_N	m	2.8825284262293707	4.804214043715618
m	F_>|S|>	m	2.975448969171807	4.804214043715618
m	F_>|S|>	n	4.054399545810987	4.804214043715618
n	#|S|<	n	0.0	4.804214043715618
n	#|S|<_F	n	0.0	4.804214043715618
n	=|S|<	n	0.9608428087431236	4.804214043715618
n	>|S|#	n	0.0	4.804214043715618
n	>|S|<	n	0.09218310101284909	4.804214043715618
n	>|S|<_F	n	0.16046094932400487	4.804214043715618
n	>|S|>	n	0.0	4.804214043715618
n	F_>|S|#	n	0.0	4.804214043715618
