Emilian	Ligurian	probability
o	u	1.0
ˈæ	ˈe	1.0
a	-	0.071
j	j	0.311
r	u	0.201
v	-	0.091
v	v	0.881
w	j	0.101
ŋ	ŋ	0.971
ˈa	ˈa	0.491
ˈaː	ˈa	0.631
ˈiː	ˈiː	0.41
ˈɛ	ˈɛː	0.171
n	-	0.132
t	t	0.952
z	-	0.122
ð	z	0.882
ˈa	-	0.052
ˈaː	ˈaː	0.132
ˈo	ˈø	0.052
ˈɔ	ˈɔ	0.622
ˈɔː	ˈɔː	0.562
ˈɛː	ˈeː	0.392
e	e	0.493
r	r	0.583
z	s	0.053
z	z	0.143
ɡ	ɡ	0.973
ɲ	ʤ	0.113
ˈɔː	-	0.093
ˈɔː	u	0.093
ˈɛ	ˈe	0.093
ˈɛː	ˈɛː	0.473
ˈʌu̯	ˈuː	0.813
θ	s	0.743
d	-	0.364
e	j	0.134
e	-	0.314
f	ʃ	0.154
i	j	0.204
k	k	0.954
r	-	0.154
u	-	0.094
u	ˈɔ	0.094
ʤ	ʤ	0.704
ʧ	ʧ	0.264
ˈɔ	ˈu	0.144
ˈɔ	ˈø	0.234
ˈɛ	ˈaː	0.534
b	b	0.775
d	d	0.585
s	s	0.85
ˈaː	ˈɛː	0.125
ˈe	ˈi	0.705
ˈi	ˈi	0.445
ˈi	ˈiː	0.555
ˈuː	ˈuː	0.065
ˈɔː	ˈøː	0.165
b	ŋ	0.076
f	f	0.846
n	ŋ	0.16
p	p	0.96
ʤ	z	0.296
ʧ	ʤ	0.736
ˈiː	ˈe_j	0.296
ˈɛː	ˈiː	0.136
ˈʌ	ˈu	0.786
a	a	0.887
j	-	0.427
l	-	0.137
u	y	0.067
ɲ	ɲ	0.87
ˈiː	ˈeː	0.217
ˈo	-	0.077
ˈʌu̯	ˈeː	0.187
e	u	0.058
i	e	0.138
i	i	0.658
j	ʧ	0.088
l	l	0.808
m	m	0.98
n	n	0.708
u	ɔː	0.058
z	ʒ	0.678
ð	ʤ	0.118
ˈa	ˈe	0.418
ˈe	ˈiː	0.08
ˈe	-	0.148
ˈo	ˈu	0.268
ˈo	ˈy	0.498
ˈuː	ˈøː	0.208
ˈuː	ˈyː	0.558
θ	-	0.168
b	ʤ	0.149
j	ˈi	0.059
s	ʃ	0.089
u	w	0.269
u	u	0.369
w	w	0.899
ˈuː	ˈø	0.129
ˈɛ	ˈa	0.059
ˈʌ	ˈø	0.19
θ	ʤ	0.089
