Franco-Provençal	Aromanian	probability
e	-	1.0
i	i	1.0
n	n	1.0
z	ʦ	1.0
ɔ	-	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʒ	j	1.0
ˈaː	ˈa	1.0
ˈĩ	ˈi_n	1.0
ˈø	ˈu	1.0
ˈɑ̃	ˈɨ	1.0
ˈɔ	ˈu	1.0
ˈe	-	0.261
ˈe	ˈe	0.261
ˈi	ˈi	0.651
ˈo	ˈu	0.111
ˈo	ˈo	0.61
ˈɔ̃	ˈu_n	0.481
ˈɛ	ˈi	0.071
ˈɛː	-	0.161
ˈɛ̃	ˈɨ_n	0.191
p	p	0.682
s	ʃ_t	0.062
v	v	0.252
ˈa	ˈa_r	0.222
ˈe	ˈi	0.232
ˈɛː	e̯ˈa	0.42
j	-	0.363
l	ʎ	0.143
o	u	0.633
t	k	0.213
v	p	0.093
w	ˈu_l	0.053
w	ˈu	0.323
w	ˈo	0.363
ð	-	0.053
ə	i_r	0.053
ˈi	e̯ˈa	0.073
ˈɛ	-	0.353
ˈɛː	ˈe	0.163
a	ə	0.844
b	-	0.064
d	ʣ	0.534
l	l	0.514
m	ɲ	0.174
t	l_t	0.054
w	-	0.184
ð	ʤ	0.094
ð	ʣ	0.124
ə	-	0.134
ə	ə	0.264
ʎ	ʎ_u	0.334
ˈa	ˈa	0.454
ˈu	ˈo	0.384
ˈɔ̃	ˈu	0.294
ˈɛ̃	ˈi_n	0.434
s	ʦ	0.355
ˈe	i	0.245
ˈi	ˈi_r	0.15
ˈoː	ˈa	0.395
ˈɑː	t_ˈi	0.415
ˈɑː	ˈa	0.585
ˈɔ̃	-	0.225
ˈɛ̃	ˈi	0.375
b	b	0.936
d	d	0.466
k	k	0.96
l	-	0.086
m	m	0.826
s	ʃ	0.096
t	t	0.646
w	o̯ˈa	0.076
ð	t	0.186
ʁ	i_r	0.056
ʁ	r_i	0.076
ˈi	ˈə	0.126
ˈu	ˈu	0.616
ˈɛː	ˈi	0.076
f	ç	0.367
f	f	0.587
j	ˈe	0.157
l	r	0.257
o	-	0.367
t	ʦ	0.087
v	-	0.307
ˈa	ˈɨ	0.287
ˈoː	ˈo	0.507
j	ˈa	0.48
p	k	0.318
ʁ	r	0.798
ʃ	k	0.968
ʎ	-	0.208
ʎ	ʎ	0.458
ˈoː	ˈu	0.098
ˈɛ	ˈa	0.098
ˈɛ	e̯ˈa	0.478
ˈɛː	ˈa	0.18
a	i	0.099
s	s	0.449
v	j	0.349
ð	r	0.499
ə	i	0.549
ˈo	ˈo_j	0.279
