Franco-Provençal	Spanish	probability
a	a	0.915
a	-	0.068
b	b	0.59
b	β	0.248
b	k	0.108
b	-	0.054
d	d	0.845
d	-	0.124
e	e	0.825
e	-	0.126
eː	a	0.546
eː	i	0.294
eː	e	0.16
f	-	0.54
f	f	0.263
f	ɣ	0.088
f	β	0.088
i	a	0.871
i	i	0.084
ĩ	m	0.5
ĩ	ŋ	0.5
j	j	0.443
j	-	0.313
j	ˈe	0.075
j	ɣ	0.073
j	o	0.069
k	k	0.734
k	ɟ͡ʝ	0.121
k	s_k	0.078
k	ɣ	0.066
l	l	0.663
l	ʝ	0.19
l	-	0.112
m	m	0.93
m	ɲ	0.07
n	n	0.868
n	-	0.056
n	m	0.051
o	o	0.749
o	a	0.147
o	e	0.097
oː	o	1.0
p	p	0.878
p	s_p	0.064
p	ɟ͡ʝ	0.058
s	s	0.584
s	θ	0.341
s	-	0.061
t	t	0.632
t	k	0.144
t	s_t	0.111
u	ˈu	0.804
u	o	0.196
v	b	0.586
v	β	0.269
v	-	0.077
w	-	0.409
w	w	0.312
w	ˈo	0.102
w	ˈu	0.079
y	e	1.0
z	θ	0.522
z	s	0.379
z	ɣ	0.099
ð	-	0.311
ð	ð	0.233
ð	ɾ	0.171
ð	β	0.155
ð	θ	0.098
ɔ	o	0.643
ɔ	a	0.159
ɔ	ˈo	0.103
ɔ	-	0.095
ɔ̃	-	0.5
ɔ̃	o	0.5
ə	a	0.571
ə	e	0.204
ə	o	0.093
ə	ɾ_e	0.061
ɛ	a	0.5
ɛ	e	0.5
ɛ̃	e	1.0
ɡ	ɡ	0.653
ɡ	ɣ	0.332
ɲ	ɲ	0.891
ɲ	n	0.109
ʁ	ɾ	0.78
ʁ	r	0.122
ʁ	-	0.07
ʃ	k	0.631
ʃ	θ	0.238
ʃ	s	0.066
ʎ	x	0.8
ʎ	-	0.121
ʎ	ɲ	0.078
ʒ	ɟ͡ʝ	0.248
ʒ	b	0.239
ʒ	d	0.203
ʒ	x	0.168
ʒ	ʝ	0.112
ʦ	θ	1.0
ˈa	ˈa	0.715
ˈa	ˈe	0.163
ˈa	a	0.122
ˈe	ˈo	0.424
ˈe	ˈi	0.35
ˈe	-	0.143
ˈeː	ˈe	0.711
ˈeː	-	0.16
ˈeː	ˈa	0.101
ˈi	ˈi	0.528
ˈi	ˈe	0.208
ˈi	j	0.178
ˈi	ˈa	0.05
ˈĩ	ˈi	0.921
ˈĩ	n	0.079
ˈo	ˈo	0.413
ˈo	ˈu	0.287
ˈo	w	0.16
ˈo	ˈe	0.14
ˈoː	ˈo	0.403
ˈoː	w	0.356
ˈoː	ɲ	0.147
ˈoː	a	0.053
ˈu	ˈo	0.368
ˈu	ˈu	0.308
ˈu	w	0.215
ˈu	o	0.11
ˈy	ˈo	1.0
ˈø	w	0.335
ˈø	ˈo	0.191
ˈø	o	0.19
ˈø	ˈe	0.146
ˈø	ˈu	0.137
ˈɑ̃	ˈa	0.834
ˈɑ̃	n	0.096
ˈɑ̃	ŋ	0.07
ˈɔ	ˈa	0.45
ˈɔ	w	0.181
ˈɔ	ˈi	0.154
ˈɔ	ˈo	0.108
ˈɔ̃	ˈu	0.573
ˈɔ̃	ˈo	0.385
ˈɛ	ˈe	0.704
ˈɛ	ˈa	0.113
ˈɛ	-	0.06
ˈɛ	ˈi	0.053
ˈɛː	e	0.5
ˈɛː	ˈa	0.5
ˈɛ̃	ˈa	0.428
ˈɛ̃	ɲ	0.195
ˈɛ̃	j	0.188
ˈɛ̃	ˈe	0.078
ˈɛ̃	ŋ	0.063
