Phone1	Phone2	Surprisal	OOV_Smoothed
a	a	1.7394718662362108	5.058711420279696
a	ˈa	1.772981292947808	5.058711420279696
a	ɐ	2.4663021668495615	5.058711420279696
a	ʊ	4.034238137254753	5.058711420279696
a	ˈe	4.149792077883365	5.058711420279696
a	j	4.493094298384229	5.058711420279696
a	-	4.895917124557126	5.058711420279696
a	w_ˈa	4.98400717648171	5.058711420279696
b	b	0.10202503254804844	5.058711420279696
b	-	4.359578977612819	5.058711420279696
d	d	0.15480701772504524	5.058711420279696
d	ð	3.8897360043974496	5.058711420279696
d	-	4.8663471941775684	5.058711420279696
e	ˈa_ɾ	1.1081662618280261	5.058711420279696
e	e_s	2.610445243208272	5.058711420279696
e	ˈa_ð	3.208043309202172	5.058711420279696
e	-	3.2111960223931475	5.058711420279696
e	ˈa	3.62027536411384	5.058711420279696
e	ˈi	3.7396934019695816	5.058711420279696
f	f	0.014481402533961428	5.058711420279696
i	ˈi	0.8691322703319858	5.058711420279696
i	ˈe	1.9209581389767008	5.058711420279696
i	t_ʊ	4.053152870939775	5.058711420279696
i	ˈe_j	4.3046914142234005	5.058711420279696
i	ɐ	4.582718265121586	5.058711420279696
j	ɟ_ɐ	0.4492470221090529	5.058711420279696
j	ˈɛ	2.2945968655713287	5.058711420279696
j	ˈe	3.971431958318481	5.058711420279696
k	k	0.046146037018052775	5.058711420279696
l	l	1.1157326198230346	5.058711420279696
l	-	1.4649354007865936	5.058711420279696
l	l_ɐ	2.8032317139520515	5.058711420279696
m	m	0.1504296952370551	5.058711420279696
m	m_ɐ	3.3361664337020676	5.058711420279696
n	n	0.8801313769371276	5.058711420279696
n	-	1.7604118445735377	5.058711420279696
n	ɲ	3.590475752209498	5.058711420279696
n	n_ɐ	3.671114446757833	5.058711420279696
o	ʊ	0.5567894433123387	5.058711420279696
o	ˈo	2.6812468016385296	5.058711420279696
o	ˈɔ_s	2.89680247318622	5.058711420279696
o	ˈɔ	5.058354929786838	5.058711420279696
p	p	0.06928166811046128	5.058711420279696
p	-	4.414651104881196	5.058711420279696
s	s	0.9505376117218979	5.058711420279696
s	θ	2.1530987236891583	5.058711420279696
s	-	3.2297614290874983	5.058711420279696
s	ʃ	3.845256429957498	5.058711420279696
s	s_e	3.966720342044117	5.058711420279696
t	t	0.15480318987499314	5.058711420279696
t	t_ɐ	3.6176304511687096	5.058711420279696
u	ˈo	0.620147859542179	5.058711420279696
u	ˈo_ð	3.444878765155408	5.058711420279696
u	o	3.915588009951388	5.058711420279696
u	ˈɔ	4.02011575299396	5.058711420279696
u	u	4.403881382279508	5.058711420279696
u	ˈu	4.505658649550593	5.058711420279696
u	ʊ	4.7025854279728385	5.058711420279696
v	b	0.4526530683094185	5.058711420279696
v	β	1.892702521309954	5.058711420279696
w	ˈu	1.3466515784333652	5.058711420279696
w	ˈe	1.3610618504943703	5.058711420279696
w	ˈi	2.2009077302594657	5.058711420279696
y	ˈu	-0.0	5.058711420279696
z	-	0.44387131623396237	5.058711420279696
z	θ	1.9168029145759968	5.058711420279696
ø	ʊ	0.5821742610414726	5.058711420279696
ø	ɣ_ʊ	1.5905551985021071	5.058711420279696
œ	ˈɔ	0.9876595248810126	5.058711420279696
œ	ˈo	1.0124469440144857	5.058711420279696
ɑ̃	ˈe_n	0.7945501889473915	5.058711420279696
ɑ̃	ˈa_n	1.7727295809247388	5.058711420279696
ɑ̃	ˈɑ	3.8343766548335476	5.058711420279696
ɑ̃	n	4.041697941714625	5.058711420279696
ɔ	ˈɔ	1.4019717190547862	5.058711420279696
ɔ	ˈo	1.6422856112666497	5.058711420279696
ɔ	o	1.7310155648799637	5.058711420279696
ɔ̃	ˈo	0.7753760785589205	5.058711420279696
ɔ̃	ˈo_ŋ	2.1231880511802923	5.058711420279696
ɔ̃	o	3.2633453064139366	5.058711420279696
ɔ̃	ŋ	3.606819254920811	5.058711420279696
ə	e	0.4283375605914694	5.058711420279696
ə	-	2.934012340636853	5.058711420279696
ə	a	3.6879088985860755	5.058711420279696
ə	ˈe	4.367713368011531	5.058711420279696
ɛ	ˈe	1.8408815143801411	5.058711420279696
ɛ	ˈa	2.0387685223283247	5.058711420279696
ɛ	ˈɛ	2.064077654480028	5.058711420279696
ɛ	a	3.269866335478754	5.058711420279696
ɛ	e	3.3771199034026935	5.058711420279696
ɛ	ˈɑ	4.702108221255561	5.058711420279696
ɛ̃	ɲ_ʊ	1.7544053780311721	5.058711420279696
ɛ̃	ŋ	1.934769323568112	5.058711420279696
ɛ̃	ˈa	2.261378363580315	5.058711420279696
ɛ̃	ˈi	3.560455443404143	5.058711420279696
ɛ̃	ˈɑ_ŋ	3.6529088388549003	5.058711420279696
ɛ̃	ʊ	3.852908838854901	5.058711420279696
ɡ	ɡ	0.4824290614824282	5.058711420279696
ɡ	ɣ	1.970421481010003	5.058711420279696
ɥ	ˈu	0.9003676857638557	5.058711420279696
ɥ	ˈo_j	1.6425023930119593	5.058711420279696
ɥ	ˈo	2.796366269752676	5.058711420279696
ɲ	ɲ	-0.0	5.058711420279696
ʁ	ɾ	0.7867636014389028	5.058711420279696
ʁ	r	2.8251524198410083	5.058711420279696
ʁ	ɾ_ʊ	3.4928629458115092	5.058711420279696
ʁ	ɾ_ɐ	4.007348395909465	5.058711420279696
ʁ	-	4.332634458430226	5.058711420279696
ʁ	ɾ_ɪ	4.75614418670377	5.058711420279696
ʃ	k	0.057408575576415814	5.058711420279696
ʃ	k_ɐ	4.6799654070752235	5.058711420279696
ʒ	ʃ	0.15356669645823398	5.058711420279696
ʒ	β	4.683950882292547	5.058711420279696
ʒ	ʃ_ʊ	4.763724631239011	5.058711420279696
