Phone1	PhonEnv	Phone2	Surprisal	OOV_Smoothed
<#_v	#|S|<	<#	3.90442896277875	4.880536203473437
<#_z	#|S|=	<#	3.90442896277875	4.880536203473437
a	#|S|>	a	0.9396017430214081	4.880536203473437
a	#|S|>	e	4.879322786361978	4.880536203473437
a	#|S|>_N	a	0.9839014048409916	4.880536203473437
a	#|S|>_R	a	0.9839014048409918	4.880536203473437
a	<|S|>	a	0.6191310301132937	4.880536203473437
a	<|S|>	e	3.387321533271082	4.880536203473437
a	<|S|>	-	3.8420538597624736	4.880536203473437
a	<|S|>_N	a	0.014427536933344032	4.880536203473437
a	<|S|>_R	e	2.3823767852371676	4.880536203473437
a	<|S|>_R	a	3.5647535917186195	4.880536203473437
a	<|S|>_R	-	3.651310828259962	4.880536203473437
b	#|S|<	b	0.0	4.880536203473437
b	#|S|<_F	b	0.0	4.880536203473437
b	#|S|<_R	b	0.9761072406946875	4.880536203473437
b	>|S|<	b	0.17072869393921844	4.880536203473437
b	>|S|<_F	b	0.0	4.880536203473437
b	>|S|<_R	b	1.952214481389375	4.880536203473437
b	F_>|S|<_F	b	2.9283217220840623	4.880536203473437
c	#|S|<	k	0.15838764589135332	4.880536203473437
c	#|S|<_F	k	0.16423643608548252	4.880536203473437
c	>|S|#	k	4.166850737672542	4.880536203473437
c	>|S|<_F	k	0.9583920593186206	4.880536203473437
c	>|S|<_F	kː	1.7441543052985202	4.880536203473437
c	F_>|S|<_F	kː	0.9960081644411269	4.880536203473437
d	#|S|<	d	0.2236506226803144	4.880536203473437
d	#|S|<	t	3.083398126629978	4.880536203473437
d	#|S|<_F	d	0.02532126683431722	4.880536203473437
d	#|S|<_R	d	0.994123332323982	4.880536203473437
d	>|S|<	t	1.1474088412895185	4.880536203473437
d	>|S|<	d	1.2233022881680327	4.880536203473437
d	>|S|<	-	4.351591550198504	4.880536203473437
d	>|S|<_F	t	1.0052053953796802	4.880536203473437
d	>|S|<_F	d	1.4765853794323989	4.880536203473437
d	>|S|<_F	-	4.273205122395294	4.880536203473437
d	F_>|S|<	t	0.5044415730211523	4.880536203473437
d	F_>|S|<	d	2.9732967237913046	4.880536203473437
d	F_>|S|<	-	4.423489851767273	4.880536203473437
d	F_>|S|<_F	t	0.3648693042518708	4.880536203473437
