Friulian	Piedmontese	probability
b	b	1.0
c	k	1.0
p	p	1.0
ɟ	ʤ	1.0
ˈoː	ˈu	1.0
d	-	0.251
e	-	0.1
i	e	0.591
k	k	0.871
r	r	0.951
u	ˈø	0.11
ˈaː	ˈa	0.401
ˈeː	ˈe	0.651
a	a	0.732
d	d	0.682
e	a	0.852
f	v	0.072
l	-	0.062
n	n	0.52
ʧ	-	0.152
ˈa	ˈa	0.942
ˈo	ˈɔ	0.152
ˈuː	ˈø	0.802
ˈɔ	ˈɔ	0.852
i	-	0.13
w	w	0.843
ˈo	-	0.093
ˈɛ	ˈɛ	0.653
o	ˈu	0.174
ŋ	ŋ	0.614
ɡ	ɡ	0.834
ɲ	ɲ	0.894
ʧ	s	0.694
ˈe	ˈɛ	0.464
ˈi	ˈɛ	0.074
m	m	0.975
s	s	0.855
z	z	0.485
ʤ	z	0.115
ˈiː	e	0.15
ˈiː	ˈe	0.85
ˈu	ʤ_ˈy	0.095
j	l	0.076
o	u	0.826
t	t	0.686
v	v	0.986
z	-	0.126
ŋ	-	0.076
ɡ	ʤ	0.086
ɲ	n	0.106
ʤ	e_#>	0.06
ˈe	ˈɛ_j	0.056
ˈi	ˈi	0.926
ˈo	ˈu	0.756
ˈu	ˈy	0.846
d	t	0.067
j	j	0.407
j	-	0.517
w	-	0.157
ʧ	z	0.127
ˈe	ˈɔ	0.107
ˈɛ	ˈe	0.347
a	e	0.178
f	f	0.928
i	i	0.28
l	j	0.138
l	l	0.8
n	ŋ	0.48
t	-	0.088
t	d	0.148
ɡ	k	0.08
ʤ	i_#>	0.068
ʤ	j_#>	0.138
ʤ	ʤ	0.618
ˈe	ˈe	0.368
ˈuː	ˈy	0.198
ˈɔ	ˈø	0.148
a	-	0.09
k	ɡ	0.129
s	z	0.109
u	-	0.89
z	s	0.389
ŋ	n	0.309
ˈaː	ˈe	0.599
ˈeː	ˈɛ	0.349
ˈu	ˈu	0.059
