Galician	Franco-Provençal	probability
f	f	1.0
j	-	1.0
u	-	1.0
ŋ	-	1.0
ɪ	o	1.0
ʎ	ʎ	1.0
ˈɑ	ˈɑ̃	1.0
a	a	0.511
s	s	0.841
t	-	0.421
ɐ	-	0.071
ɐ	ə	0.301
ɲ	n	0.581
ʃ	ð	0.601
ʊ	o	0.411
ʧ	l	0.511
ˈa	ˈaː	0.191
ˈe	ˈɛː	0.301
ˈi	ˈɛː	0.091
ˈu	w	0.571
ˈɔ	ˈu	0.071
ˈɔ	ˈo	0.301
β	b	0.081
β	-	0.361
θ	ʃ	0.11
d	d	0.952
i	-	0.22
o	ɔ	0.142
o	-	0.442
p	p	0.92
s	-	0.12
ɐ	i	0.062
ɲ	-	0.162
ʃ	z	0.092
ʊ	ˈe	0.32
ˈa	j_ˈe	0.052
ˈu	ˈɔ̃	0.242
b	b	0.283
k	ʃ	0.433
r	-	0.073
w	-	0.873
ɣ	-	0.693
ʃ	-	0.223
ˈe	ˈe	0.053
ˈɛ	j_ˈe	0.183
i	j	0.514
k	k	0.414
m	-	0.304
n	-	0.294
ð	-	0.944
ɡ	-	0.234
ɾ	ʁ_ə	0.074
ɾ	ð_ə	0.174
ʃ	s	0.084
ʊ	ˈoː	0.084
ˈa	ˈa	0.474
ˈi	ˈi	0.364
ˈo	ˈoː	0.084
ˈo	ˈɔ̃	0.314
θ	s	0.434
e	e	0.115
e	ɛ	0.215
e	ə	0.255
e	-	0.415
l	-	0.175
l	l	0.825
n	ˈɛ̃	0.075
n	n	0.615
ɐ	a	0.565
ˈe	ˈɛ	0.165
ˈɔ	ˈø	0.175
ˈɔ	ˈoː	0.405
i	i	0.266
m	m	0.696
o	o	0.416
ð	d	0.056
ɡ	ɡ	0.766
ɾ	-	0.096
ˈa	ˈɑː	0.066
ˈi	ˈĩ	0.106
ˈo	w	0.106
ˈo	ˈɔ	0.156
a	-	0.337
b	v	0.717
k	-	0.127
r	ʁ	0.927
w	w	0.127
ɲ	ɲ	0.257
ʊ	ˈɛ̃	0.077
ˈe	-	0.177
ˈi	ˈe	0.27
ˈo	ˈo	0.187
ˈu	ˈu	0.187
ˈɛ	ˈɛ	0.27
θ	-	0.417
p	-	0.08
ɾ	ð	0.098
ɾ	ʁ	0.558
ʊ	ə	0.108
ˈa	ˈe	0.068
ˈa	-	0.098
ˈe	ˈi	0.268
ˈi	-	0.168
ˈɛ	-	0.088
a	ˈɑː	0.059
t	t	0.579
ɣ	v	0.129
ɣ	ɡ	0.179
ʧ	f_l	0.489
ˈo	ˈø	0.069
ˈɛ	ˈe	0.459
β	f	0.059
β	v	0.499
