Galician	Ladin	probability
#>	#>	0.942
<#	<#	0.996
<#_e	<#	1.0
a	a	0.563
a	ˈɛ	0.105
a	e	0.079
a	ˈa	0.079
a	-	0.069
a	o	0.052
b	v	0.459
b	b	0.436
b	-	0.057
d	d	0.776
d	-	0.159
d	t	0.067
e	e	0.388
e	-	0.162
e	j	0.141
e	a	0.093
e	ˈɛ	0.077
e	ˈe	0.063
e	i	0.062
e_s	ʃ	1.0
f	f	1.0
i	i	0.295
i	-	0.272
i	e	0.122
i	ˈi	0.122
i	j	0.112
j	-	0.348
j	ˈɛ	0.226
j	e	0.149
j	ˈa	0.107
j	j	0.064
j	ˈu	0.054
j	ˈe	0.053
j_#>	#>	0.514
k	k	0.606
k	ʨ	0.364
k_ʊ	k	1.0
l	l	0.816
l	-	0.052
l	j_l	0.051
l	w	0.05
m	m	0.88
n	n	0.916
o	o	0.437
o	ˈɔ	0.158
o	-	0.145
o	e	0.11
o	u	0.105
p	p	0.989
p_ʊ	p	1.0
r	r	0.893
r	-	0.107
s	s	0.814
s	-	0.062
s_#>	#>	0.514
s_ʊ	s	1.0
t	t	0.915
t	-	0.082
t_ʊ	t	1.0
u	j	0.447
u	o	0.061
v	v	0.361
v	ʒ	0.361
v	-	0.213
w	-	0.556
w	ˈɛ	0.216
w	j	0.084
w	l	0.082
w	ˈa	0.064
ð	d	0.516
ð	t	0.301
ð	-	0.154
ð_ʊ	t	1.0
ŋ	n	0.724
ŋ	ŋ	0.266
ŋ_#>	#>	1.0
ɐ	a	0.85
ɐ	-	0.078
ɑ	a	0.514
ɡ	ɡ	0.751
ɡ	k	0.14
ɡ	ʥ	0.103
ɣ	ɡ	0.498
ɣ	j	0.243
ɣ	ʨ	0.106
ɣ	k	0.103
ɣ_ʊ	ˈɛ	1.0
ɪ	e	0.631
ɪ	a	0.354
ɪ_#>	#>	1.0
ɲ	n	0.482
ɲ	ɲ	0.472
ɲ_ʊ	ɲ	0.591
ɲ_ʊ	n	0.403
ɾ	r	0.827
ɾ	-	0.077
ɾ	j	0.06
ɾ_#>	#>	1.0
ɾ_ɪ	e	1.0
ɾ_ʊ	r	1.0
ʃ	ʒ	0.597
ʃ	ʃ	0.152
ʃ	s	0.133
ʃ	-	0.08
ʃ_ʊ	s	1.0
ʊ	-	0.723
ʊ	l	0.22
ʎ	j	0.306
ʎ	d	0.252
ʎ	-	0.182
ʎ	ˈɛ_d	0.083
ʎ	d_l	0.078
ʎ	l	0.066
ʧ	p_l	0.375
ʧ	k_l	0.326
ʧ	f	0.127
ʧ	f_l	0.127
ˈa	ˈa	0.596
ˈa	ˈe	0.162
ˈa	ˈɛ	0.153
ˈe	ˈe	0.529
ˈe	-	0.124
ˈe	ˈɛ	0.1
ˈe	e	0.077
ˈe	j	0.077
ˈe	ˈi	0.057
ˈi	ˈi	0.727
ˈi	-	0.131
ˈi	ˈe	0.091
ˈo	ˈo	0.371
ˈo	ˈɔ	0.195
ˈo	w	0.166
ˈo	ˈɔ_n	0.086
ˈo	ˈa_w	0.052
ˈo	l_ˈo	0.052
ˈo_w	ˈɔ	1.0
ˈu	ˈu	0.629
ˈu	ˈo	0.263
ˈu	ˈe	0.078
ˈɑ	ˈa	0.786
ˈɑ	ˈɛ	0.209
ˈɔ	ˈɔ	0.401
ˈɔ	ˈo	0.254
ˈɔ	w_ˈɛ	0.206
ˈɔ	w	0.129
ˈɛ	ˈɛ	0.699
ˈɛ	j_ˈɛ	0.089
ˈɛ	ˈe	0.089
ˈɛ	-	0.078
β	v	0.415
β	f	0.154
β	b	0.142
β	-	0.128
β	w	0.097
β_ʊ	f	1.0
θ	ʃ	0.357
θ	ʨ	0.16
θ	-	0.106
θ	ʧ	0.103
θ	ʒ	0.09
θ	ʦ	0.068
θ	d	0.052
θ	s	0.052
θ_ʊ	ʦ	1.0
