Gascon	Friulian	probability
h	f	1.0
i	i	1.0
y	u	1.0
ð	d	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʤ	d	1.0
ʦ	s	1.0
a	a	0.811
r	r	0.861
s	-	0.061
s	ʧ	0.251
u	o	0.91
w	l	0.291
z	-	0.341
ŋ	ŋ	0.951
ɣ	ɡ	0.771
ʒ	ʤ	0.41
ˈi	ˈiː	0.11
ˈu	ˈi	0.051
ˈu	ˈu	0.121
ˈɔ	ˈɛ	0.1
b	v	0.72
e	i	0.582
j	-	0.682
ɔ	e	0.932
ɾ	r	0.892
ˈe	ˈi	0.162
ˈu	ˈɔ	0.092
ˈɔ	ˈuː	0.202
ˈɔ	w_ˈa	0.302
β	-	0.092
a	e	0.133
k	k	0.353
r	-	0.093
w	w	0.283
ˈi	ˈaː	0.053
ˈɔ	w_ˈɛ	0.113
d	d	0.974
j	j	0.294
ˈa	ˈa	0.594
ˈɔ	ˈo	0.284
ˈɛ	j_ˈɛ	0.504
k	k_w	0.055
k	ɡ	0.065
l	l	0.945
u	u	0.055
ˈa	l_#>	0.105
ˈy	ˈu	0.545
e	u	0.06
w	-	0.426
e	e	0.157
n	n_t	0.177
s	s	0.687
t	t	0.687
ʎ	l_i	0.107
ʎ	j	0.847
ˈu	ˈoː	0.147
ˈy	ˈuː	0.157
ˈy	ˈo	0.277
ˈɛ	ˈiː	0.137
b	b	0.268
e	r_i	0.168
k	c	0.458
m	m	0.958
p	p	0.978
ɔ	-	0.068
ɾ	-	0.108
ˈa	ˈaː	0.208
ˈe	ˈɛ	0.268
ˈi	ˈi	0.828
ˈɛ	ˈɛ	0.158
ˈɛ	ˈa	0.158
k	-	0.069
n	n	0.79
t	-	0.309
z	z	0.659
ɣ	-	0.229
ʒ	-	0.59
ˈe	ˈo	0.059
ˈe	ˈe	0.359
ˈu	ˈo	0.589
β	v	0.869
