Phone1	PhonEnv	Phone2	Surprisal	OOV_Smoothed
<#_a	#|S|>	<#	2.978621589218169	4.964369315363615
<#_e	#|S|>	<#	2.978621589218169	4.964369315363615
a	#|S|>	a	0.24285864422894113	4.964369315363615
a	#|S|>_N	a	0.483158300887743	4.964369315363615
a	#|S|>_R	a	1.985747726145446	4.964369315363615
a	<|S|#	a	3.03040061868901	4.964369315363615
a	<|S|#	ɔ	4.005931647367428	4.964369315363615
a	<|S|>	a	0.10090201474396722	4.964369315363615
a	<|S|>_F	a	0.9943201769189381	4.964369315363615
a	<|S|>_N	a	0.0014463138462151727	4.964369315363615
a	<|S|>_R	a	0.992873863072723	4.964369315363615
a	F_<|S|#	ɔ	3.984780924638687	4.964369315363615
a	F_<|S|#	a	4.609305201766873	4.964369315363615
a	F_<|S|>	a	1.987194039991661	4.964369315363615
a_r	#|S|<	r	0.0	4.964369315363615
a_r	#|S|<_F	r	0.0	4.964369315363615
b	#|S|<	v	0.6541223370693967	4.964369315363615
b	#|S|<	b	1.5054361358637496	4.964369315363615
b	#|S|<_F	v	0.427026089290278	4.964369315363615
b	#|S|<_F	b	2.0122184657362356	4.964369315363615
b	#|S|<_R	v	2.1942370224142644	4.964369315363615
b	#|S|<_R	b	3.1908658570220556	4.964369315363615
b	>|S|<_F	b	2.012562476366945	4.964369315363615
b	>|S|<_R	b	1.0282295034850697	4.964369315363615
d	#|S|<	d	0.0	4.964369315363615
d	#|S|<_F	d	0.0	4.964369315363615
d	#|S|<_R	d	0.0	4.964369315363615
d	>|S|<	d	0.09949993189416338	4.964369315363615
d	>|S|<_F	d	2.8501333451229183	4.964369315363615
d	>|S|<_R	d	-3.2034265038149176e-16	4.964369315363615
e	#|S|>	e	0.02499279475776694	4.964369315363615
e	<|S|#	e	0.5551241613251631	4.964369315363615
e	<|S|#	ɾ_e	3.044578233102611	4.964369315363615
e	<|S|#	r_e	4.334380487940968	4.964369315363615
e	<|S|#	ˈi	4.66263134904613	4.964369315363615
e	<|S|>	e	0.30555416735026447	4.964369315363615
e	<|S|>	-	4.533834746139458	4.964369315363615
e	<|S|>_N	e	1.0627138578780977	4.964369315363615
e	<|S|>_R	e	0.009924875721907022	4.964369315363615
e	F_<|S|>_F	e	2.980297895390645	4.964369315363615
h	#|S|<	f	0.0	4.964369315363615
h	#|S|<_F	f	0.0	4.964369315363615
h	#|S|<_R	f	0.992873863072723	4.964369315363615
h	>|S|<_F	f	4.578904583077864	4.964369315363615
h	F_>|S|<	f	1.985747726145446	4.964369315363615
i	#|S|>	i	2.978621589218169	4.964369315363615
i	<|S|#	i	2.7517627258569837	4.964369315363615
i	<|S|<_F	i	2.978621589218169	4.964369315363615
i	<|S|>	i	1.1918737268610498	4.964369315363615
i	<|S|>_N	i	2.3575919949888866	4.964369315363615
i_#>	<|S|#	#>	2.978621589218169	4.964369315363615
j	<|S|<_F	j	0.004223594380716417	4.964369315363615
j	>|S|#	j	1.99949012244411	4.964369315363615
j	>|S|#	ʧ	3.605316912418456	4.964369315363615
j	F_>|S|#	j	2.456544835721194	4.964369315363615
j	F_>|S|#	ʧ	3.462882141688428	4.964369315363615
j	F_>|S|>	j	0.004223594380716417	4.964369315363615
j	F_>|S|>_N	j	2.9793739729774087	4.964369315363615
j	F_>|S|>_R	j	0.0017559987125647819	4.964369315363615
j_t	F_>|S|#	ʧ	1.985747726145446	4.964369315363615
j_ʃ	F_>|S|#	s	3.971495452290892	4.964369315363615
k	#|S|<	k	0.027982268382087377	4.964369315363615
k	#|S|<_F	k	0.0	4.964369315363615
