Ligurian	Catalan	probability
a	ə	0.935
a	-	0.054
b	b	0.747
b	-	0.131
b	k	0.064
b	β	0.064
d	d	0.68
d	-	0.099
d	ɾ	0.099
d	l	0.057
d_e	t	0.269
d_u	t	0.518
e	ə	0.486
e	-	0.402
e	w	0.054
e_m	m	0.518
e_ʒ	ə	0.518
f	f	1.0
i	i	0.353
i	-	0.342
i	ə	0.115
i	ə_s	0.115
i	ˈe	0.06
j	-	0.297
j	ɾ	0.282
j	u	0.144
j	w	0.101
j	ə_l	0.065
j_u	i	1.0
k	k	0.977
l	ʎ	0.819
l	l	0.18
m	m	0.929
m_e	m	0.744
m_e	w	0.245
n	n	0.754
n	ɲ	0.096
n	n_d	0.054
o	-	1.0
p	p	0.979
p_u	s	0.74
p_u	p	0.151
p_ˈɛː	p	1.0
r	ɾ	0.479
r	r	0.379
r	-	0.057
s	s	0.796
s	ə_s	0.11
s	-	0.069
s_u	s	0.558
s_u	ʧ	0.24
s_u	w	0.103
t	t	0.865
t	ð	0.088
u	-	0.576
u	ə	0.243
u	u	0.093
v	b	0.521
v	β	0.331
v	-	0.105
v_u	w	0.518
w	-	0.421
w	w	0.282
w	u	0.168
w	ʎ	0.1
y	ə	0.518
z	ʒ	0.599
z	-	0.297
z	z	0.091
z_u	ʧ	0.74
z_u	s	0.151
ŋ	-	0.405
ŋ	n	0.34
ŋ	ŋ	0.104
ŋ	ɲ	0.055
ŋ_k	ŋ	1.0
ŋ_t	n	1.0
ɔː	u	1.0
ɡ	ɣ	0.36
ɡ	ɡ	0.304
ɡ	-	0.118
ɡ	k	0.093
ɡ	ʤ	0.093
ɡ_u	k	1.0
ɥ	ð	1.0
ɲ	ɲ	0.786
ɲ	ŋ	0.138
ɲ	n	0.075
ʃ	ʃ	0.409
ʃ	f_l	0.224
ʃ	r	0.148
ʃ	ɡ	0.148
ʃ	s	0.062
ʒ	-	0.215
ʒ	ɾ	0.215
ʒ	b	0.194
ʒ	m	0.128
ʒ	s	0.128
ʒ_e	w	0.822
ʒ_e	m	0.151
ʤ	ʎ	0.425
ʤ	ʒ	0.288
ʤ	b	0.098
ʤ	ɡ_l	0.077
ʤ	ʤ	0.065
ʤ_u	ʎ	1.0
ʧ	p_l	0.371
ʧ	p	0.213
ʧ	l	0.141
ʧ	t	0.141
ʧ	s	0.104
ˈa	ˈa	0.923
ˈaː	ˈa	0.677
ˈaː	ˈa_l	0.205
ˈe	ˈe	0.487
ˈe	ˈɛ	0.479
ˈeː	ˈɛ	0.213
ˈeː	ˈi	0.212
ˈeː	ˈe	0.151
ˈeː	i	0.112
ˈeː	ə	0.098
ˈeː	ˈɛ_l	0.098
ˈeː	ˈo	0.052
ˈeː_ʒ	ˈɛ	0.139
ˈi	ˈi	0.834
ˈi	ə	0.06
ˈi	ˈu	0.06
ˈi	l	0.053
ˈiː	ˈi	0.764
ˈiː	-	0.097
ˈiː	ˈo	0.097
ˈiː	ˈe	0.055
ˈu	ˈɔ	0.475
ˈu	ˈu	0.245
ˈu	ˈo	0.199
ˈu_ŋ	ˈo	1.0
ˈuː	ˈɔ	0.301
ˈuː	ˈo	0.194
ˈuː	ˈɛ	0.147
ˈuː	ˈo_l	0.128
ˈuː	ˈu	0.103
ˈuː	l_ˈo	0.097
ˈuː_r	ˈo	1.0
ˈy	ˈu	0.524
ˈy	ˈo	0.201
ˈy	ˈi	0.153
ˈy	ˈɛ	0.084
ˈy_ŋ	ˈu	1.0
ˈyː	ˈu	0.859
ˈyː	ˈi	0.123
ˈø	ˈu	0.669
ˈø	ˈo	0.167
ˈø	ˈi	0.113
ˈøː	ˈɔ	0.874
ˈøː	ˈu	0.125
ˈɔ	ˈɔ	0.775
ˈɔ	j	0.127
ˈɔ	ɾ	0.094
ˈɔː	ˈɔ	1.0
ˈɛ	ˈe	0.533
ˈɛ	j	0.158
ˈɛ	ˈɛ	0.138
ˈɛ	ɾ	0.099
ˈɛː	ˈɛ	0.314
ˈɛː	ˈa	0.256
ˈɛː	ˈa_ɾ	0.143
ˈɛː	ˈa_t	0.094
ˈɛː	ˈe	0.072
ˈɛː	-	0.061
ˈɛː	w	0.061
