Megleno-Romanian	Latin	probability
d	d	1.0
e	ɛ̃ː	1.0
f	f	1.0
kʲ	p	1.0
v	w	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɲ	n	1.0
ʒ	j	1.0
ʧ	-	1.0
j	-	0.941
k	kː	0.101
l	ɫ	0.551
z	-	0.091
ʎ	ɫ	0.381
ʦ	t	0.211
ˈa	ˈa	0.561
ˈo	oː	0.061
ˈu	ˈu	0.141
ˈu	ˈʊ	0.351
ˈɔ	ˈaː	0.451
e̯ˈa	ˈeː	0.142
l	lʲː	0.122
l	lʲː_ʊ̃ː	0.142
r	r	0.822
t	t_ʊ̃ː	0.142
w	w	0.632
k	k	0.733
u	ãː	0.063
z	ɡ	0.263
ə	ɛ̃ː	0.153
ˈa	ˈɛ	0.343
ˈi	ˈɛ	0.403
ˈu	ˈɔ	0.3
b	b	0.694
e̯ˈa	ˈɛ	0.104
u	ɔ	0.154
ˈe	ˈɛ	0.634
e̯ˈa	ˈɪ	0.755
i	ɛ	0.285
i	ɛ̃ː	0.565
l	l	0.185
n	n_ʊ̃ː	0.095
o̯ˈa	ˈɔ	0.215
o̯ˈa	ˈoː	0.785
p	p_ʊ̃ː	0.105
p	p	0.715
r	rː	0.055
t	t	0.785
ə	ʊ̃ː	0.05
ʃ	-	0.05
ʃ	s	0.95
ˈi	ˈiː	0.435
b	-	0.306
n	-	0.056
n	n	0.726
r	ɫ	0.086
s	s	0.96
z	d	0.646
ə	a	0.086
ʦ	k	0.6
ˈa	ˈaː	0.096
ˈe	ˈɪ	0.366
k	k_ʊ̃ː	0.167
m	m	0.967
w	-	0.368
ˈo	ˈɔ	0.78
ˈu	ˈuː	0.208
i	ɪ	0.079
j	w	0.059
n	ŋ	0.079
p	k	0.149
u	ʊ̃ː	0.739
ə	ãː	0.699
ʎ	lʲ_i	0.159
ʎ	ʊ_ɫ	0.459
ʦ	kʷ	0.189
ˈi	ˈɪ	0.089
ˈo	ʊ̃ː	0.159
ˈɔ	ˈa	0.549
