Neapolitan	Valencian	probability
b	b	1.0
e	-	1.0
f	f	1.0
kː	k	1.0
lː	l	1.0
mː	m	1.0
nː	ɲ	1.0
o	u	1.0
rː	r	1.0
sː	-	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ʎː	ʎ	1.0
ʤː	ʤ	1.0
ʦ	s	1.0
ʧː	t	1.0
d	d	0.881
l	l	0.401
t	-	0.061
t	ð	0.451
tː	j_t	0.571
u	-	0.231
v	-	0.121
w	w	0.691
ˈi	ˈe	0.151
ˈi	ˈi	0.561
a	e	0.052
j	l	0.612
k	p	0.12
n	-	0.122
p	β	0.192
p	p	0.802
ɾ	ɾ	0.652
ʃ	f_l	0.062
ʤ	ʤ	0.732
i	i	0.443
k	ɣ	0.103
r	ɾ	0.573
s	-	0.063
ə	ɞ	0.113
ə	ɜ	0.163
ˈe	ˈe_j	0.13
ˈi	ˈæ	0.273
ˈo	ˈɒ	0.783
ˈɔ	ˈɒ	0.783
j	ˈi	0.174
ə	ɐ	0.224
ʃː	ʃ	0.854
ˈe	ˈe	0.164
ˈɔ	ˈu	0.174
m	m	0.995
ɡ	ɣ	0.415
ɾ	r	0.215
d	ʤ	0.106
i	-	0.226
ʃ	-	0.146
ʃ	e_s	0.246
ʃ	s	0.546
ʃː	s	0.146
ˈe	ˈæ	0.706
ˈɛ	ˈæ	0.676
i	e	0.287
k	k	0.777
r	r	0.427
s	s	0.937
v	v	0.737
ə	e	0.107
ɡ	ɡ	0.547
ˈo	ˈo	0.217
ˈu	ˈu	0.677
a	a	0.948
n	n	0.878
t	t	0.488
ɾ	-	0.088
ʤ	-	0.268
ˈɛ	ˈe	0.318
j	ʤ	0.19
l	ʎ	0.599
tː	t	0.429
u	u	0.769
v	b	0.129
w	-	0.309
ə	-	0.369
ˈa	ˈa_r	0.109
ˈa	ˈa	0.819
ˈu	u_z	0.069
ˈu	ˈo	0.179
