Occitan	Asturian	probability
i	i	1.0
p	p	1.0
ð	ð	1.0
ŋ	ŋ	1.0
ʎ	ʝ	1.0
ʦ	θ	1.0
β	β	1.0
s	θ	0.231
t	t	0.571
w	β	0.201
ʒ	ʃ	0.671
ʧ	ʧ_e	0.661
ˈe	ˈi	0.051
ˈi	<#_ɡ	0.091
ˈu	ˈo	0.651
ˈy	ˈu_ɾ	0.081
ˈɔ	ˈe	0.191
a	a	0.942
k	k_u	0.092
l	ʎ_u	0.062
l	ʎ	0.382
s	-	0.072
ˈa	-	0.052
ˈe	ˈe	0.942
ˈɔ	w_ˈe	0.472
b	b	0.963
k	-	0.053
n	n	0.693
t	t_e	0.073
w	β_u	0.13
ɲ	ɲ_u	0.053
ɲ	u_#>	0.093
ɲ	n	0.133
ˈa	ˈa_ɾ	0.163
ˈi	ˈe	0.13
k	k	0.794
l	-	0.154
u	u	0.194
v	b	0.954
z	-	0.14
ɔ	a	0.964
ɡ	ɡ	0.854
ɾ	-	0.074
ˈu	ˈu	0.114
e	u	0.175
j	-	0.285
j	j	0.715
n	n_t	0.215
r	ɾ_u	0.135
r	r	0.325
w	u	0.295
z	s	0.235
z	θ	0.625
ɣ	-	0.105
ɣ	ɣ	0.895
ˈy	ˈu	0.85
ˈɛ	ˈe	0.345
m	m	0.96
s	ʃ	0.056
s	s	0.616
t	ð	0.076
u	o	0.806
ɡ	-	0.146
ɾ	ɾ	0.926
ʒ	ʝ	0.16
ˈa	ˈa	0.706
ˈɛ	j_ˈe	0.546
e	o	0.07
f	f	0.977
l	l_u	0.077
t	-	0.237
w	β_e	0.177
ɥ	-	0.077
ɥ	ɡ_w	0.377
ɥ	w	0.547
ˈi	ˈi	0.767
ˈu	ˈo_ŋ	0.067
a	-	0.058
d	d	0.968
l	l	0.298
ʒ	-	0.168
ˈu	ˈo_ɾ	0.168
ˈɔ	ˈo	0.338
e	e	0.699
r	ɾ	0.499
w	o	0.149
ɲ	ɲ	0.669
ʧ	ʧ	0.339
ˈy	ˈe	0.069
ˈɛ	-	0.109
