Occitan	Galician	probability
b	b	1.0
ð	ð	1.0
ŋ	ŋ	1.0
ɣ	ɣ	1.0
ɥ	ˈo	1.0
ʎ	ʎ	1.0
β	β	1.0
a	-	0.11
a	a	0.771
e	-	0.061
l	l_ʊ	0.11
m	m	0.881
v	b	0.971
w	ʊ	0.121
ɲ	ɲ_ʊ	0.401
ɾ	ɾ_ˈe	0.051
ʒ	-	0.151
ˈe	ˈe	0.801
p	p	0.872
ʧ	t_ʊ	0.572
ˈi	ˈe	0.092
ˈy	ˈo	0.072
ˈɔ	ˈɔ	0.72
d	d	0.833
t	t	0.63
z	-	0.053
ɾ	ɾ	0.73
ˈa	ˈa_ɾ	0.173
ˈi	ˈi	0.853
ˈy	ˈu_ɾ	0.123
ˈɛ	ˈɛ	0.333
d	-	0.14
k	ɪ_#>	0.064
n	n	0.654
t	ð_ɪ	0.14
u	o	0.914
ʦ	θ_ʊ	0.304
ˈa	a	0.054
ˈu	ˈɔ	0.124
ˈy	ˈu	0.804
i	ʊ	0.465
i	i	0.535
k	ʊ_#>	0.125
l	-	0.275
n	n_t	0.165
r	ɾ_ʊ	0.15
r	ɾ	0.415
t	t_ɪ	0.065
t	-	0.075
ɔ	ɐ	0.935
ˈɛ	j	0.115
ˈɛ	ˈe	0.345
n	ɲ	0.16
r	r	0.356
s	ʃ	0.076
u	-	0.086
w	w	0.456
ʦ	θ	0.696
ˈa	ˈo	0.056
ˈi	ˈi_ɲ	0.056
j	-	0.557
k	ɣ_ʊ	0.077
w	β_ɪ	0.067
w	β	0.257
ɡ	ɡ	0.967
ɾ	-	0.177
ˈu	ˈo_ɾ	0.127
ˈu	ˈo	0.427
e	ɪ	0.198
f	f	0.988
j	j	0.408
s	θ	0.208
s	s	0.648
w	-	0.068
z	θ	0.748
ʧ	j_t	0.428
ˈa	ˈɑ	0.18
ˈe	ˈi	0.148
ˈu	ˈu	0.298
ˈɔ	ˈo	0.28
ˈɛ	-	0.158
a	ɐ	0.119
e	ʊ	0.19
e	e	0.429
k	k_ʊ	0.059
k	ŋ_#>	0.079
k	k	0.509
l	l	0.549
m	m_ɪ	0.119
p	-	0.09
z	s	0.199
ɲ	ɲ	0.599
ʒ	ʃ	0.849
ˈa	ˈa	0.509
