Piedmontese	Catalan	probability
a	ə	0.935
b	b	0.558
b	β	0.228
b	k	0.076
b	ʧ	0.076
b	-	0.064
d	d	0.451
d	ð	0.161
d	-	0.14
d	t	0.112
d	ʤ	0.067
d	ɾ	0.051
e	ə	0.43
e	ˈi	0.149
e	-	0.11
e	i	0.11
e	ɾ_ə	0.082
e	j	0.071
f	f	0.914
f	ʒ	0.05
i	ə	0.447
i	i	0.243
i	-	0.121
i	w	0.102
i	ˈɛ	0.072
j	ʎ	0.389
j	l	0.235
j	-	0.171
j	j	0.051
j_r	ɾ	0.269
k	k	0.963
l	ʎ	0.662
l	l	0.285
l	-	0.053
l_a	l	0.518
m	m	0.97
n	n	0.789
n	-	0.157
p	p	0.956
r	ɾ	0.485
r	r	0.417
r	-	0.094
r_j	ɾ	0.139
s	s	0.658
s	-	0.209
s	ʃ	0.078
t	t	0.903
t	ð	0.087
t_e	t	1.0
u	u	0.741
u	ə	0.128
u	ˈo	0.064
u	-	0.051
v	b	0.48
v	β	0.318
v	w	0.135
w	w	0.467
w	l	0.426
w	-	0.082
y	ə	1.0
z	-	0.406
z	ʒ	0.241
z	m	0.159
z	ɾ	0.087
z	s	0.081
z_ˈi	ˈi	0.269
ŋ	n	0.408
ŋ	-	0.36
ŋ	ŋ	0.109
ŋ	ɲ	0.066
ŋ	m	0.05
ŋ_k	ŋ	1.0
ŋ_t	n	1.0
ə	ˈɛ	0.488
ə	ə	0.208
ə	-	0.192
ɡ	ɡ	0.551
ɡ	k	0.242
ɡ	ɣ	0.136
ɡ	-	0.064
ɲ	ɲ	0.875
ɲ	n	0.123
ʤ	ʒ	0.652
ʤ	-	0.115
ʤ	ɡ_l	0.1
ʤ	ʤ	0.067
ʤ	ɡ	0.064
ʧ	p	0.349
ʧ	s	0.275
ʧ	k	0.208
ˈa	ˈa	0.921
ˈa_n	ˈa	1.0
ˈe	ˈa	0.453
ˈe	ˈe	0.256
ˈe	ˈɛ	0.149
ˈe	ə	0.066
ˈe_j	ˈɛ	1.0
ˈi	ˈi	0.735
ˈi	ˈɛ	0.072
ˈi	ˈu	0.055
ˈu	ˈo	0.454
ˈu	ˈɔ	0.295
ˈu	ˈu	0.14
ˈu	ˈɛ	0.064
ˈu_r	ˈo	1.0
ˈu_ŋ	ˈo	1.0
ˈy	ˈu	0.813
ˈy	ˈo	0.125
ˈy	ˈɛ	0.059
ˈø	ˈɔ	0.616
ˈø	ˈu	0.246
ˈø	u	0.069
ˈø	ˈi	0.06
ˈɔ	ˈɔ	0.764
ˈɔ	ˈɛ	0.096
ˈɔ	ˈo	0.071
ˈə	ˈɛ	0.574
ˈə	ˈe	0.298
ˈɛ	ˈe	0.546
ˈɛ	ˈɛ	0.306
ˈɛ_j	ˈɛ	1.0
