Portuguese	Emilian	probability
b	b	1.0
d	d	0.911
d	ŋ_d	0.089
ẽ	i	1.0
f	f	1.0
i	-	0.552
i	e	0.286
i	i	0.161
ĩ	i	1.0
j	-	0.773
j	j	0.098
j	ŋ	0.066
j̃	-	0.377
j̃	ˈi	0.249
j̃	ˈæ	0.249
j̃	n	0.126
k	k	0.906
k	ŋ_k	0.054
l	l	1.0
m	m	0.918
m	-	0.082
n	n	0.837
n	e_n	0.087
n	m	0.071
o	u	1.0
õ	u	1.0
p	p	0.905
p	-	0.062
s	s	0.472
s	θ	0.44
s	-	0.054
t	t	0.907
t	θ	0.066
u	-	0.812
u	u	0.066
u	e	0.053
v	v	0.72
v	-	0.111
v	b	0.09
w	w	0.341
w	u	0.232
w	-	0.114
w	o	0.111
w	l	0.072
w	j	0.072
w	ˈɛ	0.058
w̃	ŋ	0.909
w̃	-	0.091
z	-	0.628
z	z	0.282
ð	d	0.381
ð	t	0.334
ð	-	0.19
ð	s	0.067
ɐ	a	0.762
ɐ	-	0.209
ɐ̃	a	0.597
ɐ̃	e	0.208
ɐ̃	-	0.195
ɔ	u	0.482
ɔ	-	0.259
ɔ	o	0.259
ɡ	ɡ	0.758
ɡ	ŋ_ɡ	0.185
ɡ	ð	0.057
ɣ	ɡ	0.843
ɣ	-	0.091
ɣ	k	0.066
ɨ	-	0.875
ɫ	l	0.83
ɫ	n	0.17
ɲ	ŋ	0.587
ɲ	ɲ	0.413
ɾ	r	0.822
ɾ	-	0.109
ɾ	e_r	0.06
ʁ	r	0.656
ʁ	-	0.164
ʁ	f	0.092
ʁ	d	0.087
ʃ	s	0.476
ʃ	z	0.299
ʃ	p	0.073
ʃ	θ	0.06
ʎ	ʧ	0.375
ʎ	ˈɔː	0.235
ʎ	j	0.166
ʎ	-	0.088
ʎ	r	0.069
ʎ	l	0.067
ʒ	ð	0.79
ʒ	ʤ	0.09
ʒ	-	0.069
ʒ	z	0.051
ˈa	ˈɛ	0.731
ˈa	ˈaː	0.173
ˈe	ˈa	0.309
ˈe	e	0.232
ˈe	ˈiː	0.165
ˈe	d_e	0.13
ˈe	ˈɛ	0.075
ˈe	j	0.055
ˈẽ	ˈæ	0.479
ˈẽ	ŋ	0.276
ˈẽ	ˈa	0.245
ˈi	ˈe	0.57
ˈi	ˈiː	0.189
ˈi	j	0.092
ˈi	ˈɛ	0.057
ˈĩ	ˈæ	0.364
ˈĩ	ˈe	0.36
ˈĩ	ˈiː	0.215
ˈĩ	ˈa	0.06
ˈo	ˈɔ	0.295
ˈo	ˈɔː	0.226
ˈo	ˈʌu̯	0.181
ˈo	ˈʌ	0.115
ˈo	ˈo	0.08
ˈo	ˈuː	0.07
ˈõ	ˈʌ	0.797
ˈõ	ŋ	0.156
ˈu	ˈuː	0.423
ˈu	ˈo	0.374
ˈu	ˈʌ	0.107
ˈũ	ˈo	1.0
ˈɐ	ˈaː	0.262
ˈɐ	ˈɛ	0.228
ˈɐ	ˈa	0.209
ˈɐ	ˈiː	0.082
ˈɐ	-	0.078
ˈɐ	ˈe	0.054
ˈɐ̃	ˈa	0.54
ˈɐ̃	-	0.247
ˈɐ̃	ˈɛ	0.093
ˈɐ̃	ˈʌ	0.073
ˈɔ	ˈʌu̯	0.297
ˈɔ	ˈɔː	0.26
ˈɔ	ˈɔ	0.223
ˈɔ	ˈuː	0.099
ˈɔ	ˈaː	0.073
ˈɛ	ˈɛ	0.588
ˈɛ	ˈɛː	0.207
ˈɛ	ˈa	0.106
ˈɛ	ˈiː	0.059
β	v	0.941
β	p	0.059
