Québécois French	Asturian	probability
aœ̯	ˈo	1.0
o	ˈe_s	1.0
y	ˈu	1.0
z	θ	1.0
ɑ	ˈa	1.0
ɛɪ̯	j_ˈe	1.0
ɲ	ɲ	1.0
ʊ	ˈo	1.0
ʏ	ˈu	1.0
ʣ	d	1.0
ʦ	t	1.0
b	β	0.191
m	m	0.761
w	ˈi	0.151
w	e	0.371
ɥ	ˈo	0.211
ʁ	ɾ_e	0.071
ã	ˈe_n	0.432
d	ð	0.062
e	ˈa_ɾ	0.32
i	u	0.062
l	ʎ_a	0.082
æɛ̯	j_ˈe	0.082
øʏ̯	u	0.712
œ	w	0.382
ɔ	o	0.222
ɥ	ˈu_β	0.562
ʁ	-	0.052
ʃ	k_a	0.292
e	e_s	0.133
ẽɪ̯̃	ˈi_ŋ	0.093
l	ʎ	0.443
n	-	0.053
n	n_a	0.303
oʊ̯	u	0.513
t	s_t	0.223
ɔ	ˈo	0.723
ɡ	ɣ	0.403
ʒ	ʃ	0.643
a	ˈa	0.44
e	-	0.124
ẽɪ̯̃	u	0.4
f	-	0.084
i	ˈe	0.464
oʊ̯	ʎ_u	0.114
p	p_ˈo	0.064
u	o	0.274
w	ˈu_n	0.154
w	ˈu	0.154
æɛ̯	ˈe	0.234
æɛ̯	ˈa	0.394
œ	e	0.504
ɑɔ̯	o	0.334
ɒ̃ʊ̯̃	ˈo	0.084
ɪ	ˈi	0.954
ʁ	ɾ_u	0.064
b	b	0.765
e	ˈa	0.145
ẽɪ̯̃	ŋ	0.295
k	k	0.795
l	l	0.325
n	n_u	0.065
oʊ̯	ˈo	0.125
s	-	0.185
s	s	0.535
t	t	0.645
v	β	0.355
œ	β_e	0.115
ɔ	w_ˈe	0.055
ɛ	-	0.145
ɛ	ˈe	0.765
ʁ	ɾ_a	0.055
a	a	0.56
e	u	0.16
i	j	0.06
j	ʝ	0.396
k	k_w	0.166
n	n	0.546
p	p	0.936
u	ˈo	0.726
æɛ̯	a	0.066
æɛ̯	j	0.106
ɑɔ̯	w_ˈe	0.666
ɡ	ɡ	0.576
ʁ	ɾ	0.516
ẽɪ̯̃	t_u	0.17
j	j	0.57
l	l_u	0.077
s	θ	0.27
t	-	0.057
v	b	0.577
w	-	0.17
ʒ	-	0.357
ã	ˈa	0.568
d	-	0.158
d	d	0.78
e	e	0.118
f	f	0.898
oʊ̯	ˈa	0.248
t	ʧ	0.058
øʏ̯	ˈo_s	0.288
ɒ̃ʊ̯̃	n	0.248
ɥ	ˈu	0.228
ʃ	k	0.708
i	ˈi	0.389
m	m_a	0.239
v	b_j	0.069
ɒ̃ʊ̯̃	ˈo_n	0.149
ɒ̃ʊ̯̃	e	0.519
ɛ	ˈa	0.09
ʁ	r	0.069
