Québécois French	Catalan	probability
aœ̯	ˈɔ	1.0
k	k	1.0
o	ˈɔ_s	1.0
ɑ	ˈa	1.0
ɛɪ̯	ˈe_s	1.0
ɪ	ˈi	1.0
ʊ	ˈo	1.0
ʏ	ˈu	1.0
ʣ	d	1.0
ʦ	t	1.0
e	ə	0.231
j	ʎ_ə	0.211
l	l	0.491
m	m_ə	0.271
u	ˈɔ	0.051
u	u	0.301
u	ˈo	0.51
v	b	0.691
y	ˈu	0.911
ɑɔ̯	u	0.211
ɔ	u	0.491
ɛ	-	0.091
ɛ	ə	0.181
ʒ	-	0.181
ã	ˈe_n	0.412
b	β	0.142
ẽɪ̯̃	ɲ	0.052
ẽɪ̯̃	ˈi	0.262
t	t	0.632
ɒ̃ʊ̯̃	ˈo	0.552
ɡ	ɡ	0.792
j	-	0.343
l	ʎ	0.313
oʊ̯	ˈɔ	0.053
oʊ̯	ˈa_l	0.493
p	s_p	0.13
æɛ̯	ə	0.053
æɛ̯	ˈɛ	0.333
øʏ̯	ʎ	0.183
ɥ	-	0.083
ɲ	ɲ_ə	0.473
ʃ	k	0.723
a	ˈa	0.314
ã	ˈɛ_n	0.144
b	β_ə	0.104
n	n	0.554
oʊ̯	ˈe_ʎ	0.454
s	s_ə	0.064
w	ˈu	0.494
œ	ˈɔ	0.304
ɒ̃ʊ̯̃	ˈɔ_n	0.304
ɛ	ˈe	0.164
a	ə	0.65
ẽɪ̯̃	ˈa	0.645
t	-	0.135
z	z	0.425
z	-	0.575
ɒ̃ʊ̯̃	ˈɔ	0.115
e	ˈa	0.496
f	f	0.86
i	j	0.106
i	ˈi_t	0.236
l	l_ə	0.056
n	n_ə	0.446
w	-	0.456
œ	ə	0.696
ɛ	ˈa	0.116
ʁ	ɾ_ə	0.366
ã	ˈa_ŋ	0.127
d	d	0.947
e	ˈa_t	0.157
l	ʎ_ə	0.117
p	p	0.87
æɛ̯	ˈa	0.457
øʏ̯	ˈɔ_k	0.817
ɛ	ˈɛ	0.447
ɥ	ˈu	0.917
ɲ	ɲ	0.527
ʁ	r	0.37
ã	ɲ	0.068
ã	ˈa_n	0.248
e	ə_s	0.08
f	-	0.128
i	i	0.148
i	-	0.168
j	ʎ	0.198
j	ˈe	0.248
s	-	0.118
t	t_ə	0.108
u	ˈo_ʎ	0.138
æɛ̯	ˈe	0.148
ɡ	ɣ	0.208
ʁ	ɾ	0.18
ʃ	-	0.068
b	b	0.739
i	ˈi	0.309
m	m	0.729
s	s	0.79
t	s_t	0.059
v	β	0.309
y	ˈu_t	0.089
ɑɔ̯	ˈɔ	0.789
ɔ	ˈɔ	0.509
ʃ	k_ə	0.209
ʒ	ʒ	0.819
