Phone1	PhonEnv	Phone2	Surprisal	OOV_Smoothed
<#_a	#|S|>	<#	0.9610688578600814	4.8053442893004075
<#_a	#|S|>_N	<#	0.9610688578600814	4.8053442893004075
a	#|S|>	a	1.1076244628257332	4.8053442893004075
a	#|S|>	u	1.93253597804863	4.8053442893004075
a	#|S|>	ə	3.5862193263115847	4.8053442893004075
a	#|S|>_F	a	1.0144736123561433	4.8053442893004075
a	<|S|#	ə	0.40188538490903103	4.8053442893004075
a	<|S|#	-	2.7719222188343315	4.8053442893004075
a	<|S|#	i	4.078363887724077	4.8053442893004075
a	<|S|#	a	4.765077973253964	4.8053442893004075
a	<|S|>	ə	1.3626188614090287	4.8053442893004075
a	<|S|>	-	2.0384441463521448	4.8053442893004075
a	<|S|>	a	2.2784722989490462	4.8053442893004075
a	<|S|>_R	ə	1.9359764355181133	4.8053442893004075
b	#|S|<	b	0.3329216544255025	4.8053442893004075
b	#|S|<_F	b	1.6080741566643542	4.8053442893004075
b	>|S|<_F	b	0.9610688578600814	4.8053442893004075
c	#|S|<	-	0.11101359021156351	4.8053442893004075
c	#|S|<_F	-	0.15647630292979028	4.8053442893004075
cː	>|S|<	k_ʎ	0.0	4.8053442893004075
cː	>|S|<_F	k_ʎ	0.0	4.8053442893004075
cː	F_>|S|<	k_ʎ	0.0	4.8053442893004075
cː	F_>|S|<_F	k_ʎ	0.0	4.8053442893004075
d	#|S|<	d	0.20852080239793588	4.8053442893004075
d	#|S|<	ʣ	4.256555540373155	4.8053442893004075
d	#|S|<_F	d	0.5201420116385898	4.8053442893004075
d	#|S|<_F	ʣ	4.054057351536516	4.8053442893004075
d	>|S|<	d	0.00607472980870374	4.8053442893004075
d	>|S|<_F	d	0.002414566460114994	4.8053442893004075
d	F_>|S|<_F	d	0.9620724728134064	4.8053442893004075
f	#|S|<	f	0.8925413501340318	4.8053442893004075
f	#|S|<	ç	1.2095338502782629	4.8053442893004075
f	#|S|<_F	ç	0.8928907556341493	4.8053442893004075
f	#|S|<_F	f	1.2643092885261649	4.8053442893004075
i	<|S|#	ˈi	2.9454669217643223	4.8053442893004075
i	<|S|#	-	4.6025936020576905	4.8053442893004075
i	<|S|#	i	4.6025936020576905	4.8053442893004075
i	<|S|>	i	0.9555587778246041	4.8053442893004075
i	<|S|>	-	1.4984078813578288	4.8053442893004075
i	<|S|>	ˈi	4.177397271286748	4.8053442893004075
i	<|S|>_N	i	1.9375459228729286	4.8053442893004075
i	<|S|>_R	i	1.0057287211596178	4.8053442893004075
i	<|S|>_R	-	1.8205346681532861	4.8053442893004075
i	<|S|>_R	ˈi	3.610794142727552	4.8053442893004075
i	F_<|S|>	-	0.9975341296825095	4.8053442893004075
i	F_<|S|>	i	4.791668550273567	4.8053442893004075
j	#|S|<	ʣ	0.8663884364132475	4.8053442893004075
j	#|S|<	-	1.2964004897155095	4.8053442893004075
j	#|S|<_F	ʣ	0.7237928410476876	4.8053442893004075
j	#|S|<_F	-	1.447575468485889	4.8053442893004075
j	>|S|#	i	1.6936645698055108	4.8053442893004075
j	>|S|#	j	2.400574661807212	4.8053442893004075
j	>|S|#	ʣ	4.436771182510828	4.8053442893004075
j	>|S|#	-	4.510035625359991	4.8053442893004075
j	>|S|<	-	1.0553405552971846	4.8053442893004075
j	>|S|<	ʣ	4.597840040370909	4.8053442893004075
j	F_>|S|#	i	1.0080674235927332	4.8053442893004075
j	F_>|S|<	-	0.9978528631574763	4.8053442893004075
k	#|S|<	k	0.14641240442954018	4.8053442893004075
k	#|S|<	-	4.196365561828881	4.8053442893004075
k	#|S|<_F	k	0.11257875779249672	4.8053442893004075
k	#|S|<_F	-	3.7628942545829607	4.8053442893004075
k	#|S|<_R	k	0.006880015328327136	4.8053442893004075
k	>|S|<	k	0.2511249393318152	4.8053442893004075
k	>|S|<	-	2.6973906663568545	4.8053442893004075
k	>|S|<_F	k	0.0068800153283272	4.8053442893004075
k	>|S|<_R	k	0.006880015328327105	4.8053442893004075
k	F_>|S|<	k	0.006880015328327041	4.8053442893004075
k	F_>|S|<_F	k	0.002862617081775939	4.8053442893004075
k	F_>|S|<_R	k	0.9634082853004551	4.8053442893004075
k_ʊ	>|S|#	k	0.0	4.8053442893004075
k_ʊ	F_>|S|#	k	0.0	4.8053442893004075
kː	>|S|<_F	k	0.9610688578600814	4.8053442893004075
kː	F_>|S|<	k	1.227412878987959	4.8053442893004075
kː	F_>|S|<_F	k	0.9610688578600814	4.8053442893004075
l	#|S|<	l	0.302701254992516	4.8053442893004075
l	#|S|<	ʎ	2.7213450969588546	4.8053442893004075
l	#|S|<	r	4.761267931584557	4.8053442893004075
l	#|S|<_F	l	0.20087670398304736	4.8053442893004075
l	#|S|<_F	ʎ	3.2232096567008557	4.8053442893004075
l	>|S|<	r	0.3865587274637004	4.8053442893004075
l	>|S|<	ʎ	2.878840775558734	4.8053442893004075
l	>|S|<	l	3.738018438149059	4.8053442893004075
l	>|S|<_F	r	0.30469206924073633	4.8053442893004075
