Phone1	Phone2	Surprisal	OOV_Smoothed
a	ə	1.1363375039669	4.8053442893004075
a	a	1.789394074988486	4.8053442893004075
a	-	1.9669484886935622	4.8053442893004075
b	b	-0.0	4.8053442893004075
d	d	0.3882374404456515	4.8053442893004075
d	ʣ	2.478335851836166	4.8053442893004075
d	-	4.145957315805229	4.8053442893004075
e	i	0.4916093861202978	4.8053442893004075
e	-	2.7285834561758775	4.8053442893004075
e	u	3.6206278802288594	4.8053442893004075
e	ə	4.143150188666189	4.8053442893004075
f	f	0.8666345382440205	4.8053442893004075
f	ç	1.1469615278198684	4.8053442893004075
i	i	-0.0	4.8053442893004075
j	-	0.48863511144407884	4.8053442893004075
j	i	1.7993652872134576	4.8053442893004075
k	k	0.1642122376761147	4.8053442893004075
k	-	3.216460226110761	4.8053442893004075
l	r	1.6598054179607757	4.8053442893004075
l	l	1.871048615482876	4.8053442893004075
l	ʎ	1.953667488911705	4.8053442893004075
l	-	2.987429101867704	4.8053442893004075
m	m	0.36824904955527094	4.8053442893004075
m	ɲ	2.38764245082298	4.8053442893004075
n	n	0.17796829245006782	4.8053442893004075
n	-	3.898557269282539	4.8053442893004075
n	m	4.351069159926976	4.8053442893004075
o	u	0.7468528384101196	4.8053442893004075
o	-	1.9847632736369654	4.8053442893004075
o	ˈo	3.6320552854183488	4.8053442893004075
o	o̯ˈa	3.8203809067047176	4.8053442893004075
p	p	0.6975934491769278	4.8053442893004075
p	k	1.813170939609967	4.8053442893004075
p	-	4.288096085955411	4.8053442893004075
p	t	4.391412326007806	4.8053442893004075
r	r_i	0.8903313098482771	4.8053442893004075
r	r	1.7791242156802336	4.8053442893004075
r	i_r_i	3.797152525150295	4.8053442893004075
r	a_r	3.8351537614577658	4.8053442893004075
s	s	1.5155912459861929	4.8053442893004075
s	ʦ	2.1921001186627413	4.8053442893004075
s	-	2.5641031390531364	4.8053442893004075
s	ʃ	2.6567230832374613	4.8053442893004075
s	ʧ	3.945874846736995	4.8053442893004075
s	r_s	4.685881437265339	4.8053442893004075
t	t	1.278369181495258	4.8053442893004075
t	p_t_i	2.321589328440237	4.8053442893004075
t	t_u	2.862314190321224	4.8053442893004075
t	t_i	3.2962745317412505	4.8053442893004075
t	ʦ	4.593304256658744	4.8053442893004075
