Phone1	Phone2	Surprisal	OOV_Smoothed
a	e	0.40769111862955787	4.980135888199614
a	a	2.5736759987913214	4.980135888199614
a	-	3.67677024409724	4.980135888199614
ã	a	-0.0	4.980135888199614
b	b	-0.0	4.980135888199614
d	d	0.02381537210365755	4.980135888199614
e	e	0.8647451509345959	4.980135888199614
e	i	1.7637993898910134	4.980135888199614
e	-	2.676826368815434	4.980135888199614
f	f	-0.0	4.980135888199614
i	i	0.2674664614983037	4.980135888199614
i	-	2.563004184119611	4.980135888199614
ĩ	i	-0.0	4.980135888199614
j	l	1.2950276149671223	4.980135888199614
j	j	1.6614699233606551	4.980135888199614
j	-	1.8554067728976307	4.980135888199614
k	c	1.0637699913905243	4.980135888199614
k	k	1.1208508518724374	4.980135888199614
k	-	4.0163170261378305	4.980135888199614
l	l	0.031194409696315508	4.980135888199614
m	m	-0.0	4.980135888199614
n	n	0.12735515243156323	4.980135888199614
n	ɲ	4.122766803526962	4.980135888199614
o	u	-0.0	4.980135888199614
p	p	-0.0	4.980135888199614
r	r	0.009860632590310545	4.980135888199614
s	s	0.2956322543472687	4.980135888199614
s	ʧ	2.4321836317116285	4.980135888199614
t	t	0.689065936067523	4.980135888199614
t	n_t	1.925491582780139	4.980135888199614
t	d	4.042580003869828	4.980135888199614
t	t_r	4.163285029785077	4.980135888199614
u	o	0.4691242882917935	4.980135888199614
u	u	2.413012138555313	4.980135888199614
u	ˈo	3.4766005946384397	4.980135888199614
v	v	0.160774524793405	4.980135888199614
v	-	3.2452964497649144	4.980135888199614
w	w	-0.0	4.980135888199614
y	u	-0.0	4.980135888199614
z	z	-0.0	4.980135888199614
ɛ	-	-0.0	4.980135888199614
ɡ	ɡ	0.4417943224357489	4.980135888199614
ɡ	-	2.3017817529449425	4.980135888199614
ɡ	v	4.035776755736258	4.980135888199614
ɲ	ɲ	-0.0	4.980135888199614
ʒ	ʤ	0.9929561926268646	4.980135888199614
ʒ	-	1.356146291377921	4.980135888199614
ʒ	z	3.2252815965083284	4.980135888199614
ʤ	-	0.5787361789161398	4.980135888199614
ʤ	ɟ	1.5974963427338078	4.980135888199614
ʧ	ʧ	0.9142132245549311	4.980135888199614
ʧ	-	2.030616773933331	4.980135888199614
ʧ	t	2.1544647678270996	4.980135888199614
ˈa	ˈa	0.7574413421783478	4.980135888199614
ˈa	ˈaː	1.291749258716112	4.980135888199614
ˈã	ˈa_ŋ	0.25484090848942725	4.980135888199614
ˈã	ˈa	2.6266428708203384	4.980135888199614
ˈe	ˈiː	0.7206195975456019	4.980135888199614
ˈe	ˈe	1.346799680485115	4.980135888199614
ˈeː	ˈe	0.3539023490660866	4.980135888199614
ˈeː	ˈiː	3.1672302595608093	4.980135888199614
ˈeː	j_ˈɛ	3.98323558815744	4.980135888199614
ˈeː	ˈeː	4.539992184775012	4.980135888199614
ˈẽ	ˈi	0.7869741063766703	4.980135888199614
ˈẽ	ˈe_ŋ	1.2500225970152032	4.980135888199614
ˈi	ˈiː	0.5784729407601298	4.980135888199614
ˈi	ˈi	1.981544649836733	4.980135888199614
ˈi	i	3.696954053589219	4.980135888199614
ˈiː	ˈi	-0.0	4.980135888199614
ˈĩ	ˈi_ŋ	0.1781487697435106	4.980135888199614
ˈĩ	ˈi	3.1057698485318896	4.980135888199614
ˈoː	w	-0.0	4.980135888199614
ˈu	ˈo	0.15493563475393235	4.980135888199614
ˈu	ˈoː	3.2958000607384577	4.980135888199614
ˈuː	ˈo	0.5440100271214144	4.980135888199614
ˈuː	ˈoː	1.6705290611092634	4.980135888199614
ˈũ	ˈo_ŋ	0.6982078236834781	4.980135888199614
ˈũ	ˈo	1.3820898518241993	4.980135888199614
ˈy	ˈu	-0.0	4.980135888199614
ˈyː	ˈu	0.8167012796558807	4.980135888199614
ˈyː	ˈuː	1.2100240598824727	4.980135888199614
ˈỹ	ˈu_ŋ	-0.0	4.980135888199614
ˈøː	ˈuː	-0.0	4.980135888199614
ˈœ	ˈɔ	-0.0	4.980135888199614
ˈɑː	ˈa	0.5484214697350623	4.980135888199614
ˈɑː	ˈaː	1.6609441219818886	4.980135888199614
ˈɔ	w_ˈa	0.9684612470050559	4.980135888199614
ˈɔ	ˈɔ	1.8107042041400823	4.980135888199614
ˈɔ	w_ˈɛ	2.7128976758751016	4.980135888199614
ˈɔ	ˈa	4.282817436106682	4.980135888199614
ˈɛ	j_ˈɛ	1.0826968568142001	4.980135888199614
ˈɛ	ˈɛ	2.37110916855628	4.980135888199614
ˈɛ	ˈe	2.45559291619921	4.980135888199614
ˈɛ	ˈeː	3.111344257751053	4.980135888199614
ˈɛ	i	4.774403533259194	4.980135888199614
