Phone1	Phone2	PMI
kʰ	kʰ	7.129
m	m	7.078
²⁴²	¹¹	6.485
tʰ	tʰ	6.421
u_ŋ	u_n	6.393
p	p	6.304
l̃	l	6.3
nˡ	nʲ	6.281
ʦ	ʦ	6.142
⁵	²	6.072
ʦʰ	ʦʰ	6.065
u	u_n	6.059
i	z̩	6.037
k	k	5.945
k	ʨ	5.642
s	ɕ	5.489
a_w	ɛ_w	5.475
s	s	5.434
²⁴	⁵	5.154
y	j_u	5.108
u	u	5.055
e	ɛ	5.025
ʔ	t̚	4.983
ɛ	i	4.972
o_w	u	4.883
ɥ_ŋ	ŋ	4.858
ʔ	ʔ	4.745
³³	²¹³	4.672
⁵³	²⁴	4.659
o	o	4.656
⁵⁵	⁴²	4.581
w	ɥ	4.58
i	i	4.561
ø	u	4.53
j_a	a	4.524
⁵	⁵	4.518
o	ɔ	4.518
⁵³	³⁵	4.458
ɑ	a	4.191
²¹³	²¹³	4.177
o	ɵ	4.083
t	t	4.078
a	a	4.064
ɥ	ŋ	4.029
p	pʰ	3.957
h	f	3.94
ŋ	ŋ	3.834
a_w	ɛ	3.822
j_ʔ	t̚	3.786
ŋ	n	3.785
w	w	3.711
ʦ	ʨʰ	3.702
j	j	3.683
u_ŋ	u	3.55
ŋ	u_n	3.549
e	ɨ	3.516
a_w	w	3.43
t	ʦ	3.337
t	ʦʰ	3.327
a_ŋ	n	3.236
u_ŋ	n	3.235
w_ŋ	ŋ	3.214
<#_u	<#_u	3.214
u_j	ɨ_j	3.214
t	tʰ	3.199
ʦ_w	ʨʰ_ɥ	3.196
o_⁵³	o_³⁵	3.196
ʦʰ	ʨʰ	3.193
a	ɛ_w	3.193
w	ɛ_w	3.169
nˡ	l	3.166
y	u	3.101
p	f	3.028
a_⁵⁵	a_⁴²	3.019
<#	<#_w	3.002
<#_w	<#_w	3.002
e_ŋ	ɛ_n	3.002
w_ɑ	a	2.971
y	j	2.937
u	n	2.902
<#_ŋ	<#_ŋ	2.881
k	ʨʰ	2.868
j	i	2.832
ɥ	u	2.782
ɛ	ɛ	2.774
ʦ	ʨʰ_ɥ	2.756
o	ɨ	2.67
ɑ_j	a_j	2.668
i_ŋ	i_n	2.668
u	<#_u	2.612
u	ɨ_j	2.612
<#	<#_u	2.612
j_ɛ	j_ɛ	2.594
o_⁵³	o	2.573
<#	<#	2.561
j	a	2.552
<#	<#_ŋ	2.474
ø	j	2.471
ʦ_w	ɥ	2.435
ɑ	a_j	2.335
e	ɛ_n	2.335
<#_ŋ	nʲ	2.327
h	h	2.327
i	i_n	2.26
u_j	ɨ	2.246
j	ɨ_j	2.214
ɥ_ʔ	ʔ	2.165
ʦ_w	ʨʰ	2.165
o	u	2.165
ɛ	j_ɛ	2.153
w_o	ɨ	2.148
#>	³⁵_#>	2.14
o	o_³⁵	2.114
o	a_w	2.114
<#	f	2.101
o_ʔ	ʔ	2.051
a	j_a	2.033
h_w	f	2.028
w	ʨʰ_ɥ	2.022
<#	nʲ	1.994
ʦ	ɥ	1.994
y	y	1.994
w	u	1.975
a_j	ɛ	1.948
⁵³	o_³⁵	1.927
⁵⁵	a_⁴²	1.889
a	ɛ	1.873
j_e	i	1.851
a	a_⁴²	1.845
ɑ_ʔ	t̚	1.832
w_ʔ	t̚	1.832
o_w	ɨ	1.815
j_ɛ	ɛ	1.782
e_ŋ	ɛ	1.782
o_⁵³	³⁵	1.768
j	ɛ	1.765
j	t̚	1.757
i_ŋ	i	1.739
w	<#_w	1.732
ɑ_j	j	1.711
<#_ŋ	<#	1.701
#>	³⁵	1.694
<#	w	1.668
<#_w	w	1.668
<#_u	u	1.667
j	j_ɛ	1.658
u	ɨ	1.643
j	a_j	1.639
o_ŋ	n	1.621
e_ŋ	n	1.62
i_ŋ	n	1.615
<#_ŋ	ŋ	1.599
ŋ	ɛ_n	1.598
j_ɛ	j	1.598
ŋ	<#_ŋ	1.579
a_⁵⁵	⁴²	1.579
ɥ	ʔ	1.563
ŋ	nʲ	1.561
u_j	j	1.559
ɑ_j	a	1.553
w	ɛ	1.517
a	i	1.513
ɑ	t̚	1.499
a_⁵⁵	a	1.472
w	ŋ	1.437
ŋ	i_n	1.422
ɑ	j	1.378
⁵³	o	1.304
j	ɨ	1.246
w	ɨ	1.213
i	n	1.207
<#	ŋ	1.192
e	i	1.184
ɛ	j	1.157
a	w	1.148
²¹³	³⁵	1.089
<#	u	1.064
o	ʔ	1.051
w	ʨʰ	0.991
u	j	0.957
a	n	0.954
e	n	0.953
w	a	0.904
#>	#>	0.86
<#_w	<#	0.86
<#_u	<#	0.856
w	f	0.758
ŋ	u	0.706
o	³⁵	0.685
w	t̚	0.658
o	w	0.656
a	j	0.629
o	n	0.621
ŋ	i	0.493
o	a	0.471
a	⁴²	0.404
ŋ	ɛ	0.379
⁵⁵	a	0.341
h	<#	0.327
u	<#	0.253
w	<#	-0.409
ŋ	<#	-1.042
