Phone1	Phone2	Surprisal	OOV_Smoothed
<#	<#_x	0.485	4.958
<#	<#_w	1.807	4.958
<#_h	<#	0.0	4.958
<#_nˡ	<#_n	0.485	4.958
<#_nˡ	<#	1.807	4.958
<#_ŋ	<#	0.0	4.958
<#_ʦʰ	<#	0.0	4.958
a	a	0.524	4.958
a	o	2.202	4.958
a	-	3.524	4.958
a_ŋ	i_ŋ	0.0	4.958
e	-	1.0	4.958
e	o	2.0	4.958
e	ɑ	2.0	4.958
h	x	0.459	4.958
h	f	1.874	4.958
i	ʐ̩	1.222	4.958
i	-	1.807	4.958
i	z̩	1.807	4.958
i_ŋ	i_n	0.0	4.958
j	j	0.848	4.958
j	-	1.948	4.958
j	ɤ	3.17	4.958
j	i	3.755	4.958
j_a	ɤ	0.0	4.958
j_²⁴²	⁵¹	0.0	4.958
j_ŋ	ŋ	0.0	4.958
k	ʨ	1.415	4.958
k	k	1.678	4.958
k	ʨʰ	2.415	4.958
k	ʨ_j	3.0	4.958
kʰ	kʰ	0.485	4.958
kʰ	-	1.807	4.958
l̃	l	0.0	4.958
m	m	0.485	4.958
m	w	1.807	4.958
o	ɑ	0.933	4.958
o	ɛ	2.392	4.958
o	-	3.392	4.958
o	u	3.392	4.958
o	w_ɔ	3.392	4.958
o_w	u	0.0	4.958
p	f	1.222	4.958
p	p	1.485	4.958
p	pʰ	2.222	4.958
pʰ	pʰ	0.0	4.958
s	ʂ	1.263	4.958
s	ɕ	1.585	4.958
s	s	2.0	4.958
t	t	1.138	4.958
t	ʈ͡ʂ	1.459	4.958
t	ʈ͡ʂʰ	2.459	4.958
tʰ	tʰ	0.0	4.958
u	-	1.737	4.958
u	u	1.737	4.958
u	e	2.322	4.958
u	y	2.322	4.958
w	w	0.678	4.958
w	-	2.678	4.958
w	ɥ	2.678	4.958
w	a	4.0	4.958
w_o	ə	0.0	4.958
w_ŋ	ŋ	0.0	4.958
w_ɔ	a	0.0	4.958
y	-	0.0	4.958
²¹³	⁵¹	0.0	4.958
²⁴	²¹⁴	1.0	4.958
²⁴	³⁵	1.0	4.958
²⁴²	⁵¹	0.415	4.958
²⁴²	²¹⁴	2.0	4.958
³³	²¹⁴	0.0	4.958
ø	ʊ	0.0	4.958
ø_ɥ_ʔ	u	0.0	4.958
ŋ	n	0.485	4.958
ŋ	ŋ	1.807	4.958
ɑ	a	0.0	4.958
ɑ_w	w	0.0	4.958
ɔ	-	0.0	4.958
ɔ_ʔ	ɛ	0.0	4.958
ɛ	-	1.874	4.958
ɛ	i	1.874	4.958
ɛ	ɤ	1.874	4.958
ɛ	ɛ	2.459	4.958
ɛ_j	i	0.0	4.958
ɥ	j	0.0	4.958
ɥ_o	j_ɑ	0.0	4.958
ɥ_ŋ	ŋ	0.0	4.958
ʔ	-	0.0	4.958
ʔ_²⁴	⁵⁵	0.585	4.958
ʔ_²⁴	⁵¹	1.585	4.958
ʦ	ʦ	0.485	4.958
ʦ	ʨʰ	1.807	4.958
ʦ_j	ʈ͡ʂ	0.0	4.958
ʦʰ	ʈ͡ʂʰ	1.0	4.958
ʦʰ	ʦʰ	1.737	4.958
ʦʰ	ʨʰ	2.322	4.958
⁵	⁵¹	0.0	4.958
⁵³	³⁵	0.0	4.958
⁵⁵	⁵⁵	0.0	4.958
