Gan	Shanghainese	probability
⁴²	⁵³	1.0
ʨʰ_ɥ	ʑ	1.0
ʦ	ʦ	1.0
ʔ	ʔ	1.0
ɵ_n	ø	1.0
ɨ_w	ɜ	1.0
ɨ	ə	1.0
ɥ	ɥ	1.0
ɛ_w	ɜ	1.0
ɛ_n	i	1.0
ɕ	ɕ	1.0
ɔ	o	1.0
¹¹	²³	1.0
²⁴	²³	1.0
²	¹²	1.0
z̩	z̩	1.0
y	y	1.0
u_²¹³	u_³⁴	1.0
t	t	1.0
pʰ	b	1.0
p	p	1.0
o	u	1.0
nʲ	nʲ	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ɛ	j	1.0
j_u	o	1.0
a_ŋ	ə_n	1.0
a_w	ɔ	1.0
a_j	e	1.0
n	n	0.882
³⁵	²³	0.875
t̚	ʔ	0.867
ŋ	ŋ	0.846
l	l	0.8
ɔ_ŋ	ɑ̃	0.75
<#	ɦ_<#	0.75
i	i	0.722
²¹³	³⁴	0.677
ʨʰ	ʨʰ	0.667
ʨ	ʨ	0.667
u	o	0.667
a_n	e	0.667
⁵	⁵⁵	0.619
ɵ	-	0.6
#>	²³_#>	0.6
ʦʰ	ʦʰ	0.583
s	s	0.583
j	-	0.583
tʰ	d	0.556
a	a	0.533
h	ɦ	0.5
h	h	0.5
tʰ	tʰ	0.444
ɛ	-	0.429
ʦʰ	z	0.417
s	z	0.417
f	f	0.417
ɵ	ɪ	0.4
#>	¹²_#>	0.4
w	ɔ	0.385
ʨʰ	ʥ	0.333
ʨ	ʦ	0.333
u	ə	0.333
a_n	ø	0.333
a	o	0.333
²¹³	²³	0.323
ɛ	ə	0.286
ɛ	o	0.286
i	j	0.278
ɔ_ŋ	ã	0.25
j	i	0.25
f	ɦ	0.25
<#	m_<#	0.25
w	ɯ	0.231
w	ɤ	0.231
l	n	0.2
⁵	¹²	0.19
j	j	0.167
f	v	0.167
f	h	0.167
ŋ	-	0.154
w	ɦ	0.154
t̚	ɪ	0.133
a	-	0.133
³⁵	³⁴	0.125
n	i	0.118
⁵	⁵	0.095
⁵	ʔ	0.095
