Phone1	Phone2	PMI
w_²²	w_³⁵	9.213
w_³³	w_⁵⁵	9.018
<#_ⁿd	<#_n	8.155
ⁿd	<#_n	7.821
a_w	ɑ_w	7.715
t	ʦ	7.49
pʰ	pʰ	7.215
ʦ	ʈ͡ʂ	7.213
p	p	7.108
s	ʂ	6.868
l	l	6.825
ʦʰ	ʈ͡ʂʰ	6.701
tʰ	ʦʰ	6.625
k	k	6.451
ɛ	ɤ	6.418
ɬ	ɕ	6.379
f	f	6.297
ᵐb	m	6.016
kʰ	ʨʰ	6.014
k	ʨ	5.912
a_ŋ	ɤ_ŋ	5.844
ɵ	ʊ	5.791
e_n	i_ŋ	5.542
tʰ	ʨʰ	5.183
k̚_³²	w_⁵¹	5.124
j_a	j_ɑ	5.106
ᵑɡ	ʐ	5.099
i	<#_i	4.974
ŋ	ŋ	4.917
i	o	4.864
³²	⁵¹	4.801
ɔ	ɔ	4.598
²	²¹⁴	4.466
²²	³⁵	4.465
<#_j_i	<#_i	4.415
ɬ	s	4.414
u	ɛ	4.404
n	n	4.374
m	n	4.278
²¹	²¹⁴	4.271
u	ɥ	4.249
³²	w_⁵¹	4.237
<#	<#_t	4.234
u	u	4.201
⁵⁵	²¹⁴	4.198
u	y	4.169
u_j	y	4.159
ɵ	u	4.14
ⁿd	n	4.094
<#_ⁿd	n	4.094
e	i	4.073
u	ə	4.067
<#_ᵐb	<#_w	4.064
³³	⁵⁵	4.059
i	j_o	3.997
w	w	3.88
<#	<#_w	3.774
ɵ	o	3.709
<#	<#_n	3.686
ɔ	ɑ	3.601
a	a	3.583
a	ɑ	3.568
w	w_⁵⁵	3.522
w	w_³⁵	3.522
²²	w_³⁵	3.467
j	<#_i	3.466
j	j	3.372
u	ɥ_ɛ	3.312
j	i	3.312
e	e	3.246
ɔ	a	3.188
h	x	3.095
³³	w_⁵⁵	3.075
j	y	3.039
m̩	u	3.016
ᵐb	<#_w	3.008
n_³³	n_⁵¹	2.994
<#	t	2.953
ⁿd_a	n_a	2.952
i	i	2.854
e	ɛ	2.843
a_w	ɑ	2.82
a_k̚	e_j	2.781
a_k̚	e	2.732
e	j_ɛ	2.708
j_a	ɑ	2.658
³³	⁵¹	2.535
<#	<#	2.528
e	o	2.52
<#	<#_i	2.446
tʰ	ʨʰ_ɥ	2.44
k̚_³²	⁵¹	2.401
i	j	2.378
w	ɑ_w	2.374
j	ɑ	2.372
j_ɛ	ɤ	2.36
j	ɻ	2.36
a	i	2.351
ŋ	ɤ_ŋ	2.154
a	e	2.112
a_k̚	j	2.095
a	ɑ_w	2.07
w_²²	³⁵	2.065
e	i_ŋ	2.053
w_³³	w	2.049
w_²²	w	2.049
a_w	w	2.049
w_³³	⁵⁵	2.033
<#_j_i	i	1.961
e_n	i	1.947
a_ŋ	ɤ	1.937
e_j	i	1.86
v	x	1.849
a_j	i	1.818
a	ɤ	1.815
w	ɑ	1.796
a	ɤ_ŋ	1.722
w	a	1.585
j	j_ɑ	1.584
a	j_ɑ	1.57
e	j	1.471
e	ɤ	1.468
j	ɤ	1.41
a	j	1.408
h_w	kʰ	1.405
k̚	w_⁵¹	1.375
e	ɻ	1.36
i	ə	1.349
n	i_ŋ	1.25
ɔ_j	j	1.246
a_ŋ	ŋ	1.215
ɔ	j	1.209
a_t̚	a	1.177
v	x_w	1.086
v_ɔ	w_ɑ	1.029
e_n	ŋ	1.023
ⁿd	n_a	1.018
a	e_j	0.967
t̚_⁵⁵	⁵⁵	0.943
f	kʰ	0.889
#>	#>	0.841
⁵⁵	⁵⁵	0.748
n	ŋ	0.718
a	w	0.693
ŋ	ɤ	0.674
u_t̚	ɥ	0.605
e_j	ɻ	0.565
v	w	0.539
h	tʰ	0.539
ᵑɡ_e	ɤ	0.534
ɔ	w	0.498
j_a	j	0.49
u_t̚	ɛ	0.457
h	ʨʰ	0.446
a_k̚	a_j	0.353
n	n_⁵¹	0.286
u	z̩	0.281
ɔ	w_ɑ	0.271
⁵⁵	³⁵	0.261
a	n_a	0.252
<#_ᵐb	w	0.232
<#_ⁿd	<#	0.128
<#_ᵑɡ	<#	0.128
<#_ᵐb	<#	0.128
w	kʰ	0.124
v_ɔ	ɑ	0.094
³³	n_⁵¹	0.046
n_³³	⁵¹	0.028
<#	i	-0.008
e	ŋ	-0.039
<#	w	-0.058
ⁿd_a	a	-0.06
a_k̚	a	-0.06
j_a	i	-0.124
w_ɔ	a	-0.137
n_³³	n	-0.144
k̚_⁵⁵	³⁵	-0.144
ᵑɡ	ɤ	-0.19
ⁿd	<#	-0.205
k̚	e	-0.241
k̚	j	-0.243
a	a_j	-0.351
v_ɔ	w	-0.353
n	i	-0.37
<#	n	-0.375
ⁿd_a	n	-0.377
u_t̚	ɥ_ɛ	-0.443
a	ŋ	-0.465
h	kʰ	-0.468
v	w_ɑ	-0.505
⁵⁵_#>	#>	-0.759
k̚	e_j	-0.771
ᵐb	w	-0.825
ᵑɡ	<#	-0.928
ᵐb	<#	-0.928
v	ɑ	-1.023
k̚	ɔ	-1.119
k̚	w	-1.184
a	n	-1.474
k̚	a	-1.709
i	<#	-1.757
⁵⁵	#>	-1.759
k̚	a_j	-1.776
t̚	ɥ_ɛ	-1.945
k̚_³²	w	-2.236
<#_j_i	<#	-2.316
j	<#	-2.998
ⁿd	a	-3.573
³³	n	-inf
t̚	⁵⁵	-inf
t̚	ɥ	-inf
t̚	ɛ	-inf
t̚	a	-inf
tʰ	ɥ	-inf
n	⁵¹	-inf
k̚	³⁵	-inf
