Phone1	Phone2	Surprisal	OOV_Smoothed
#>	¹_#>	0.0	5.019
<#_ŋ	<#	1.0	5.019
<#_ŋ	<#_ɲ	1.0	5.019
<#_ɦ	<#	0.0	5.019
<#_ʔ	<#	0.0	5.019
a	a	0.0	5.019
b	f	0.737	5.019
b	pʰ	1.322	5.019
d	tʰ	0.0	5.019
e	a	0.652	5.019
e	j_a	1.459	5.019
e_i	i	0.0	5.019
h	h	0.585	5.019
h	-	1.585	5.019
i	j	0.585	5.019
i	-	2.433	5.019
i	i	2.755	5.019
i_e	a	0.0	5.019
i_u	u	0.0	5.019
i_ɪ	i	0.0	5.019
k	k	0.585	5.019
k	c	1.585	5.019
kʰ	-	1.0	5.019
kʰ	kʰ	1.0	5.019
k̚	k̚	0.7	5.019
k̚	t̚	2.115	5.019
k̚	k̚_⁵	2.7	5.019
l	l	0.0	5.019
m	m	0.0	5.019
m_ɨ	ʋ	0.0	5.019
mˠ	m	0.0	5.019
n	n	0.0	5.019
n_ʌ	n_a	0.0	5.019
o	-	0.0	5.019
p	p	0.585	5.019
p	f	1.585	5.019
pʰˠ	pʰ	0.0	5.019
pˠ	p	0.0	5.019
s	ɕ	0.0	5.019
t	t	0.0	5.019
tʰ	tʰ	0.0	5.019
t̚	t̚	0.459	5.019
t̚	t̚_⁵	1.874	5.019
u	-	2.0	5.019
u	u	2.0	5.019
u	w	2.0	5.019
u	ʊ	2.0	5.019
u_ɑ	o	0.0	5.019
u_ɛ	ɛ	0.0	5.019
u_˦	w_¹¹	0.0	5.019
w	f	1.0	5.019
w	j	1.0	5.019
w_ɑ	ɔ	0.0	5.019
æ	a	0.0	5.019
ŋ	ŋ	0.103	5.019
ŋ	n	3.858	5.019
ȵ	ɲ	0.0	5.019
ɐ	a	0.0	5.019
ɑ	ɔ	0.807	5.019
ɑ	a	2.222	5.019
ɑ	o	2.222	5.019
ɑ_u	a_w	0.0	5.019
ɕ	s	0.0	5.019
ɖ	ʦʰ	0.0	5.019
ə	ɛ	1.0	5.019
ə	e	1.737	5.019
ə	-	2.322	5.019
ɛ	a	0.0	5.019
ɡ	cʰ	0.0	5.019
ɦ	f	1.415	5.019
ɦ	ʋ	1.415	5.019
ɦ	h	2.0	5.019
ɨ	j	1.263	5.019
ɨ	z̩	2.0	5.019
ɨ	-	2.585	5.019
ɨ	i	2.585	5.019
ɨ_o	j_ʊ	0.737	5.019
ɨ_o	i	1.322	5.019
ɨ_u	u	0.874	5.019
ɨ_u	ʊ	1.138	5.019
ɨ_ɐ	ɔ	0.0	5.019
ɨ_ʌ	ç_i	0.0	5.019
ɪ	-	0.0	5.019
ʈ	t	0.0	5.019
ʉ	j	0.0	5.019
ʉ_ɐ	ɔ	0.585	5.019
ʉ_ɐ	a	1.585	5.019
ʌ	o	0.485	5.019
ʌ	a	1.807	5.019
ʥ	s	0.0	5.019
ʦ	ʦ	0.0	5.019
ʦʰ	ʦʰ	0.737	5.019
ʦʰ	ʨʰ	1.322	5.019
ʨʰ	ʦʰ	0.0	5.019
˥˩	⁵³	0.0	5.019
˦	¹¹	1.022	5.019
˦	⁴⁴	1.115	5.019
˦	⁵³	4.437	5.019
˧˥	³¹	0.401	5.019
˧˥	⁴⁴	2.459	5.019
˧˥	⁵³	4.044	5.019
