Min Bei	Min Bei	probability
ʦ	ʦ	1.0
ɥ_ŋ	ŋ	1.0
œ	-	1.0
ŋ_³³	⁵⁵	1.0
y_ɛ	w_e	1.0
x	h	1.0
w_a_ŋ	ŋ̍	1.0
u_j	ũ	1.0
tʰ	tʰ	1.0
t	t	1.0
pʰ	p	1.0
p	p	1.0
o	w_e	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_u	i_w	1.0
j_a	j	1.0
i_ŋ	ĩ	1.0
a_ŋ	a_m	1.0
a_w	o	1.0
a_j	o_j	1.0
<#_ʦ	<#	1.0
<#_ŋ	<#_ɡ	1.0
⁵⁴	³³	0.968
ʦʰ	ʦʰ	0.9
j_ŋ	ŋ	0.846
³³	⁵⁵	0.786
ŋ	ŋ	0.741
⁴²	⁴	0.727
s	s	0.692
²¹	⁵²	0.676
⁵⁵	¹¹	0.6
i	i	0.6
<#_w	<#_w	0.6
<#	<#_h	0.6
ɔ	a	0.5
w	w	0.5
u	u	0.5
m	m	0.5
m	b	0.5
j	j	0.5
j	-	0.5
e	i	0.444
²⁴	²	0.438
a	e	0.4
a	a	0.4
<#_w	<#	0.4
<#	<#_ʦ	0.4
²⁴	k̚_²	0.375
n	ʣ	0.375
n	n	0.375
y	u	0.333
e	a_w	0.333
ɛ	a	0.312
u	o_w	0.3
²¹	⁵⁵	0.294
y	-	0.278
⁴²	³⁵	0.273
⁵⁵	³⁵	0.267
w	e	0.25
w	a	0.25
n	l	0.25
e	ĩ	0.222
³³	²¹³	0.214
ɔ	ɯ	0.2
u	o	0.2
a	e_ʔ	0.2
ɛ	j	0.188
ɛ	a_j	0.188
ɛ	-	0.188
²⁴	ʔ_²	0.188
y	w	0.167
s	ʦʰ	0.154
s	ʦ	0.154
j_ŋ	ã	0.154
ɔ	u	0.15
ɔ	o_ʔ	0.15
ŋ	ã	0.148
⁵⁵	-	0.133
i	j	0.133
i	i_k̚	0.133
i	a_j	0.133
ɛ	e_k̚	0.125
ŋ	m	0.111
y	o	0.111
y	e_k̚	0.111
ʦʰ	ʨʰ	0.1
