Phone1	Phone2	PMI
a_n	a_m	8.355
a_j	a_j	8.304
ə_w	a_w	7.976
m	<#_m	7.725
tʰ	tʰ	6.821
z	ʣ	6.711
<#_i	<#_i	6.294
kʰ	kʰ	6.131
t	t	6.131
p	p	5.96
ʦʰ	ʦʰ	5.913
ɕ	s	5.883
k	k	5.806
ʦ	ʦ	5.616
<#_n	l	5.545
s	s	5.505
m	m	5.495
i	<#_i	5.237
²¹³	²¹³	5.219
nʲ	n	5.171
ʨʰ	kʰ	5.031
j	j	5.018
ʨ	k	4.999
s	ʦ	4.842
⁵³	⁵²	4.807
ə_n	u_ŋ	4.785
ə	u	4.461
i	i	4.441
ŋ	ŋ	4.424
⁵³	³⁵	4.424
u	o	4.415
ʦ	t	4.384
f	p	4.303
a_n	u_ŋ	3.947
w	w	3.945
u	o_w	3.917
a	ɯ	3.872
i	ẽ	3.714
²¹³	¹¹	3.685
ɛ	e	3.609
<#_i	i	3.563
<#_w	<#_m	3.434
o	a	3.408
<#	<#_m	3.324
o	o	3.32
x	h	3.314
²¹	²	3.255
u	w	3.228
⁵⁵	³³	3.197
ə	a_w	3.195
u	a_k̚	3.189
n	l	3.188
a	a	3.06
j	a_j	3.022
n	ŋ	3.016
⁵³_#>	³⁵_#>	2.967
m	b	2.937
i	j	2.922
ə	a	2.905
ə	w	2.891
f	h	2.86
ɛ	e_ʔ	2.779
a	e	2.676
²¹	⁴	2.627
<#	<#	2.544
⁵³_#>	³⁵	2.538
ɛ	a	2.353
u	a	2.351
²¹	⁵⁵	2.334
z̩	i	2.324
n	m	2.309
i_n	ẽ	2.304
w	o	2.293
w_a	w_a	2.227
<#	l	2.175
i	u	2.163
a	a_m	2.081
⁵³	³⁵_#>	1.937
pʰ	p	1.936
<#_w	m	1.902
n	ã	1.89
a	o	1.889
a	j	1.876
w	a_w	1.875
n	a_m	1.851
w	ɯ	1.841
<#	<#_i	1.812
j	a	1.804
ɚ	i	1.626
a_n	m	1.614
f	h_w	1.548
a_j	j	1.525
n	n	1.447
a	a_j	1.414
o	o_ʔ	1.406
n	ẽ	1.404
ʨʰ	ʦʰ	1.397
ə	u_ŋ	1.375
w	<#_m	1.348
w	a	1.347
i	u_j	1.277
ʦʰ	t	1.259
i	o	1.245
ə_w	w	1.213
#>	³⁵_#>	1.117
<#	m	1.095
a_w	o	1.05
a	u	0.961
w_a	ɯ	0.942
#>	#>	0.848
a	ũ	0.837
ɛ	w	0.785
ɛ	e_k̚	0.77
n	u_ŋ	0.763
ə_n	u	0.73
#>	³⁵	0.689
w	u	0.616
ɚ	ʣ_i	0.55
w	e	0.533
a_j	a	0.511
i	o_j	0.509
ə_w	a	0.486
a	w	0.153
ɛ	w_a	0.013
a_n	u	-0.035
a_n	a	-0.067
²¹	k̚_²	-0.071
ə	ŋ	-0.081
ə_n	ŋ	-0.109
w	m	-0.184
w_ə	u	-0.283
w	w_a	-0.301
a	u_ŋ	-0.387
a_w	e	-0.49
w_a	w	-0.587
z̩	a	-0.591
a	w_a	-0.607
ɚ	ʣ	-0.71
n_²¹	⁵⁵	-0.788
w_a	a	-0.813
a_n	ŋ	-0.893
<#	i	-0.918
f	w	-0.924
a	m	-1.01
<#_n	<#	-1.056
<#_i	<#	-1.103
<#_w	<#	-1.103
²¹	ʔ_²	-1.113
⁵³_#>	#>	-1.152
z̩	a_j	-1.194
n	u	-1.278
m	<#	-1.635
u	k̚	-1.635
ɛ	k̚	-1.77
a	ŋ	-1.809
i	<#	-2.16
⁵³	#>	-2.182
z̩	j	-2.284
n	a	-2.967
w	<#	-3.189
n	<#	-3.413
ɛ	ʔ	-inf
²¹	ʔ	-inf
²¹	k̚	-inf
n	⁵⁵	-inf
o	ʔ	-inf
