Phone1	Phone2	PMI
<#_ŋ	<#_ŋ	8.815
a_²¹	a_¹³	8.214
nʲ	nʲ	8.108
a_²¹	a_²⁴	7.948
e	e	7.667
m	m	7.58
<#_ŋ	ŋ	7.58
tʰ	tʰ	7.196
k	k	7.088
ʨ	ʨ	7.001
kʰ	kʰ	6.913
z̩	z̩	6.839
p	p	6.806
t	t	6.732
y	y	6.701
<#_n	<#_l	6.622
ɕ	ɕ	6.57
ʨʰ	ʨʰ	6.523
s	s	6.496
f	ɸ	6.449
ʦʰ	ʦʰ	6.311
ŋ	<#_ŋ	6.257
x	x	6.213
ʦ	ʦ	6.043
u	u	6.032
ɛ	ɤ	5.935
n_a	l̃_a	5.891
i	i	5.773
tʰ	t	5.531
z	ʐ	5.488
<#_n	l	5.387
o	o	5.152
ŋ	ŋ	5.022
j	j	4.958
²¹³	²¹	4.883
ə	ə	4.782
⁵³	⁴¹	4.68
²¹³	⁴⁵	4.629
w	w	4.45
pʰ	p	4.401
ʦʰ	ʦ	4.366
ɥ	ɥ	4.234
n	<#_l	4.155
ɥ	j	4.13
a	a	4.027
x	ɸ	4.016
ɚ	ɤ	4.007
a	ɒ	3.895
o	ə	3.823
²¹	¹³	3.545
ŋ	n	3.458
<#	<#_l	3.444
n	n	3.432
⁵⁵	³³	3.268
<#	<#_ŋ	3.249
²¹	²⁴	3.217
<#_j	<#_j	3.185
ɛ	ẽ	3.122
a_n	ẽ	3.092
ɚ	<#_ɤ	3.036
<#_ɚ	<#_ɤ	3.036
u	ə	2.948
n	l	2.92
a	ẽ	2.822
u	y	2.73
u	w	2.591
<#	<#	2.491
a_⁵⁵	a_³³	2.405
x_w	ɸ	2.334
n	l̃	2.273
n_a	l̃	2.266
<#	l	2.209
j	<#_j	2.155
v_u	u	2.07
n	ẽ	2.04
<#	ŋ	2.014
<#_ɚ	ɤ	1.902
u	ə_w	1.843
a	a_¹³	1.678
a	a_²⁴	1.678
<#_j	j	1.641
u	o	1.49
ɛ_n	ẽ	1.46
ʦʰ	ʨʰ	1.285
a	l̃	1.241
²¹	a_¹³	1.199
v	u	1.088
w	ɥ	1.058
²¹	a_²⁴	0.933
a_²¹	a	0.881
a	l̃_a	0.706
<#	<#_ɤ	0.404
n	l̃_a	0.297
<#	<#_j	0.284
n_a	a	0.15
ʦʰ_w	ʨʰ	0.008
a_²¹	²⁴	-0.056
a	a_³³	-0.238
a_²¹	¹³	-0.321
a_⁵⁵	a	-0.536
<#	ɤ	-0.731
⁵⁵	a_³³	-0.809
<#_ŋ	<#	-1.109
<#_n	<#	-1.109
<#_ʨʰ	<#	-1.168
<#_j	<#	-1.168
ɚ	<#	-1.169
<#_ɚ	<#	-1.169
a_⁵⁵	³³	-1.221
<#	j	-1.259
ʨʰ	<#	-1.697
w	ɸ	-1.77
j	<#	-2.197
w	ʨʰ	-2.21
n	a	-2.639
n	<#	-3.576
ŋ	<#	-3.666
⁵⁵	a	-inf
²¹	a	-inf
a	¹³	-inf
a	³³	-inf
a	²⁴	-inf
