Phone1	Phone2	PMI
<#_m	<#_m	9.907913818455965
<#_d	<#_ʥ	9.779483766494367
<#_d	<#_d	9.779483766494367
<#_p	<#_p	9.705352959382218
<#_v	<#_v	9.631222152270068
<#_ɦ	<#_ɡ	9.541511859458646
m̩	ɛ_m	9.478557749081967
f	f_#>	9.478557749081967
t_#>	t_#>	8.908465301647698
ˈr̩	ˈa_r	8.882190009914838
t_#>	ʨ_#>	8.780035249686101
o	ɔ_#>	7.965583965753148
ˈiː	j_ˈa	7.839095670933184
r_a	r_a	7.48605343059164
l_iː	w_ɨ	7.48605343059164
<#_x	<#_x	7.48605343059164
ˈɛ_d	ˈɛ_d	7.48605343059164
<#_ʃ	<#_ʂ	7.469387449415241
v_a	v_a	7.469387449415241
k_a	k_a	7.469387449415241
l_ˈou̯	w_ˈu	7.469387449415241
<#_b	<#_b	7.453433213802243
s_t	s_t	7.402765515987226
l_ˈɛː	l_ˈɛ	7.372770096296765
r_iː	r_ɨ	7.291065930351254
ˈɪ	ˈɨ	7.2854295554964414
ʦ_#>	ʦ_#>	7.274399949174856
<#_z	<#_ʑ	7.274399949174856
ˈɛ_l	ˈa_w	7.170767578283926
ɲ_#>	ɲ_#>	7.152720097258307
n_#>	ɲ_#>	7.136054116081908
k_iː	k_i	7.096078430110869
ˈo_r̝	ˈɔ_ʐ	7.0794124489344705
<#_ʧ	<#_ʈ͡ʂ	7.0794124489344705
a	a_#>	7.059805791347722
<#_z	<#_z	6.957732597017921
iː	i_#>	6.787817598171853
iː	ɨ_#>	6.547651808011071
b	b	6.515085070901752
ˈiː	ˈɨ	6.248218785455349
ˈa	ˈɛ_w̃	6.1635401327681585
s	ɕ	6.065179223879805
z	ʑ_ˈɔ	5.823179359812101
ˈuː	ˈu	5.754766299624734
d	d	5.676221923787017
n	n	5.326083599309726
m	m_j	5.322821771762491
k	k	5.166161409194163
v	v	4.991175200227909
r	r	4.987550253586204
r̝	ʐ	4.758805506583394
ˈiː_t_#>	ʨ	4.74431368495532
ɛ	ɛ_ɲ	4.475259147639907
l	l	4.450499319049305
r̝̊	ʂ	4.400271123086789
ˈu	ˈɔ	4.3997401217625836
l	w	4.264618687475424
ˈɛ	ˈɛ_ɲ	4.168076932534154
n_iː	n_ɨ	4.068382930822654
ɦ	ɡ	4.00028612868643
ʦ	ʦ	3.941735135972617
p	p	3.934222311870084
d_a	d_a	3.913371116553307
ˈɛ	ˈɛ	3.8555036210458384
ɛ_t	ɛ_ʨ	3.825692981275376
ʃ	ʂ	3.7842721542351394
ˈo	ˈu	3.7798258905050863
r̝_ˈɛ	ʐ_ˈɛ	3.751003833102319
l_o	w_ɔ	3.751003833102319
ʦ_ɛ	ʦ_ɛ	3.751003833102319
x_iː	x_ɨ	3.7350495974893207
ɛ_k	ɛ_k	3.7350495974893207
n_a	n_a	3.7350495974893207
ˈu_x	ˈu_x	3.7183836163129222
ˈɛ_v	ˈɛ_v	3.7183836163129222
ˈo	ˈɔ	3.643049989602276
r_ˈaː	r_ˈu	3.630705481034991
ɛ	ɛ	3.5881331984592535
c	ʨ	3.5385227433915
ɛ_#>	ɛ_#>	3.4727284182575198
l_#>	l_#>	3.385050282979589
t	t	3.3725240078202376
<#_s	<#_ɕ	3.34507459700855
j	j	3.2937589234355396
p	m_p	3.22905307270226
v_j	v_j	3.0683829308226542
x_#>	k_#>	3.0683829308226542
<#_t	<#_ʨ	2.9770278014731986
ʃ	w̃_ʂ	2.934212145175572
b	b_j	2.925042615833037
j_ˈɛ	j_ˈa	2.873395430582269
z	w̃_z	2.8373644805551055
ʦ	ʦ_#>	2.8072715505285952
ˈr̩	ˈɛ_r	2.749686345277174
j_ˈɛ	j_ˈɛ	2.627740232526867
n	ɲ	2.6026732933800827
ˈuː	ˈɔ	2.385499004986143
z	z	2.2711012206996353
ɪ_k	k	2.079806577213161
<#_n	<#_n	11.2747359744041
l_#>	w_#>	11.147795379757124
<#_ʒ	<#_ʐ	11.009449546664177
<#_l	<#_l	10.851472483886706
<#_j	<#_j	10.834093276108314
ˈɛ_s	ˈɛ_ɕ	10.794830816739267
<#_t	<#_t	10.783425578293297
<#_c	<#_ʨ	10.625448515515828
s_#>	s_#>	10.481128713090458
<#_s	<#_s	10.317177680980567
<#_r	<#_r	10.311746411867016
k_#>	k_#>	10.11067501010789
<#_ˈo	<#_ˈɔ	10.097127681942109
l_ˈa	w_ˈɔ	10.091153712609687
<#_k	<#_k	10.049158821426651
x	x	1.9747783248292166
ɛ	j_ɛ	1.9544414540752741
ˈɛ	ˈa	1.8429432628853972
ˈaː	ˈa	1.822241370401218
ˈa	ˈa	1.7860189729551479
v	f	1.784681020531939
ɲ	j	1.7662434964230493
ɪ	ɨ	1.7078638884094735
s	s	1.626941497076148
ˈɛ	j_ˈɛ	1.5264025458412844
n	ɛ	1.5009688158367664
m	m	1.4928178012619202
t	ʨ	1.3958305531938706
x	k	1.3327785186438088
ˈo	ɔ	1.1218121497436802
