Kashubian	Proto-Slavic	probability
ˈə	i	1.0
ˈi	ǐ	1.0
ˈe	-	1.0
ˈa_ŋ	ẽ̂ː	1.0
ʤ	ɡ	1.0
ʣ	d	1.0
ʒ	ʒ	1.0
ʐ	r	1.0
ʃ	ʒ_ĭ	1.0
ʂ	r	1.0
ɲ	n_ĭ	1.0
ɡ	ɡ	1.0
ə	ĭ	1.0
ɔ	o	1.0
ŋ	ẽ	1.0
z	z	1.0
x	x	1.0
v	v	1.0
u̯ɛ	o	1.0
u	-	1.0
s	s	1.0
m	m	1.0
l	l	1.0
j_ˈa	ɛˀ	1.0
f	v	1.0
e	ɛ	1.0
d	d	1.0
b	b	1.0
a_ŋ	ẽ	1.0
<#_ʦ	<#_t	1.0
<#_w	<#	1.0
<#_s	<#_s	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#	<#_s	1.0
r	r	0.909
k	k	0.769
p	p	0.765
a	ǎ	0.765
w	l	0.739
n	n	0.733
ʧ	ʧ	0.714
ɛ	e	0.714
ˈu	-	0.6
t	t	0.588
i	ŭ	0.583
ˈa	ɛ̂ː	0.571
#>	ŭ_#>	0.538
ʦ	t_ĭ	0.5
j	-	0.5
#>	ĭ_#>	0.462
ˈa	-	0.429
i	j	0.417
ˈu	ô	0.4
u̯ˈɛ	ô	0.385
u̯ˈɛ	o	0.385
ˈɛ	ê	0.375
ˈɛ	-	0.375
ʦ	t_i	0.333
ˈɔ	l	0.286
ʧ	k	0.286
ɛ	-	0.286
n	n_ŭ	0.267
ˈɛ	ĭ̌	0.25
t	t_ŭ	0.235
p	b	0.235
a	a	0.235
u̯ˈɛ	ǒ	0.231
k	ɡ	0.231
j	e	0.222
ˈɞ	ĭ̂	0.2
ˈɞ	aˀ	0.2
ˈɞ	-	0.2
t	d_ŭ	0.176
ʦ	ʦ	0.167
j	ɛː	0.167
ˈɔ	ǒ	0.143
ˈɔ	ôː	0.143
ˈɔ	o	0.143
ˈɔ	ě	0.143
ˈɔ	e	0.143
ˈɞ	l	0.133
ˈɞ	ĭ̌	0.133
ˈɞ	ĭˀ	0.133
w	ôː	0.13
w	l_ŭ	0.13
j	ɛ̌ː	0.111
r	r_ŭ	0.091
