Phone1	Phone2	PMI
<#_u̯ˈɛ	<#_ɐ	11.422
t_#>	t_#>	10.863
<#_d	<#_d	10.812
<#_p	<#_pʲ	10.66
l_#>	lʲ_#>	10.617
<#_ʒ	<#_ʐ	10.617
<#_z	<#_zʲ	10.284
s_#>	s_#>	10.089
k_#>	k_#>	9.976
<#_s	<#_s	9.947
<#_m	<#_mʲ	9.89
<#_m	<#_m	9.89
<#_r	<#_r	9.812
<#_v	<#_vʲ	9.76
<#_l	<#_lʲ	9.705
<#_k	<#_k	9.664
<#_ɡ	<#_ɡ	9.638
ɔ_#>	ə_#>	8.931
i_#>	j_#>	8.926
ʦ_#>	tʲ_#>	8.85
a_#>	ˈa_#>	8.542
<#_j	<#_j	7.492
<#_ʣ	<#_dʲ	7.454
<#_ʦ	<#_tʲ	7.232
<#_n	<#_n	7.215
u̯ˈɛ_s	ˈo_sʲ	7.215
p_#>	p_#>	7.15
<#_ʧ	<#_ʨ	7.02
ʃ	ʂ	6.966
ɲ_#>	nʲ_#>	6.926
w_ˈɔ	ɫ	6.795
ˈɞ_w	ˈo_ɫ	6.624
j_ˈɛ	ˈe	6.458
<#_s	<#_sʲ	6.4
<#_v	<#_v	6.131
<#_z	<#_z	6.094
d	d	6.084
t	t	5.93
n	n_ɨ	5.909
w	ɫ_ɨ	5.387
#>	e_#>	5.377
ˈɛ_s	sʲ	4.946
r	r	4.88
x	x	4.777
p	p	4.774
ˈõ	ˈu	4.767
z	z	4.43
j_ˈa	ˈe	4.346
s	sʲ	4.19
ˈə	ˈɨ	4.108
ˈu	ˈo	4.023
j_ˈɞ	ɪ	3.968
#>	ə_#>	3.88
ɡ	ɡ	3.808
v	v	3.742
n_ˈɔ	n_ˈo	3.736
m_ə_#>	mʲ_#>	3.715
u̯ˈɛ	ɐ	3.691
ˈə	ˈi	3.681
ˈɛ_r	ˈe_r	3.662
k_a	k_ˈa	3.662
l	lʲ	3.626
<#_p	<#_p	3.504
r_a	r_ˈa	3.467
<#_x	<#_x	3.402
<#_t	<#_t	3.402
ˈa_t	ˈe_t	3.402
ˈe	ˈe	3.383
ˈa	ˈe	3.314
ˈɛ	ˈe	3.305
ˈɛ	ˈo	3.225
<#	<#_ʦ	3.209
<#	<#_ʨ	3.17
ˈɔ	ˈo	3.104
ŋ_ʦ_#>	tʲ_#>	3.09
w	ɫ	3.063
v	vʲ	2.982
v	ɐ_v	2.827
j	ɪ	2.747
ʧ	kʲ_ɪ	2.701
ʐ_ˈe	rʲ	2.616
s	sʲ_ɪ	2.574
m_ə	mʲ	2.541
m_j	mʲ	2.541
ŋ_z	z	2.526
i	ɨ_j	2.504
ˈɔ_n	n	2.421
ʦ	ʦ	2.4
f_j	vʲ	2.31
a_#>	ə_#>	2.241
w	ˈo_ɫ	2.209
ˈa_ŋ	ˈa	2.087
ˈa_r	r	2.084
ʂ	rʲ	2.083
k	k	1.849
u̯ɛ	ə	1.705
ʦ	tʲ	1.697
ɛ	ˈe	1.598
s	s	1.547
e	ɪ	1.521
a	ə	1.48
ˈa	ˈa	1.371
