Phone1	Phone2	Surprisal	OOV_Smoothed
#>	ĭ_#>	1.556	5.185
#>	ŭ_j_ĭ_#>	1.737	5.185
#>	ŭ_#>	1.837	5.185
#>	t_i_#>	4.644	5.185
#>	t_ĭ_#>	4.644	5.185
<#	<#_x	1.222	5.185
<#	<#_ô	1.807	5.185
<#	<#_s	1.807	5.185
<#_d	<#_d	0.0	5.185
<#_k	<#_k	0.0	5.185
<#_l	<#_l	0.0	5.185
<#_n	<#_n	0.0	5.185
<#_r	<#_r	0.0	5.185
<#_s	<#_s	0.0	5.185
<#_t	<#_t	0.0	5.185
<#_v	<#_v	0.0	5.185
<#_ˈo	<#_ǒ	0.0	5.185
a	ǎ	0.823	5.185
a	a	1.939	5.185
a	-	2.524	5.185
b	b	0.0	5.185
d	d	0.0	5.185
f	v	1.0	5.185
f	v_ŭ	1.0	5.185
k	k	0.541	5.185
k	ɡ_ŭ	1.678	5.185
l	l	0.0	5.185
m	m	0.0	5.185
m_#>	ĭ_#>	0.0	5.185
n	n	0.0	5.185
o_#>	o_#>	0.0	5.185
p	p	0.263	5.185
p	b	2.585	5.185
p_#>	b_ŭ_#>	0.0	5.185
r	r	0.0	5.185
r_ˈa	r	0.0	5.185
s	s	0.0	5.185
t	t	0.212	5.185
t	d_ŭ	2.874	5.185
u	m	0.0	5.185
v	v	0.0	5.185
z	z	0.0	5.185
ɛ	e	1.138	5.185
ɛ	ẽ	1.459	5.185
ɛ	ɛː	2.459	5.185
ɛ_#>	t_i_#>	0.0	5.185
ɡ	ɡ	0.0	5.185
ɫ	l	0.0	5.185
ɫ_#>	l_ŭ_#>	0.0	5.185
ɫ_ˈa	ôː_l	0.0	5.185
ʒ	ʒ	0.0	5.185
ʦ	ʦ	0.0	5.185
ʧ	ʧ	0.0	5.185
ˈi	i	0.737	5.185
ˈi	ǐ	1.322	5.185
ˈo	o	1.893	5.185
ˈo	ô	1.893	5.185
ˈo	ǒ	2.379	5.185
ˈo	ôː	3.115	5.185
ˈo	ĭˀ	3.7	5.185
ˈo	ĭ̂	3.7	5.185
ˈr̩	r	0.848	5.185
ˈr̩	ĭ̂_r	2.17	5.185
ˈr̩	r_ŭ̂	2.17	5.185
ˈu	ûː	0.0	5.185
ˈɛ	e	1.637	5.185
ˈɛ	ê	2.485	5.185
ˈɛ	ɛ̂ː	2.807	5.185
ˈɛ	ɛˀ	3.222	5.185
ˈɛ	ɛː	3.222	5.185
ˈɛ	ẽ̂ː	3.807	5.185
ˈɛ	ɛ̌	3.807	5.185
