Polish	Slovenian	probability
ˈi	ìː	1.0
ʨ	t	1.0
ʥ	d	1.0
ʑ	z	1.0
ʈ͡ʂ	ʧ	1.0
ʂ	ʃ	1.0
ɲ_ʨ	t	1.0
ɲ_#>	n_#>	1.0
ɲ	n	1.0
ɨ_#>	#>	1.0
ɨ	i	1.0
ɡ_ˈɔ	ɡ_ɔ	1.0
ɡ	ɡ	1.0
ɛ_ɲ	éː	1.0
ɕ	s	1.0
z	z	1.0
x	x	1.0
w̃	-	1.0
w_ɨ	w	1.0
v_j	ʋ	1.0
v	ʋ	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n	n	1.0
m_#>	m_#>	1.0
k_i	k	1.0
k	k	1.0
j_ˈa	èː	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ʨ	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
m	m	0.857
l	l	0.727
w	l	0.688
ʦ	ʦ	0.667
ʐ	r	0.667
ˈu	óː	0.6
j_ˈɛ	ə́	0.6
j	j	0.571
ɔ	ɔ	0.5
ɔ	óː	0.5
ɛ	ɛ	0.438
j	-	0.429
ˈu	úː	0.4
j_ˈɛ	éː	0.4
ʦ	ʧ	0.333
ʐ	ʒ	0.333
ɛ	ə	0.312
w	w	0.312
ˈɔ	óː	0.304
ˈa	éː	0.286
l	w	0.273
ˈɛ	ɛ̀ː	0.263
ɛ	éː	0.25
ˈɔ	ɔ̀ː	0.217
ˈa	èː	0.214
ˈa	àː	0.214
ˈɛ	éː	0.211
ˈɛ	èː	0.211
ˈɛ	e	0.211
ˈa	ə̀	0.143
ˈa	á	0.143
m	-	0.143
ˈɔ	òː	0.13
ˈɔ	o	0.13
ˈɔ	áː	0.13
ˈɛ	-	0.105
ˈɔ	àː	0.087
