Phone1	Phone2	Surprisal	OOV_Smoothed
#>	j_#>	0.0	5.159
<#	<#_j	1.585	5.159
<#	<#_w	1.585	5.159
<#	<#_zʲ	1.585	5.159
<#_b	<#_b	0.0	5.159
<#_d	<#_d	0.0	5.159
<#_k	<#_k	0.263	5.159
<#_k	<#_kʲ	2.585	5.159
<#_l	<#_lʲ	0.737	5.159
<#_l	<#_ɫ	1.322	5.159
<#_m	<#_m	0.0	5.159
<#_n	<#_nʲ	0.737	5.159
<#_n	<#_n	1.322	5.159
<#_p	<#_p	0.0	5.159
<#_r	<#_r	0.0	5.159
<#_s	<#_s	0.363	5.159
<#_s	<#_sʲ	2.17	5.159
<#_t	<#_t	0.459	5.159
<#_t	<#_tʲ	1.874	5.159
<#_v	<#_ʋ	1.0	5.159
<#_v	<#_w	1.737	5.159
<#_v	<#_ʋʲ	2.322	5.159
<#_x	<#_x	0.0	5.159
<#_z	<#_z	0.0	5.159
<#_ɡ	<#_ɦ	0.0	5.159
<#_ʒ	<#_ʒ	0.0	5.159
<#_ʧ	<#_ʧ	0.0	5.159
a_#>	ɐ_#>	0.0	5.159
aˀ	ˈɑ	0.737	5.159
aˀ	ɐ	1.322	5.159
ǎ_#>	ˈɑ_#>	0.0	5.159
b	b	0.678	5.159
b	bʲ	1.415	5.159
d	d	0.0	5.159
d_ŭ	d	0.0	5.159
e	ɛ	1.415	5.159
e	e	2.415	5.159
e	ɔ	2.415	5.159
e	i	3.0	5.159
e	ɔ_ɫ	3.0	5.159
e_#>	#>	0.0	5.159
ê	ˈɔ	1.0	5.159
ê	ˈɛ	1.0	5.159
ẽ	ɐ	0.0	5.159
ẽ̂ː	j_ˈɑ	0.0	5.159
ě	ˈɛ	0.0	5.159
i	ˈɪ	0.0	5.159
i_#>	e_#>	0.585	5.159
i_#>	ˈɪ_#>	1.585	5.159
ĭ	-	0.628	5.159
ĭ	nʲ	2.087	5.159
ĭ	ʧ	3.087	5.159
ĭ_ʦ	ʦ_ɛ	0.0	5.159
ĭˀ_l	ˈɔ_ʋ	0.0	5.159
ĭ̂_l	ˈɔ_ʍ	0.0	5.159
ĭ̂_r	r	0.0	5.159
ĭ̌	ˈɛ	0.737	5.159
ĭ̌	ˈɔ	1.322	5.159
ǐ	ˈɪ	0.0	5.159
j_ĭ_#>	j_#>	0.0	5.159
k	k	0.0	5.159
k_ŭ_#>	k_#>	0.0	5.159
l	ɫ	0.524	5.159
l	lʲ	2.524	5.159
l	ɫ_ɔ	2.939	5.159
l_ǎ_#>	ˈa_#>	0.0	5.159
l_ĭ_#>	lʲ_#>	0.0	5.159
l_ŭ	ɫ_e	0.0	5.159
m	m	0.0	5.159
n	n	0.0	5.159
n_ŭ	n_e	0.0	5.159
o	ɔ	0.0	5.159
o_#>	ɔ_#>	0.0	5.159
o_d	ɔ_d	0.0	5.159
ô	ˈɔ	0.848	5.159
ô	ˈi	1.17	5.159
ô_<#	<#	0.0	5.159
ôː	ˈɔ	1.222	5.159
ôː	ɔ	1.807	5.159
ôː	ˈi	1.807	5.159
õː	ʊ	0.0	5.159
ǒ	ɔ	1.0	5.159
ǒ	ˈi	1.0	5.159
ǒ_#>	ˈɔ_#>	0.0	5.159
p	pʲ	0.737	5.159
p	p	1.322	5.159
r	r	0.737	5.159
r	r_ˈɔ	2.322	5.159
r	ˈɛ_r	3.059	5.159
r	rʲ_ˈi	3.644	5.159
r_ŭ	r	0.0	5.159
r_ɛː	rʲ_i	0.0	5.159
s	s	0.29	5.159
s	sʲ	2.459	5.159
s_ŭ_#>	s_#>	0.0	5.159
t	t	0.0	5.159
t_ĭ_#>	tʲ_#>	0.0	5.159
t_ŭ_#>	t_#>	0.0	5.159
ûː	ʊ	0.0	5.159
ŭ	e	1.0	5.159
ŭ	-	2.415	5.159
ŭ	ˈɪ	2.415	5.159
ŭ	ɔ	3.0	5.159
ŭ_#>	#>	0.322	5.159
ŭ_#>	j_#>	2.322	5.159
ŭ̂	-	0.0	5.159
ŭ̂_v	w	0.0	5.159
v	ʋ	0.29	5.159
v	ʋʲ_ˈi	2.459	5.159
v_ɛː	ʋʲ	0.0	5.159
v_ɛ̂ː	ʋʲ_ˈi	0.0	5.159
x	x	0.0	5.159
z	z	0.0	5.159
ɛˀ	ˈi	0.0	5.159
ɛ̂ː	ˈi	0.0	5.159
ɛ̌	-	1.0	5.159
ɛ̌	ˈi	1.0	5.159
ɛ̌ː	ˈi	0.0	5.159
ɡ	ɦ	0.0	5.159
ɡ_ŭ_#>	ɦ_#>	0.0	5.159
ɨˀ	ˈɪ	0.0	5.159
ɨ̌	ˈɪ	0.0	5.159
ʎ	lʲ	0.0	5.159
ʒ	ʒ	0.0	5.159
