Russian	Lower Sorbian	probability
ˈɨ	ˈɨ	1.0
ˈu	ˈu	1.0
ˈo_ɫ	w	1.0
ˈo_sʲ	ˈɛ_s	1.0
ˈe_sʲ	ˈa_s	1.0
ʐ	ʐ	1.0
ʊ	ˈu	1.0
ʂ	ʂ	1.0
ɫ_ɨ	w	1.0
ɪ_z	ˈɪ_z	1.0
ɪ_j	i	1.0
ɨ_j	ɨ	1.0
ɡ_ɐ	ɡ_ˈɛ	1.0
ɐ_r	r	1.0
zʲ	z	1.0
z	z	1.0
vʲ	vʲ	1.0
v	v	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
m	m	1.0
lʲ	l	1.0
kʲ	kʲ	1.0
k	k	1.0
dʲ	ʑ	1.0
d	d	1.0
bʲ	bʲ	1.0
<#_v	<#	1.0
tʲ	ɕ	0.85
r	r	0.824
ɡ	ɡ	0.8
rʲ	rʲ	0.8
ˈi	ˈi	0.714
ʨ	ʦ	0.714
pʲ	pʲ	0.714
mʲ	mʲ	0.714
j	ɨ	0.714
ˈɵ	ˈa	0.667
ʦ	ʦ	0.667
x	x	0.667
ˈa	a	0.6
ɫ	w	0.579
ˈe	ˈɪ	0.556
ə	ɔ	0.5
ɐ	ˈɔ	0.5
ˈo	ˈɔ	0.483
ˈɵ	ˈɔ	0.333
ʦ	k	0.333
ɪ	ˈe	0.333
x	k	0.333
ˈa	ˈa	0.3
ɐ	ˈɛ	0.3
ˈi	i	0.286
ʨ	-	0.286
pʲ	p	0.286
mʲ	m	0.286
j	j	0.286
ə	a	0.273
ˈe	ˈe	0.222
ɪ	e	0.222
ɫ	l	0.211
ɡ	-	0.2
ɐ	-	0.2
rʲ	ɕ	0.2
r	ʂ	0.176
ˈo	ˈɛ	0.172
ɪ	ˈɪ	0.167
ɪ	ɛ	0.167
tʲ	ʨ	0.15
ˈo	-	0.138
ə	-	0.136
ˈe	ˈɛ	0.111
ˈe	ɛ	0.111
ɪ	s	0.111
ɫ	d_w	0.105
ɫ	-	0.105
ˈa	ˈɪ	0.1
ə	ˈɔ	0.091
ˈo	ˈe	0.069
ˈo	ˈa	0.069
ˈo	ɔ	0.069
