Phone1	Phone2	PMI
s_#>	s_#>	11.273
p_#>	b_#>	11.248
<#_ʒ	<#_ʒ	10.858
<#_x	<#_x	10.858
<#_n	<#_n	10.802
<#_l	<#_l	10.683
<#_j	<#_j	10.33
<#_ʀ	<#_r	10.104
<#_m	<#_m	10.034
<#_s	<#_s	9.954
<#_ʧ	<#_t	9.815
<#_z	<#_z	9.782
<#_d	<#_d	9.724
k_#>	k_#>	9.663
n_ɪ_#>	n_#>	9.648
<#_k	<#_k	9.511
<#_ɥ	<#_ʋ	9.459
<#_ɦ	<#_ɡ	9.416
ɔ_#>	o_#>	9.23
<#_p	<#_p	9.219
<#_β	<#_ʋ	8.724
a_#>	a_#>	8.438
ʧ_#>	t_#>	8.365
xʲ_i_#>	x_#>	7.621
ˈe_t	ê_t	7.552
β_a	ʋ_a	7.37
ˈo_s	ôː_s	7.357
n_a	n_a	7.357
x_#>	ɡ_#>	7.257
w_ɪ	êː_l	7.175
ˈe	j_ěː	6.993
<#_β	<#_ô	6.973
m_#>	m_#>	6.967
s_t	s_t	6.791
<#_t	<#_t	6.684
t_#>	d_#>	6.596
ʧ_#>	t_i_#>	6.445
ˈe	j_êː	6.414
d	d_a	6.276
ˈu	ûː	6.23
<#_ʤ	<#_d	6.165
mʲ	m	6.046
ɔ_#>	e_#>	5.933
z	z	5.929
ˈi	î	5.896
s	s_a	5.813
t_#>	t_#>	5.457
ˈa	â	5.383
ɛ	e	5.383
ɲ	n	5.37
w	l_ǎː	5.267
<#	<#_z	5.166
ʀʲ	r	5.083
β	ʋ	5.017
l	ʎ	4.61
w	l	4.499
ʀ	r	4.48
k	k	4.411
ˈɔ	ô	4.396
d	d	4.243
ˈi	îː	4.235
t	t	4.199
pʲ	p	4.16
ʀ	r̩̂ː	4.038
b	b	3.962
i	i	3.92
ˈo	ôː	3.856
w	û	3.704
ˈo_x	ôː_ɡ	3.683
n	n	3.583
kʲ_i	a_k	3.488
β_ɪ_#>	ʋ_#>	3.483
kʲ_i_#>	k_#>	3.471
ɦ	ɡ	3.38
ˈɛ_l	ě_l	3.35
ɥ_ˈe	ʋ_j	3.33
<#_β	<#_ǒ	3.289
<#_mʲ	<#_m	3.262
l	ûː	3.259
s_ʧ	s_t	3.234
ʤ	d	3.153
ɥ	ʋ	3.047
s	s	2.929
x	k_a	2.894
ʧ	t_i	2.854
xʲ_i	x	2.666
mʲ_ˈe	ê	2.666
l	l	2.485
ˈa_z	z	2.471
#>	o_#>	2.407
ˈe	ê	2.385
ˈɛ	ě	2.285
<#	<#_m	2.241
ˈo	âː	2.219
ˈe	j_ê	2.117
ˈɛ	e	2.106
e	ê	2.09
ʦ	ʦ	2.086
ˈɪ	î	2.015
ʀ	r̂ː	2.002
bʲ	b	1.951
ʃ	r	1.649
ˈɔ	ǒ	1.492
<#_ʧ	<#	1.294
t	d	1.177
ˈɔ	â	1.133
ˈe	êː	1.077
ˈɔ	ôː	1.026
<#_β	<#	0.95
