Phone1	PhonEnv	Phone2	Surprisal	OOV_Smoothed
a	<|S|#	a	0.2510849744545338	5.086403422465452
a	<|S|#	ɛ	3.712237742441739	5.086403422465452
a	<|S|#	-	4.616515856805602	5.086403422465452
a	<|S|>	a	1.6107537025518628	5.086403422465452
a	<|S|>	ɛ	2.8774697321526	5.086403422465452
a	<|S|>	-	4.4764279131773845	5.086403422465452
a	<|S|>_N	ɛ	2.069366480643079	5.086403422465452
a	<|S|>_N	a	4.733821169258354	5.086403422465452
a	<|S|>_R	-	4.080901475783075	5.086403422465452
a	<|S|>_R	a	4.780613291434216	5.086403422465452
a	F_<|S|#	ɛ	3.0745950601726744	5.086403422465452
a	F_<|S|#	a	4.981709976850593	5.086403422465452
b	#|S|<	b	1.0172806844930904	5.086403422465452
b	#|S|<_F	b	2.034561368986181	5.086403422465452
b	=|S|<_F	b	1.0172806844930902	5.086403422465452
b	>|S|<	b	0.0	5.086403422465452
b	>|S|<_F	b	1.0172806844930904	5.086403422465452
b	F_>|S|<_F	b	2.034561368986181	5.086403422465452
d	#|S|<	d	0.00607472980870374	5.086403422465452
d	#|S|<_F	d	0.002414566460114994	5.086403422465452
d	#|S|=_R	d	1.0196952509532053	5.086403422465452
d	>|S|<_F	d	0.5482373600075015	5.086403422465452
d	>|S|<_F	ɟ	4.393420413321616	5.086403422465452
d	>|S|<_R	d	2.0369759354462955	5.086403422465452
d	F_>|S|<	d	0.7747441827824639	5.086403422465452
d	F_>|S|<	ɟ	4.393420413321616	5.086403422465452
d	F_>|S|<_F	d	1.521353736177776	5.086403422465452
d	F_>|S|<_F	ɟ	4.273158314359888	5.086403422465452
f	<|S|#	f	3.0890858152358636	5.086403422465452
f	<|S|#	v_iː	4.869122737972361	5.086403422465452
f	<|S|#	x	4.869122737972361	5.086403422465452
f	>|S|#	v_iː	3.2774952234402908	5.086403422465452
f	>|S|#	f	3.717356985084972	5.086403422465452
f	>|S|#	x	4.269122737972362	5.086403422465452
f	F_>|S|#	v_iː	3.4377641879009913	5.086403422465452
f	F_>|S|#	f	3.561709771677358	5.086403422465452
f	F_>|S|#	x	4.378990456170448	5.086403422465452
i	<|S|#	ɪ	3.2178570531908086	5.086403422465452
i	<|S|>	ɪ	3.2225707474184895	5.086403422465452
i	<|S|>_N	ɪ	3.051842053479271	5.086403422465452
i	<|S|>_R	ɪ	4.780613291434216	5.086403422465452
j	#|S|<_F	j	4.069122737972362	5.086403422465452
k	#|S|<	k	0.02676503486440386	5.086403422465452
k	#|S|<_R	k	0.01062977582381283	5.086403422465452
k	>|S|#	k	0.7276310314633331	5.086403422465452
k	>|S|#	x	2.7927746926206365	5.086403422465452
k	>|S|#	ɦ	4.545788465882662	5.086403422465452
k	>|S|<	k	1.0367405441524713	5.086403422465452
k	>|S|<_F	k	1.0250105463778802	5.086403422465452
k	>|S|=	k	3.890921191270957	5.086403422465452
k	>|S|=	ɦ	4.29686399213868	5.086403422465452
k	F_>|S|#	k	0.20008945489850238	5.086403422465452
k	F_>|S|#	x	4.391944507248496	5.086403422465452
k	F_>|S|<	k	1.0250105463778802	5.086403422465452
k	F_>|S|<_F	k	1.020492812045523	5.086403422465452
k	F_>|S|=	k	4.071052771979105	5.086403422465452
l	#|S|<_F	l	0.0	5.086403422465452
l	<|S|<_F	l	0.0	5.086403422465452
l	>|S|<_F	l	1.0172806844930904	5.086403422465452
l	F_>|S|<_F	l	1.0172806844930904	5.086403422465452
m	#|S|<	m	0.28743955520488795	5.086403422465452
m	#|S|<_F	m	0.45226615554959787	5.086403422465452
m	#|S|>_R	m	2.034561368986181	5.086403422465452
m	<|S|>_R	m	3.051842053479271	5.086403422465452
m	>|S|#	m	2.034561368986181	5.086403422465452
m	F_>|S|#	m	2.034561368986181	5.086403422465452
m	F_>|S|<_F	m	3.4399431161216505	5.086403422465452
n	#|S|<	n	0.04717496477833886	5.086403422465452
n	#|S|<	n_iː	4.943425472230943	5.086403422465452
n	#|S|<_F	n	3.0583263490177464	5.086403422465452
n	<|S|#	n_iː	4.09554344517383	5.086403422465452
n	<|S|#	n	4.354756688045223	5.086403422465452
n	<|S|<_F	ɲ	4.080567711710952	5.086403422465452
n	<|S|<_F	n	5.0165158568056025	5.086403422465452
n	>|S|#	n	1.8226942889793274	5.086403422465452
n	>|S|#	n_iː	1.887356737355931	5.086403422465452
n	>|S|#	ɲ	4.473158314359887	5.086403422465452
n	>|S|>	n	3.078827969496493	5.086403422465452
n	>|S|>	n_iː	5.030593722383882	5.086403422465452
n	F_>|S|#	n	2.042648021455287	5.086403422465452
n	F_>|S|#	n_iː	2.070213959576552	5.086403422465452
n	F_>|S|#	ɲ	4.470730201785445	5.086403422465452
n	F_>|S|<	n	1.0294227399321714	5.086403422465452
n	F_>|S|<_F	n	1.0223190730117149	5.086403422465452
o	<|S|#	o	0.017289134822094144	5.086403422465452
o	<|S|#	-	5.069122737972362	5.086403422465452
o	<|S|>	o	2.7309115271000106	5.086403422465452
o	<|S|>	-	3.2218173814339055	5.086403422465452
o_k	<|S|#	k	3.051842053479271	5.086403422465452
p	#|S|<	p	1.0172806844930904	5.086403422465452
p	#|S|<_F	p	1.0172806844930904	5.086403422465452
p	#|S|<_R	p	4.069122737972362	5.086403422465452
p	#|S|=	p	4.251842053479271	5.086403422465452
p	>|S|#	p	0.0	5.086403422465452
p	>|S|<	p	0.0	5.086403422465452
p	F_>|S|#	p	1.0172806844930904	5.086403422465452
p	F_>|S|<_F	p	2.034561368986181	5.086403422465452
r	#|S|<	r	0.2612563131645278	5.086403422465452
r	#|S|<	r̝	4.331027788745499	5.086403422465452
r	#|S|<	r̝̊	5.069122737972362	5.086403422465452
r	#|S|<_F	r	0.3224478850203811	5.086403422465452
r	#|S|<_F	r̝	4.391944507248496	5.086403422465452
r	<|S|<_F	r	0.49731627865639444	5.086403422465452
