Phone1	PhonEnv	Phone2	Surprisal	OOV_Smoothed
a	<|S|#	ˈa	0.47492033792786753	5.219009151615426
a	<|S|#	ə	2.433303632014604	5.219009151615426
a	<|S|>	ˈa	1.0942996151841689	5.219009151615426
a	<|S|>	ə	3.5049281315957206	5.219009151615426
b	#|S|<	bʲ	4.193829202170637	5.219009151615426
b	#|S|<	b	4.9752073212923404	5.219009151615426
b	#|S|<_F	bʲ	4.182512496497363	5.219009151615426
b	=|S|<_F	bʲ	4.182512496497363	5.219009151615426
b	>|S|<	b	3.1500273718475515	5.219009151615426
b	>|S|<	bʲ	4.9752073212923404	5.219009151615426
b	F_>|S|<_F	b	3.134426869447297	5.219009151615426
c	#|S|<_F	tʲ	0.002414566460114994	5.219009151615426
c	=|S|#	-	4.206946870496152	5.219009151615426
c	=|S|#	tʲ	4.827814202459099	5.219009151615426
c	>|S|#	tʲ	0.00607472980870374	5.219009151615426
c	>|S|<_F	tʲ	1.7921070906325751	5.219009151615426
c	>|S|<_F	-	4.38498924138853	5.219009151615426
c	F_>|S|#	tʲ	0.002414566460114994	5.219009151615426
d	#|S|<	d	1.2531694804153355	5.219009151615426
d	#|S|<	dʲ	4.506999937725327	5.219009151615426
d	#|S|<_F	d	1.0467017442621083	5.219009151615426
d	#|S|<_R	dʲ	4.186986059103054	5.219009151615426
d	#|S|<_R	d	4.924562347901673	5.219009151615426
d	#|S|=	d	2.094908835851193	5.219009151615426
d	=|S|<_F	d	2.090503574585193	5.219009151615426
d	>|S|<_F	d	0.19191502080109155	5.219009151615426
d	>|S|<_F	dʲ	4.578107235231363	5.219009151615426
d	>|S|<_R	d	3.1314054909692555	5.219009151615426
d	F_>|S|<	d	2.464996927586192	5.219009151615426
d	F_>|S|<	dʲ	4.38399599080986	5.219009151615426
d	F_>|S|<_F	dʲ	4.180056830541676	5.219009151615426
d	F_>|S|<_N	d	2.0888084181717246	5.219009151615426
d_ɫ	>|S|<	ɫ	4.175207321292341	5.219009151615426
d_ɫ	F_>|S|<	ɫ	4.175207321292341	5.219009151615426
i	<|S|#	ɨ_j	1.3695372512622488	5.219009151615426
i	<|S|>	ɨ_j	4.331405490969256	5.219009151615426
i	<|S|>_N	ɨ_j	4.8601767289242	5.219009151615426
iː	<|S|#	ɨ_j	0.7377431858028619	5.219009151615426
iː	<|S|#	j	2.3295011380805994	5.219009151615426
iː	<|S|#	ɪ_j	4.639592940269813	5.219009151615426
j	#|S|<_F	j	3.1314054909692555	5.219009151615426
k	#|S|<	k	0.2401863884648602	5.219009151615426
k	#|S|<	ʦ	4.77520732129234	5.219009151615426
k	#|S|<_R	k	1.0536821273232975	5.219009151615426
k	=|S|<_F	kʲ_ɪ	3.1549362717503606	5.219009151615426
k	=|S|<_F	k	4.85845885453519	5.219009151615426
k	>|S|#	k	0.12930458499551048	5.219009151615426
k	>|S|#	ʦ	4.515671211564204	5.219009151615426
k	>|S|<	k	0.4998381888803368	5.219009151615426
k	>|S|<	kʲ_ɪ	2.8199391540185643	5.219009151615426
k	>|S|<_F	k	0.6828698469192266	5.219009151615426
k	>|S|<_F	kʲ_ɪ	2.6338813971521935	5.219009151615426
k	F_>|S|#	k	0.19997626983145264	5.219009151615426
k	F_>|S|#	ʦ	4.386235632130833	5.219009151615426
k	F_>|S|<	k	1.0536821273232975	5.219009151615426
k	F_>|S|<_F	k	2.0904146011698246	5.219009151615426
l	#|S|<_F	lʲ	1.063824403725817	5.219009151615426
l	#|S|<_F	ɫ	5.201063924681334	5.219009151615426
l	<|S|<_F	ɫ	1.3022844253999102	5.219009151615426
l	<|S|<_F	lʲ	2.671124080802844	5.219009151615426
l	>|S|<_F	lʲ	0.25447204960090997	5.219009151615426
l	>|S|<_F	ɫ	3.74814049469758	5.219009151615426
l	F_>|S|<_F	lʲ	2.4908782545930106	5.219009151615426
l	F_>|S|<_F	ɫ	3.530548019288636	5.219009151615426
m	#|S|<	mʲ	1.0419156030525938	5.219009151615426
m	#|S|<	m	1.5998262177722042	5.219009151615426
m	#|S|<_F	mʲ	0.5025153290149377	5.219009151615426
m	#|S|<_F	m	2.329615751254456	5.219009151615426
m	#|S|>_R	mʲ	2.1043989346331284	5.219009151615426
m	<|S|<	m	3.17036419987345	5.219009151615426
m	<|S|<	mʲ	4.731405490969255	5.219009151615426
m	<|S|>_R	mʲ	2.1097423047176	5.219009151615426
m	<|S|>_R	m	5.1653904912577175	5.219009151615426
m	F_>|S|#	m	0.8098359135011662	5.219009151615426
m	F_>|S|#	mʲ	1.7814321125266808	5.219009151615426
n	#|S|<	n	1.0438018303230852	5.219009151615426
n	<|S|<_F	n	0.0	5.219009151615426
n	<|S|>	n	3.1314054909692555	5.219009151615426
n	>|S|<_F	n	0.0	5.219009151615426
n	F_>|S|#	n	3.1314054909692555	5.219009151615426
n	F_>|S|<	n	0.24890710704100216	5.219009151615426
n	F_>|S|<_F	n	0.0	5.219009151615426
p	#|S|<	pʲ	1.460210133070981	5.219009151615426
p	#|S|<	p	2.9379935435832816	5.219009151615426
p	#|S|<_F	pʲ	1.071529494546528	5.219009151615426
p	#|S|<_F	p	5.092876475380776	5.219009151615426
p	#|S|<_R	pʲ	3.1394789332912465	5.219009151615426
p	>|S|#	p	1.2993484280796153	5.219009151615426
p	>|S|#	pʲ	2.6089276490283844	5.219009151615426
p	>|S|<	p	0.2702193550799296	5.219009151615426
p	>|S|<	pʲ	3.7859005068840883	5.219009151615426
p	>|S|<_F	p	1.063196931651781	5.219009151615426
p	>|S|<_F	pʲ	5.1565854404140445	5.219009151615426
p	F_>|S|#	p	2.1028470499415066	5.219009151615426
p	F_>|S|#	pʲ	5.1565854404140445	5.219009151615426
p	F_>|S|<	p	1.0648599852941818	5.219009151615426
p	F_>|S|<	pʲ	5.1121069561467545	5.219009151615426
r	#|S|<	r	0.44881978777640985	5.219009151615426
r	#|S|<	rʲ	2.8093059530243583	5.219009151615426
r	#|S|<_F	r	0.451864616563854	5.219009151615426
r	#|S|<_F	rʲ	2.9190440075242803	5.219009151615426
r	<|S|<_F	r	2.1043185595691707	5.219009151615426
r	<|S|<_F	rʲ	2.523791503255105	5.219009151615426
r	<|S|<_F	ɐ_r	3.6135819402038725	5.219009151615426
r	>|S|#	r	3.0401372761907344	5.219009151615426
r	>|S|#	rʲ	3.2643667001608776	5.219009151615426
r	>|S|<_F	rʲ	0.6934208772909357	5.219009151615426
r	>|S|<_F	r	1.9920459333144964	5.219009151615426
r	F_>|S|#	rʲ	3.1462937552866217	5.219009151615426
r	F_>|S|#	r	5.167078924392872	5.219009151615426
r	F_>|S|<	rʲ	1.7825458739072293	5.219009151615426
r	F_>|S|<	r	2.5265566257403305	5.219009151615426
r	F_>|S|<_F	rʲ	1.4566771151736597	5.219009151615426
r	F_>|S|<_F	r	3.5296930882685706	5.219009151615426
r	F_>|S|>_N	r	2.0945889613636486	5.219009151615426
s	#|S|<	s	0.7078723736869642	5.219009151615426
s	#|S|<	sʲ	1.9211791876563837	5.219009151615426
s	#|S|<_F	sʲ	2.1124336089127436	5.219009151615426
s	#|S|<_F	s	5.157262094358249	5.219009151615426
s	#|S|<_N	s	2.4834872450575043	5.219009151615426
s	#|S|<_N	sʲ	3.541348727480376	5.219009151615426
s	#|S|>	s	2.1614147621443993	5.219009151615426
s	#|S|>	sʲ	2.465098696573158	5.219009151615426
s	#|S|>_R	sʲ	2.114589576663392	5.219009151615426
s	#|S|>_R	s	5.097350037986467	5.219009151615426
s	<|S|>	s	3.161144916955559	5.219009151615426
s	<|S|>	sʲ	4.858891475092314	5.219009151615426
s	>|S|#	s	0.07102357355475605	5.219009151615426
s	>|S|#	sʲ	4.426283752257792	5.219009151615426
s	>|S|<_F	sʲ	0.04516423184555427	5.219009151615426
s	>|S|<_F	s	5.0142199399459875	5.219009151615426
s	>|S|>	s	0.7207408623278226	5.219009151615426
s	>|S|>	sʲ	1.9548162395112292	5.219009151615426
s	F_>|S|#	s	0.027968359201892345	5.219009151615426
s	F_>|S|<	sʲ	0.8576307896760719	5.219009151615426
s	F_>|S|<	s	1.8579814985544474	5.219009151615426
s	F_>|S|<_F	sʲ	0.018643279606304946	5.219009151615426
s	F_>|S|>	s	0.5864705635970366	5.219009151615426
s	F_>|S|>	sʲ	2.1351397334070996	5.219009151615426
t	#|S|<	t	0.00607472980870374	5.219009151615426
t	#|S|<_R	t	1.0462163967832	5.219009151615426
t	>|S|#	t	0.00607472980870374	5.219009151615426
t	>|S|<	t	0.17934243831759566	5.219009151615426
t	>|S|<	tʲ	4.5108217023148685	5.219009151615426
t	>|S|<_F	t	0.1134081185447788	5.219009151615426
t	>|S|<_F	tʲ	4.499504996641595	5.219009151615426
t	F_>|S|#	t	0.002414566460114994	5.219009151615426
t	F_>|S|<	t	3.868981779767874	5.219009151615426
t	F_>|S|<	tʲ	4.187487430225169	5.219009151615426
t	F_>|S|=	t	2.0900182271062855	5.219009151615426
v	#|S|<	v	1.8098168300346227	5.219009151615426
v	#|S|<_F	v	4.8601767289242	5.219009151615426
v	#|S|=	v	3.1314054909692555	5.219009151615426
v	#|S|>	v	2.0876036606461703	5.219009151615426
v	<|S|<_F	v	3.1314054909692555	5.219009151615426
v	F_>|S|<_F	v	3.1314054909692555	5.219009151615426
x	#|S|<	x	1.0560819392559138	5.219009151615426
x	#|S|<	k	5.092199821436572	5.219009151615426
x	#|S|>_R	x	4.175207321292341	5.219009151615426
x	>|S|#	x	2.970611160501939	5.219009151615426
x	>|S|#	k	4.310821702314868	5.219009151615426
x	>|S|<	x	1.2220969389674514	5.219009151615426
x	>|S|<	k	5.092199821436572	5.219009151615426
x	>|S|<_F	x	1.9130369585498932	5.219009151615426
x	F_>|S|#	x	3.3266361425783817	5.219009151615426
x	F_>|S|#	k	4.380056830541676	5.219009151615426
z	#|S|<	z	1.2397682687812606	5.219009151615426
z	#|S|<	zʲ	2.443557019769732	5.219009151615426
z	#|S|<_F	zʲ	2.112486174886232	5.219009151615426
z	#|S|<_F	z	5.154962966590683	5.219009151615426
z	#|S|>	z	3.164827488136307	5.219009151615426
z	#|S|>	zʲ	4.795791109946728	5.219009151615426
z	=|S|<_F	zʲ	3.1474993356917977	5.219009151615426
z	=|S|<_F	z	5.186986059103054	5.219009151615426
z	F_>|S|<_F	z	1.2486309632433152	5.219009151615426
z	F_>|S|<_F	zʲ	4.375207321292341	5.219009151615426
z	F_>|S|>	z	2.100738104983096	5.219009151615426
ɔ	<|S|#	ə	0.2677826874382919	5.219009151615426
ɔ	<|S|#	ˈo	2.9466210643233874	5.219009151615426
ɔ	<|S|>	ə	1.8290678726328078	5.219009151615426
ɔ	<|S|>	ˈo	2.912561885396059	5.219009151615426
ɔ	<|S|>_R	ə	5.041554848045904	5.219009151615426
ɛ	<|S|#	ə	3.3687917763188557	5.219009151615426
ɛ	<|S|#	ˈe	3.550977500432694	5.219009151615426
ɛ	<|S|#	ɪ	5.082382991401949	5.219009151615426
ɛ	<|S|>	ˈe	1.2493492203896936	5.219009151615426
ɛ	<|S|>	ɪ	3.9473327141918975	5.219009151615426
ɛ	<|S|>	ə	4.238936848157815	5.219009151615426
ɛ	<|S|>_N	ˈe	2.4157455907958454	5.219009151615426
ɛ	<|S|>_N	ɪ	3.8609927372336093	5.219009151615426
ɛ	<|S|>_R	ɪ	4.186652295030931	5.219009151615426
ɛ	<|S|>_R	ˈe	5.039592940269813	5.219009151615426
ɟ	#|S|<_F	dʲ	2.0876036606461703	5.219009151615426
ɟ	>|S|<_F	dʲ	2.307339097042344	5.219009151615426
ɟ	F_>|S|<_F	dʲ	2.4757047232885494	5.219009151615426
ɦ	#|S|<	ɡ	0.6370648283145934	5.219009151615426
ɦ	#|S|<	-	3.358623127907779	5.219009151615426
ɦ	#|S|<_N	-	4.185700805271168	5.219009151615426
ɦ	#|S|<_N	ɡ	4.957262094358248	5.219009151615426
ɦ	#|S|<_R	ɡ	5.054347459792297	5.219009151615426
ɦ	<|S|<_F	-	3.152927285786575	5.219009151615426
ɦ	<|S|<_F	ɡ	4.860853382868405	5.219009151615426
ɦ	>|S|<_F	ɡ	0.0119328934087709	5.219009151615426
ɦ	F_>|S|<	ɡ	2.095384842021582	5.219009151615426
ɪ̯ˈɛ	<|S|>	ɪ	2.747654471051969	5.219009151615426
ɪ̯ˈɛ	<|S|>	ˈe	2.747654471051969	5.219009151615426
ɪ̯ˈɛ	<|S|>_R	ɪ	5.039592940269813	5.219009151615426
ɪ̯ˈɛ	<|S|>_R	ˈe	5.039592940269813	5.219009151615426
ɫ	#|S|<_F	ɫ	1.9216464560088007	5.219009151615426
ɫ	<|S|<	ɫ	0.19402109006733237	5.219009151615426
ɫ	<|S|<	ɐ_ɫ	4.575207321292341	5.219009151615426
ɫ	<|S|<_F	ɫ	1.3931533513067313	5.219009151615426
ɫ	<|S|<_F	ɐ_ɫ	4.382512496497363	5.219009151615426
ɫ	>|S|#	ɫ	2.0876036606461703	5.219009151615426
ɫ	>|S|<	ɫ	0.11251893753854036	5.219009151615426
ɫ	>|S|<	ɐ_ɫ	4.501360559359197	5.219009151615426
ɫ	>|S|<_F	ɫ	0.1928752180538557	5.219009151615426
ɫ	>|S|<_F	ɐ_ɫ	4.382512496497363	5.219009151615426
ɫ	F_>|S|<	ɫ	0.003629469342051904	5.219009151615426
ɫ	F_>|S|<_F	ɫ	0.0015067345370815093	5.219009151615426
ɲ	#|S|<_F	nʲ	2.0876036606461703	5.219009151615426
ɲ	<|S|<_F	nʲ	3.1314054909692555	5.219009151615426
ɲ	>|S|#	nʲ	1.0438018303230852	5.219009151615426
ɲ	F_>|S|#	nʲ	1.0438018303230852	5.219009151615426
ʃ	#|S|<_F	ʂ	3.1314054909692555	5.219009151615426
ʃ	#|S|>	ʂ	3.88760366064617	5.219009151615426
ʃ	>|S|#	ʂ	3.1314054909692555	5.219009151615426
ʃ	F_>|S|>	ʂ	2.0876036606461703	5.219009151615426
ʊ̯ˈɔ	<|S|>	ˈo	4.274707253186504	5.219009151615426
ʊ̯ˈɔ	<|S|>_N	ˈo	4.175207321292341	5.219009151615426
ʊ̯ˈɔ	<|S|>_R	ˈo	5.039592940269813	5.219009151615426
ʋ	#|S|<	vʲ	0.5708085804123751	5.219009151615426
ʋ	#|S|<	v	2.1632301367738567	5.219009151615426
ʋ	#|S|<_F	vʲ	0.026712780635609654	5.219009151615426
ʋ	#|S|<_F	v	5.186986059103054	5.219009151615426
ʋ	#|S|>	v	4.190007437581096	5.219009151615426
ʋ	#|S|>	vʲ	5.039592940269813	5.219009151615426
ʋ	<|S|#	vʲ	4.462497484229399	5.219009151615426
ʋ	<|S|#	v	4.545504984085167	5.219009151615426
ʋ	<|S|<_F	vʲ	0.5578476104619565	5.219009151615426
ʋ	<|S|<_F	v	2.180108340626338	5.219009151615426
ʋ	<|S|>_R	vʲ	2.0988943989772206	5.219009151615426
ʋ	>|S|<_F	vʲ	1.9405286486344009	5.219009151615426
ʋ	>|S|<_F	v	2.5301787746974487	5.219009151615426
ʋ	F_>|S|#	vʲ	5.18246367134067	5.219009151615426
ʋ	F_>|S|#	v	5.186986059103054	5.219009151615426
ʋ	F_>|S|<	v	1.3325255374899367	5.219009151615426
ʋ	F_>|S|<	vʲ	2.7185319202630134	5.219009151615426
ʋ	F_>|S|<_F	v	2.3582793726685196	5.219009151615426
ʋ	F_>|S|<_F	vʲ	2.77603719999949	5.219009151615426
ʎ	#|S|<_F	lʲ	3.1314054909692555	5.219009151615426
ʎ	>|S|#	lʲ	0.0	5.219009151615426
ʎ	F_>|S|#	lʲ	0.0	5.219009151615426
ʎ	F_>|S|<_F	lʲ	0.0	5.219009151615426
ʎ	F_>|S|>	lʲ	2.0876036606461703	5.219009151615426
ʒ	#|S|<_F	ʐ	1.0438018303230852	5.219009151615426
ʒ	#|S|>	ʐ	1.0438018303230852	5.219009151615426
ʒ	>|S|<_F	ʐ	4.175207321292341	5.219009151615426
ʦ	#|S|<_F	ʦ	3.1314054909692555	5.219009151615426
ʦ	>|S|#	ʦ	2.253618660357708	5.219009151615426
ʦ	>|S|<_F	ʦ	1.0438018303230852	5.219009151615426
ʦ	F_>|S|#	ʦ	2.0876036606461703	5.219009151615426
ʧ	#|S|<	ʨ	2.0876036606461703	5.219009151615426
ʧ	#|S|<_F	ʨ	2.0876036606461703	5.219009151615426
ʧ	>|S|<_F	ʨ	3.1314054909692555	5.219009151615426
ˈa	<|S|#	ˈa	0.08617792638521025	5.219009151615426
ˈa	<|S|#	ˈo	4.131070365722511	5.219009151615426
ˈa	<|S|>	ˈo	1.4171485591360318	5.219009151615426
ˈa	<|S|>	ˈa	1.6601556364731134	5.219009151615426
ˈa	<|S|>_R	ˈa	3.1449608529711663	5.219009151615426
ˈa	F_<|S|>	ˈa	2.682834312255297	5.219009151615426
ˈa	F_<|S|>	ˈo	3.337889786507731	5.219009151615426
ˈaː	<|S|>	ˈo	4.175207321292341	5.219009151615426
ˈi	<|S|#	ˈi	3.1763953826726206	5.219009151615426
ˈi	<|S|#	ˈɨ	4.626191728635738	5.219009151615426
ˈi	<|S|>	ˈɨ	0.6175102643490686	5.219009151615426
ˈi	<|S|>	ˈi	2.266452785374663	5.219009151615426
ˈi	<|S|>_N	ˈɨ	2.099262198909977	5.219009151615426
ˈi	<|S|>_R	ˈɨ	1.0632692782218431	5.219009151615426
ˈi	<|S|>_R	ˈi	5.186986059103054	5.219009151615426
ˈr̩	<|S|<	ˈe_r	3.7314054909692556	5.219009151615426
ˈr̩	<|S|<	r	4.175207321292341	5.219009151615426
ˈr̩	>|S|=	r	4.341222321003878	5.219009151615426
ˈr̩	>|S|=	ˈe_r	4.77520732129234	5.219009151615426
ˈr̩	>|S|>	ˈe_r	3.1314054909692555	5.219009151615426
ˈr̩	>|S|>	r	4.77520732129234	5.219009151615426
ˈu	#|S|>	ˈu	2.1062255415244664	5.219009151615426
ˈu	#|S|>	ʊ	4.9752073212923404	5.219009151615426
ˈu	<|S|>	ˈu	1.774831693534487	5.219009151615426
ˈu	<|S|>	ʊ	4.301360559359197	5.219009151615426
ˈuː	<|S|>	ˈu	4.175207321292341	5.219009151615426
ˈɔ	#|S|>	ɐ	0.549757451518366	5.219009151615426
ˈɔ	#|S|>	ˈo	2.8036368480071214	5.219009151615426
ˈɔ	#|S|>_R	ɐ	2.1057464944484523	5.219009151615426
ˈɔ	<|S|>	ˈo	1.034537654367472	5.219009151615426
ˈɔ	<|S|>	ɐ	1.0562198195679364	5.219009151615426
ˈɔ	<|S|>_R	ˈo	1.2679478094870926	5.219009151615426
ˈɔ	<|S|>_R	ɐ	3.324546871471122	5.219009151615426
ˈɛ	<|S|>	ˈe	1.3487090738968655	5.219009151615426
ˈɛ	<|S|>	ɪ	1.6761950580199239	5.219009151615426
ˈɛ	<|S|>	ˈɛ	4.166084929639079	5.219009151615426
ˈɛ	<|S|>	ˈɵ	4.751089293129623	5.219009151615426
ˈɛ	<|S|>_N	ˈe	3.5274974536901262	5.219009151615426
ˈɛ	<|S|>_N	ɪ	3.6404299382071286	5.219009151615426
ˈɛ	<|S|>_R	ˈe	3.146585513841107	5.219009151615426
ˈɛ	F_<|S|>	ɪ	5.186986059103054	5.219009151615426
ˈɫ̩	<|S|<_N	ˈo_ɫ	3.1314054909692555	5.219009151615426
ˈɫ̩	=|S|<	ˈo_ɫ	2.0876036606461703	5.219009151615426
ˈɫ̩	>|S|<_N	ˈo_ɫ	5.039592940269813	5.219009151615426
ˈɫ̩	>|S|>	ˈo_ɫ	1.0438018303230852	5.219009151615426
